year,model,mae_mw,rmse_mw,mape_pct,bias_mw
2017,weekly_naive,9521.476,10273.895,15.975,-8690.298
2017,calendar_ridge,4673.075,5218.974,8.363,-3176.531
2017,calendar_boosting,3274.278,3675.881,6.008,-1907.960
2017,lagged_boosting,2904.106,3753.206,5.427,-1235.949
2017,holiday_ensemble,3497.571,3891.075,6.388,-2106.813
2018,weekly_naive,6895.905,8228.875,11.917,-6634.631
2018,calendar_ridge,1428.242,1872.077,2.956,1042.395
2018,calendar_boosting,1809.750,2149.524,3.487,1076.049
2018,lagged_boosting,3248.369,3772.062,6.401,3083.255
2018,holiday_ensemble,1838.721,2210.372,3.683,1733.900
2019,weekly_naive,7053.667,8913.137,11.707,-6754.060
2019,calendar_ridge,1967.501,2457.562,3.618,-751.045
2019,calendar_boosting,1383.127,1716.342,2.481,-96.351
2019,lagged_boosting,1133.706,1392.598,2.078,172.053
2019,holiday_ensemble,1288.146,1579.641,2.344,-225.115
