utc_timestamp,germany_timestamp,forecast_mw,lower_90_mw,upper_90_mw
2020-01-01 00:00:00+00:00,2020-01-01 01:00:00+01:00,41196.10,37435.18,45949.60
2020-01-01 01:00:00+00:00,2020-01-01 02:00:00+01:00,39936.29,36175.36,44689.78
2020-01-01 02:00:00+00:00,2020-01-01 03:00:00+01:00,39463.84,35702.91,44217.33
2020-01-01 03:00:00+00:00,2020-01-01 04:00:00+01:00,39094.14,35333.21,43847.63
2020-01-01 04:00:00+00:00,2020-01-01 05:00:00+01:00,39005.58,35244.66,43759.08
2020-01-01 05:00:00+00:00,2020-01-01 06:00:00+01:00,37450.25,33689.32,42203.75
2020-01-01 06:00:00+00:00,2020-01-01 07:00:00+01:00,39452.25,35691.33,44205.75
2020-01-01 07:00:00+00:00,2020-01-01 08:00:00+01:00,40110.19,36349.27,44863.69
2020-01-01 08:00:00+00:00,2020-01-01 09:00:00+01:00,42830.97,39070.04,47584.47
2020-01-01 09:00:00+00:00,2020-01-01 10:00:00+01:00,46013.32,42252.39,50766.82
2020-01-01 10:00:00+00:00,2020-01-01 11:00:00+01:00,47546.85,43785.92,52300.34
2020-01-01 11:00:00+00:00,2020-01-01 12:00:00+01:00,47551.93,43791.00,52305.42
2020-01-01 12:00:00+00:00,2020-01-01 13:00:00+01:00,46353.12,42592.20,51106.62
2020-01-01 13:00:00+00:00,2020-01-01 14:00:00+01:00,46330.43,42569.50,51083.92
2020-01-01 14:00:00+00:00,2020-01-01 15:00:00+01:00,46434.38,42673.45,51187.88
2020-01-01 15:00:00+00:00,2020-01-01 16:00:00+01:00,47162.79,43401.87,51916.29
2020-01-01 16:00:00+00:00,2020-01-01 17:00:00+01:00,51470.98,47710.05,56224.47
2020-01-01 17:00:00+00:00,2020-01-01 18:00:00+01:00,51539.19,47778.27,56292.69
2020-01-01 18:00:00+00:00,2020-01-01 19:00:00+01:00,50499.70,46738.77,55253.19
2020-01-01 19:00:00+00:00,2020-01-01 20:00:00+01:00,48559.64,44798.71,53313.13
2020-01-01 20:00:00+00:00,2020-01-01 21:00:00+01:00,47747.46,43986.53,52500.95
2020-01-01 21:00:00+00:00,2020-01-01 22:00:00+01:00,47217.80,43456.87,51971.30
2020-01-01 22:00:00+00:00,2020-01-01 23:00:00+01:00,45651.91,41890.98,50405.41
2020-01-01 23:00:00+00:00,2020-01-02 00:00:00+01:00,45359.67,41598.74,50113.16
2020-01-02 00:00:00+00:00,2020-01-02 01:00:00+01:00,43390.90,39629.98,48144.40
2020-01-02 01:00:00+00:00,2020-01-02 02:00:00+01:00,42440.00,38679.08,47193.50
2020-01-02 02:00:00+00:00,2020-01-02 03:00:00+01:00,42559.73,38798.81,47313.23
2020-01-02 03:00:00+00:00,2020-01-02 04:00:00+01:00,42803.55,39042.62,47557.05
2020-01-02 04:00:00+00:00,2020-01-02 05:00:00+01:00,44746.35,40985.42,49499.84
2020-01-02 05:00:00+00:00,2020-01-02 06:00:00+01:00,49724.00,45963.07,54477.49
2020-01-02 06:00:00+00:00,2020-01-02 07:00:00+01:00,56233.97,52473.04,60987.46
2020-01-02 07:00:00+00:00,2020-01-02 08:00:00+01:00,59022.84,55261.92,63776.34
2020-01-02 08:00:00+00:00,2020-01-02 09:00:00+01:00,60738.01,56977.08,65491.50
2020-01-02 09:00:00+00:00,2020-01-02 10:00:00+01:00,62559.21,58798.28,67312.71
2020-01-02 10:00:00+00:00,2020-01-02 11:00:00+01:00,63642.57,59881.64,68396.06
2020-01-02 11:00:00+00:00,2020-01-02 12:00:00+01:00,63417.25,59656.33,68170.75
2020-01-02 12:00:00+00:00,2020-01-02 13:00:00+01:00,62644.47,58883.54,67397.96
2020-01-02 13:00:00+00:00,2020-01-02 14:00:00+01:00,61923.05,58162.13,66676.55
2020-01-02 14:00:00+00:00,2020-01-02 15:00:00+01:00,61653.95,57893.02,66407.45
2020-01-02 15:00:00+00:00,2020-01-02 16:00:00+01:00,62197.04,58436.11,66950.53
2020-01-02 16:00:00+00:00,2020-01-02 17:00:00+01:00,64373.07,60612.14,69126.56
2020-01-02 17:00:00+00:00,2020-01-02 18:00:00+01:00,64364.63,60603.70,69118.12
2020-01-02 18:00:00+00:00,2020-01-02 19:00:00+01:00,62832.34,59071.41,67585.84
2020-01-02 19:00:00+00:00,2020-01-02 20:00:00+01:00,60044.21,56283.28,64797.70
2020-01-02 20:00:00+00:00,2020-01-02 21:00:00+01:00,57505.36,53744.43,62258.86
2020-01-02 21:00:00+00:00,2020-01-02 22:00:00+01:00,55979.13,52218.20,60732.62
2020-01-02 22:00:00+00:00,2020-01-02 23:00:00+01:00,51981.93,48221.00,56735.42
2020-01-02 23:00:00+00:00,2020-01-03 00:00:00+01:00,49078.96,45318.03,53832.46
2020-01-03 00:00:00+00:00,2020-01-03 01:00:00+01:00,47429.57,43668.64,52183.06
2020-01-03 01:00:00+00:00,2020-01-03 02:00:00+01:00,46530.01,42769.09,51283.51
2020-01-03 02:00:00+00:00,2020-01-03 03:00:00+01:00,46684.54,42923.62,51438.04
2020-01-03 03:00:00+00:00,2020-01-03 04:00:00+01:00,46791.27,43030.34,51544.76
2020-01-03 04:00:00+00:00,2020-01-03 05:00:00+01:00,48734.06,44973.14,53487.56
2020-01-03 05:00:00+00:00,2020-01-03 06:00:00+01:00,53543.23,49782.30,58296.72
2020-01-03 06:00:00+00:00,2020-01-03 07:00:00+01:00,59901.31,56140.38,64654.80
2020-01-03 07:00:00+00:00,2020-01-03 08:00:00+01:00,62690.18,58929.25,67443.68
2020-01-03 08:00:00+00:00,2020-01-03 09:00:00+01:00,63242.71,59481.79,67996.21
2020-01-03 09:00:00+00:00,2020-01-03 10:00:00+01:00,64135.09,60374.16,68888.58
2020-01-03 10:00:00+00:00,2020-01-03 11:00:00+01:00,64991.40,61230.47,69744.90
2020-01-03 11:00:00+00:00,2020-01-03 12:00:00+01:00,64546.66,60785.74,69300.16
2020-01-03 12:00:00+00:00,2020-01-03 13:00:00+01:00,62654.24,58893.31,67407.73
