utc_timestamp,actual_mw,forecast_mw,previous_week_mw,previous_52_weeks_mw,previous_365_days_mw,error_mw,absolute_error_mw,absolute_percentage_error
2020-01-01 00:00:00+00:00,41187.0000000000,41952.8320897282,38223.0000000000,42813.0000000000,41562.0000000000,765.8320897282,765.8320897282,1.8594024564
2020-01-01 01:00:00+00:00,40398.0000000000,40705.1623719283,36936.0000000000,42318.0000000000,40100.0000000000,307.1623719283,307.1623719283,0.7603405414
2020-01-01 02:00:00+00:00,38919.0000000000,40732.2787919500,36637.0000000000,41934.0000000000,38883.0000000000,1813.2787919500,1813.2787919500,4.6591094117
2020-01-01 03:00:00+00:00,38879.0000000000,40428.3431350070,36614.0000000000,43607.0000000000,38806.0000000000,1549.3431350070,1549.3431350070,3.9850385427
2020-01-01 04:00:00+00:00,39162.0000000000,40304.8092189960,37078.0000000000,46463.0000000000,38593.0000000000,1142.8092189960,1142.8092189960,2.9181584674
2020-01-01 05:00:00+00:00,37510.0000000000,39076.1899255203,37024.0000000000,52329.0000000000,38140.0000000000,1566.1899255203,1566.1899255203,4.1753930299
2020-01-01 06:00:00+00:00,37892.0000000000,40366.5486535558,38634.0000000000,57736.0000000000,38742.0000000000,2474.5486535558,2474.5486535558,6.5305305963
2020-01-01 07:00:00+00:00,38677.0000000000,41827.1929722974,41955.0000000000,60956.0000000000,39256.0000000000,3150.1929722974,3150.1929722974,8.1448741430
2020-01-01 08:00:00+00:00,41091.0000000000,44788.5609602091,46241.0000000000,62833.0000000000,42018.0000000000,3697.5609602091,3697.5609602091,8.9984691543
2020-01-01 09:00:00+00:00,43094.0000000000,46979.2135247531,48911.0000000000,64259.0000000000,44533.0000000000,3885.2135247531,3885.2135247531,9.0156716126
2020-01-01 10:00:00+00:00,45249.0000000000,48737.8033939996,50798.0000000000,65434.0000000000,47489.0000000000,3488.8033939996,3488.8033939996,7.7102331411
2020-01-01 11:00:00+00:00,46498.0000000000,48748.5371457816,50512.0000000000,65705.0000000000,49261.0000000000,2250.5371457816,2250.5371457816,4.8400730048
