utc_timestamp,point,q0.025,q0.1,q0.5,q0.9,q0.975
2020-01-01 00:00:00,43740.6975992,37574.785808,41309.3829155,43740.6975992,49312.3183586,54189.9703102
2020-01-01 01:00:00,46964.2871234,37359.2090618,45358.4421304,46964.2871234,51412.054112,53438.078653
2020-01-01 02:00:00,46588.3829133,40481.1763977,41930.6360233,46588.3829133,49367.9305534,51465.7918133
2020-01-01 03:00:00,52736.9215121,45531.5481134,46833.2690142,52736.9215121,56478.2175202,59002.8506855
2020-01-01 04:00:00,58732.910297,41288.0942623,46580.1957381,58732.910297,61882.8585277,65903.031231
2020-01-01 05:00:00,64330.520926,54947.7085227,55602.5759943,64330.520926,65471.3183871,66935.7473253
2020-01-01 06:00:00,62684.4425759,50187.1774582,62073.477541,62684.4425759,66952.0550862,70873.2891568
2020-01-01 07:00:00,67969.2691522,57537.695922,64796.4141442,67969.2691522,69641.4239382,75040.1051882
2020-01-01 08:00:00,68462.0245621,59032.4297275,62596.2448245,68462.0245621,68638.7330354,76596.1745534
2020-01-01 09:00:00,73187.346445,60779.1247649,65934.6479108,73187.346445,74777.2366013,75502.296032
2020-01-01 10:00:00,69324.8576037,54895.958517,61798.8492539,69324.8576037,74076.9617709,75433.9286244
2020-01-01 11:00:00,66299.8045807,61187.9841032,61777.6671439,66299.8045807,73356.7567125,77043.9487772
2020-01-01 12:00:00,67037.2962652,48816.5131509,62087.5279189,67037.2962652,70329.4130117,77130.4285203
2020-01-01 13:00:00,64743.5620829,51530.200477,59643.7410277,64743.5620829,70243.4659843,73050.6515835
2020-01-01 14:00:00,58201.7327636,56599.6034629,57370.3765639,58201.7327636,72882.0870022,76836.4226978
2020-01-01 15:00:00,63697.5414127,25257.6951454,63622.4684456,63697.5414127,65847.8884919,69023.3404891
2020-01-01 16:00:00,66909.3512599,53351.712112,62153.1252046,66909.3512599,68862.8332336,70391.0016113
2020-01-01 17:00:00,70841.672477,53706.517449,57315.1938711,70841.672477,73397.5094674,77487.0617382
2020-01-01 18:00:00,64493.605194,54035.872291,57650.3186906,64493.605194,68524.7651596,72028.1503137
2020-01-01 19:00:00,64061.5660616,48045.9131826,56072.5744533,64061.5660616,68479.2778935,78553.2323816
2020-01-01 20:00:00,57563.1863707,53539.3878708,56140.3758504,57563.1863707,58541.2125343,66861.8729686
2020-01-01 21:00:00,53602.8043514,41415.9626898,51373.4688443,53602.8043514,59429.0166267,61984.7603917
2020-01-01 22:00:00,53968.4537834,42828.7381771,47680.6499695,53968.4537834,55188.3462154,59742.3733488
2020-01-01 23:00:00,50238.5012913,41895.5433733,42879.456046,50238.5012913,53908.0238405,54315.1451936
2020-01-02 00:00:00,48275.3804919,36487.4497019,40133.6959023,48275.3804919,52040.5122004,58674.2915876
2020-01-02 01:00:00,44147.9587902,36855.9724694,39231.5684152,44147.9587902,53607.8817984,55815.4691849
2020-01-02 02:00:00,45172.1847273,36748.0575764,43047.3747094,45172.1847273,52946.3886746,76535.9510378
2020-01-02 03:00:00,48481.7778799,38400.9413702,44433.0882366,48481.7778799,55124.227216,74687.7936269
2020-01-02 04:00:00,55160.4652049,40780.3595514,49406.6689769,55160.4652049,60920.0746935,64355.5985199
2020-01-02 05:00:00,62349.4509354,47726.8863672,56787.8119374,62349.4509354,63891.0903626,68630.7955707
2020-01-02 06:00:00,69814.816256,47178.6985539,61664.3651628,69814.816256,70949.9469533,71685.1879137
2020-01-02 07:00:00,67417.1492308,47959.866271,63896.8769875,67417.1492308,72280.8906424,76308.6345683
2020-01-02 08:00:00,68383.0228164,54164.4265899,60810.321931,68383.0228164,77123.7695734,77231.2249992
2020-01-02 09:00:00,69502.564919,50204.2177033,57466.8380683,69502.564919,70716.9703789,72956.9335651
2020-01-02 10:00:00,62878.4376753,32837.514445,62108.9564099,62878.4376753,66017.8581109,76891.8051589
2020-01-02 11:00:00,68966.6595333,31349.106639,64382.4207579,68966.6595333,71720.247269,72358.7004367
2020-01-02 12:00:00,64113.5258241,37746.1604648,63815.4180903,64113.5258241,70612.8976981,83308.9190622
2020-01-02 13:00:00,66880.251662,53234.7643575,62017.1162146,66880.251662,69143.7409076,72385.9555062
2020-01-02 14:00:00,63682.4389212,52037.4191196,60882.6247762,63682.4389212,71390.9223923,71465.3161468
2020-01-02 15:00:00,64308.6063318,53963.3996427,55556.8856303,64308.6063318,67776.0598085,70372.4231496
2020-01-02 16:00:00,63136.5517741,49134.2181654,54025.6574665,63136.5517741,64546.8368153,71691.3274628
2020-01-02 17:00:00,63820.2791215,50715.6714361,58233.2229233,63820.2791215,69801.5982464,70590.0841461
2020-01-02 18:00:00,62413.6964548,51498.2242141,53492.6387343,62413.6964548,72061.9045154,78282.9790226
2020-01-02 19:00:00,59654.9680121,37531.1697059,57372.367589,59654.9680121,65120.2786845,70490.3530988
2020-01-02 20:00:00,56324.6222516,51997.9615298,55282.1508001,56324.6222516,57570.3513975,59202.8721318
2020-01-02 21:00:00,56621.6712128,44413.0581244,49178.7165779,56621.6712128,57266.8632347,61403.3277862
2020-01-02 22:00:00,52123.7190711,38610.5583589,45772.2324188,52123.7190711,53619.405106,57472.6380111
2020-01-02 23:00:00,51169.1124236,39178.8894864,39638.1637115,51169.1124236,51603.4622105,58640.2044386
2020-01-03 00:00:00,49294.0428789,27957.7482777,46997.7649789,49294.0428789,53422.9928089,55532.9433868
2020-01-03 01:00:00,45082.1624244,38337.4583001,42615.7351138,45082.1624244,53241.4266339,56661.5516457
2020-01-03 02:00:00,44005.0378134,42504.8936136,43316.7690642,44005.0378134,50687.1245308,53580.0041173
2020-01-03 03:00:00,50700.9018919,47518.6178152,47801.176908,50700.9018919,53136.0088458,55914.6242334
2020-01-03 04:00:00,57991.7295559,40436.3150726,43603.4899988,57991.7295559,58386.8315099,62154.0507982
2020-01-03 05:00:00,63436.5373309,22118.5793566,54484.0593695,63436.5373309,70826.3435813,72660.1775976
2020-01-03 06:00:00,64955.8626272,50051.4614619,54675.9702185,64955.8626272,66959.7994414,72310.8159497
2020-01-03 07:00:00,67337.1752788,51135.5446724,60812.3262741,67337.1752788,68816.5002812,74193.2136655
2020-01-03 08:00:00,65852.1369,52869.3646361,60367.8615469,65852.1369,71500.0292369,75637.173001
2020-01-03 09:00:00,67379.2997768,54562.1887932,60968.272151,67379.2997768,69202.9056506,69321.2884082
2020-01-03 10:00:00,65532.5474036,56494.1856749,61334.5475239,65532.5474036,72513.7540147,73601.499646
2020-01-03 11:00:00,65106.2749193,52339.4822678,61364.7325301,65106.2749193,68422.6302324,74142.9252987
2020-01-03 12:00:00,64554.8808231,52732.7197167,61387.5327642,64554.8808231,66415.2640606,71764.2162953
2020-01-03 13:00:00,69542.3920803,52281.2531068,59858.3189318,69542.3920803,72728.5383462,74016.9912953
2020-01-03 14:00:00,64740.4057421,54117.0814777,57342.1159933,64740.4057421,65664.3279623,71531.3595819
2020-01-03 15:00:00,64208.6422213,47081.3514095,51758.4059159,64208.6422213,71155.175696,71984.9537253
2020-01-03 16:00:00,65308.7668348,58082.5442734,60765.5937849,65308.7668348,69346.5324758,72581.4355507
2020-01-03 17:00:00,64231.2759817,54350.4642478,55849.0069709,64231.2759817,71349.8033953,73598.369941
2020-01-03 18:00:00,62135.2192964,50697.2927427,61943.1686095,62135.2192964,63243.2547389,63629.8066051
2020-01-03 19:00:00,57079.8733474,47040.5287357,51885.9280781,57079.8733474,60466.0344007,64191.0492837
2020-01-03 20:00:00,54220.6147837,39314.136027,44254.1723224,54220.6147837,58482.966726,61109.3153048
2020-01-03 21:00:00,44703.2949829,43024.3347532,43122.627468,44703.2949829,53628.6144295,61484.8665907
2020-01-03 22:00:00,47226.3133536,36586.6613514,43565.107829,47226.3133536,60936.2625933,72077.4265206
2020-01-03 23:00:00,41956.246333,41456.352532,41859.2055002,41956.246333,50671.429393,59869.4993036
2020-01-04 00:00:00,42423.361468,31616.9527887,40926.2604069,42423.361468,51750.4784397,53464.3848227
2020-01-04 01:00:00,43322.1494933,34224.6063742,43140.3202899,43322.1494933,43927.7440875,49011.9199471
2020-01-04 02:00:00,45480.8635392,38306.3643477,39069.8658787,45480.8635392,51824.5958479,58258.6667594
2020-01-04 03:00:00,45541.9793537,36682.1939328,38222.468276,45541.9793537,56286.0403134,56732.9888278
2020-01-04 04:00:00,46851.5578118,35060.3341725,44904.468427,46851.5578118,51124.197827,51534.2857409
2020-01-04 05:00:00,44083.1339424,39690.4231266,41701.5749097,44083.1339424,52765.2286953,58662.8182222
2020-01-04 06:00:00,50596.9290953,48036.9901937,48848.3295991,50596.9290953,53237.27811,53817.4222092
2020-01-04 07:00:00,51706.7224998,47024.0078885,50787.8011486,51706.7224998,59815.7482845,60460.6206769
2020-01-04 08:00:00,54782.3069412,53689.2774355,53992.9354016,54782.3069412,59396.9338206,61195.7351173
2020-01-04 09:00:00,54238.3875129,51885.4086802,54073.5086588,54238.3875129,56364.7623833,67017.0197719
2020-01-04 10:00:00,56854.3814293,48188.3480563,52988.6530104,56854.3814293,60034.035222,65361.9052309
2020-01-04 11:00:00,53311.4654371,43100.8094286,52647.2254977,53311.4654371,60196.5534795,60307.0986566
2020-01-04 12:00:00,50495.1537513,43810.9894425,48311.8115903,50495.1537513,58603.2139887,68715.9035708
2020-01-04 13:00:00,49429.4292573,45669.8710874,46875.1438016,49429.4292573,53982.2078381,55087.5697134
2020-01-04 14:00:00,52265.431449,42660.7196295,50051.2050925,52265.431449,57947.5341255,60608.2029165
2020-01-04 15:00:00,57801.4101952,48995.0827999,53932.9382902,57801.4101952,59486.9627824,60570.413393
2020-01-04 16:00:00,53818.2678955,47878.3607612,47954.1195999,53818.2678955,62417.2390146,64731.0832164
2020-01-04 17:00:00,58468.416927,46907.4463529,49096.099024,58468.416927,63447.0851028,65974.9145625
2020-01-04 18:00:00,48193.2790064,41049.2644737,46637.3994212,48193.2790064,61808.5846342,64639.9422105
2020-01-04 19:00:00,47686.3134038,39706.4911654,47423.7078453,47686.3134038,56061.0344984,58306.6444716
2020-01-04 20:00:00,48840.1557418,40599.9786689,45442.9907789,48840.1557418,51428.5316761,61320.3306724
2020-01-04 21:00:00,44573.045982,39609.5901704,39982.8341313,44573.045982,45199.6262474,55767.2417622
2020-01-04 22:00:00,44782.9892592,37457.8214061,39414.659489,44782.9892592,51798.4961056,59485.511132
2020-01-04 23:00:00,41177.6656168,38043.7354828,38839.6527673,41177.6656168,46519.6692405,54624.1269876
2020-01-05 00:00:00,39377.2428665,36375.9223301,36944.7595376,39377.2428665,43186.2503759,49588.5914055
2020-01-05 01:00:00,40302.0573856,29585.2914492,37142.447023,40302.0573856,48856.3636185,51266.3763312
2020-01-05 02:00:00,36651.962314,34630.3293484,36256.4475053,36651.962314,45941.0134158,49706.9541863
2020-01-05 03:00:00,38348.1425804,34354.0596309,36658.0852156,38348.1425804,45066.5505235,60041.4932425
2020-01-05 04:00:00,35695.2947225,27605.9444611,34895.4653068,35695.2947225,44114.5575127,46974.74167
2020-01-05 05:00:00,38548.5502456,35304.1182177,36715.7783314,38548.5502456,42745.6445085,43859.4798936
2020-01-05 06:00:00,45391.7568416,40561.4033897,43777.6813902,45391.7568416,46714.6964766,46865.3418318
2020-01-05 07:00:00,44390.0614513,40873.4949119,42762.5648925,44390.0614513,52978.5846827,53598.1430886
2020-01-05 08:00:00,50104.4933148,42056.713194,46863.1909919,50104.4933148,54208.1392467,75145.2299826
2020-01-05 09:00:00,53923.6590477,43534.0971134,48595.4627504,53923.6590477,55514.1018967,62339.4958098
2020-01-05 10:00:00,52193.0120723,45204.3307933,50284.9008331,52193.0120723,55599.7426124,61673.3281053
2020-01-05 11:00:00,47562.3737551,45139.5692055,45947.7822353,47562.3737551,53834.2293912,58674.8575981
2020-01-05 12:00:00,50071.9244057,46675.7016837,49384.6145448,50071.9244057,52955.8144139,58665.7481588
2020-01-05 13:00:00,44020.4066628,37983.172361,43913.8102412,44020.4066628,55922.2753634,58102.154872
2020-01-05 14:00:00,50568.9415416,40903.6499528,48280.7176379,50568.9415416,53668.6946307,56823.9500421
2020-01-05 15:00:00,50106.4943284,41972.3743024,46821.3328519,50106.4943284,55113.9790967,56253.6378779
2020-01-05 16:00:00,54751.3195319,41641.0950247,44149.6268564,54751.3195319,56093.6233844,58910.0582608
2020-01-05 17:00:00,52395.2343005,44764.4241153,45705.7494932,52395.2343005,59457.7499825,61042.1731434
2020-01-05 18:00:00,50147.4535106,42450.3268734,47580.2463685,50147.4535106,57045.7462447,58283.8841912
2020-01-05 19:00:00,50755.2655342,33384.1573825,44132.4900566,50755.2655342,55704.3213731,61718.7487819
2020-01-05 20:00:00,50108.3055619,44277.4952838,45294.809234,50108.3055619,51522.549347,58312.610888
2020-01-05 21:00:00,48456.3040786,40549.1775632,46610.2975075,48456.3040786,53616.4618514,57113.7207744
