ds,trend,weekly,yearly,daily,holidays
2020-01-01 00:00:00,55104.7168972,3332.23376248,-2249.14968373,-11635.7514464,-10489.2094969
2020-01-01 01:00:00,55104.4670815,3354.52267285,-2240.12606859,-12426.3717189,-10489.2094969
2020-01-01 02:00:00,55104.2172658,3384.52464662,-2230.98671191,-11725.5231014,-10489.2094969
2020-01-01 03:00:00,55103.9674501,3421.43429802,-2221.73190559,-9183.0496493,-10489.2094969
2020-01-01 04:00:00,55103.7176344,3464.35350003,-2212.36194505,-5175.83349744,-10489.2094969
2020-01-01 05:00:00,55103.4678188,3512.30932006,-2202.87712924,-728.905272453,-10489.2094969
2020-01-01 06:00:00,55103.2180031,3564.27250742,-2193.27776061,3076.85248747,-10489.2094969
2020-01-01 07:00:00,55102.9681874,3619.1762598,-2183.56414511,5694.94218135,-10489.2094969
2020-01-01 08:00:00,55102.7183717,3675.93499539,-2173.73659218,7209.48532179,-10489.2094969
2020-01-01 09:00:00,55102.468556,3733.46286041,-2163.79541473,7939.91522208,-10489.2094969
2020-01-01 10:00:00,55102.2187403,3790.69170819,-2153.74092912,8019.55396339,-10489.2094969
2020-01-01 11:00:00,55101.9689246,3846.58829688,-2143.57345518,7384.44162466,-10489.2094969
2020-01-01 12:00:00,55101.7191089,3900.17046533,-2133.29331616,6131.90733942,-10489.2094969
2020-01-01 13:00:00,55101.4692933,3950.52206435,-2122.90083875,4784.12876525,-10489.2094969
2020-01-01 14:00:00,55101.2194776,3996.8064395,-2112.39635305,4066.77395446,-10489.2094969
2020-01-01 15:00:00,55100.9696619,4038.27828413,-2101.78019256,4322.16017552,-10489.2094969
2020-01-01 16:00:00,55100.7198462,4074.29370587,-2091.05269416,5103.32549771,-10489.2094969
2020-01-01 17:00:00,55100.4700305,4104.31837638,-2080.21419814,5390.04738089,-10489.2094969
2020-01-01 18:00:00,55100.2202148,4127.93366255,-2069.26504811,4306.780248,-10489.2094969
2020-01-01 19:00:00,55099.9703991,4144.84066662,-2058.20559107,1744.69236072,-10489.2094969
2020-01-01 20:00:00,55099.7205834,4154.86213354,-2047.03617734,-1633.13321485,-10489.2094969
2020-01-01 21:00:00,55099.4707678,4157.94221429,-2035.75716055,-4958.81437696,-10489.2094969
2020-01-01 22:00:00,55099.2209521,4154.14410533,-2024.36889768,-7744.43755228,-10489.2094969
2020-01-01 23:00:00,55098.9711364,4143.64561448,-2012.87174899,-9963.18669307,-10489.2094969
2020-01-02 00:00:00,55098.7213207,4126.73273393,-2001.26607802,-11635.7514465,0
2020-01-02 01:00:00,55098.471505,4103.79132919,-1989.5522516,-12426.3717189,0
2020-01-02 02:00:00,55098.2216893,4075.29708047,-1977.73063979,-11725.5231013,0
2020-01-02 03:00:00,55097.9718736,4041.80383796,-1965.80161593,-9183.04964924,0
2020-01-02 04:00:00,55097.722058,4003.9305754,-1953.76555656,-5175.83349737,0
2020-01-02 05:00:00,55097.4722423,3962.34714748,-1941.62284147,-728.90527262,0
2020-01-02 06:00:00,55097.2224266,3917.75907301,-1929.37385364,3076.85248753,0
2020-01-02 07:00:00,55096.9726109,3870.89158203,-1917.01897921,5694.94218139,0
2020-01-02 08:00:00,55096.7227952,3822.47317498,-1904.55860754,7209.48532175,0
2020-01-02 09:00:00,55096.4729795,3773.21895074,-1891.99313113,7939.91522208,0
2020-01-02 10:00:00,55096.2231638,3723.81396473,-1879.32294563,8019.5539634,0
2020-01-02 11:00:00,55095.9733481,3674.89687879,-1866.54844981,7384.4416247,0
2020-01-02 12:00:00,55095.7235325,3627.04416222,-1853.67004557,6131.90733948,0
2020-01-02 13:00:00,55095.4737168,3580.75509668,-1840.68813791,4784.12876523,0
2020-01-02 14:00:00,55095.2239011,3536.43782803,-1827.60313491,4066.77395447,0
2020-01-02 15:00:00,55094.9740854,3494.39669496,-1814.41544773,4322.16017549,0
2020-01-02 16:00:00,55094.7242697,3454.82104769,-1801.12549058,5103.32549768,0
2020-01-02 17:00:00,55094.474454,3417.77575108,-1787.73368072,5390.04738089,0
2020-01-02 18:00:00,55094.2246383,3383.19354345,-1774.24043842,4306.78024807,0
2020-01-02 19:00:00,55093.9748226,3350.86939879,-1760.64618696,1744.69236084,0
2020-01-02 20:00:00,55093.725007,3320.45701257,-1746.95135265,-1633.13321491,0
2020-01-02 21:00:00,55093.4751913,3291.46750281,-1733.15636473,-4958.81437701,0
2020-01-02 22:00:00,55093.2253756,3263.27038842,-1719.26165544,-7744.43755218,0
2020-01-02 23:00:00,55092.9755599,3235.09687523,-1705.26765995,-9963.18669309,0
2020-01-03 00:00:00,55092.7257442,3206.04544875,-1691.17481635,-11635.7514465,0
2020-01-03 01:00:00,55092.4759285,3175.08974067,-1676.98356567,-12426.3717189,0
2020-01-03 02:00:00,55092.2261128,3141.088604,-1662.69435183,-11725.5231013,0
2020-01-03 03:00:00,55091.9762972,3102.79830111,-1648.30762161,-9183.04964918,0
2020-01-03 04:00:00,55091.7264815,3058.88667841,-1633.82382469,-5175.83349729,0
2020-01-03 05:00:00,55091.4766658,3007.9491726,-1619.24341357,-728.90527255,0
2020-01-03 06:00:00,55091.2268501,2948.52646675,-1604.5668436,3076.85248759,0
2020-01-03 07:00:00,55090.9770344,2879.12358955,-1589.79457293,5694.94218142,0
2020-01-03 08:00:00,55090.7272187,2798.23022861,-1574.92706253,7209.48532177,0
2020-01-03 09:00:00,55090.477403,2704.34200942,-1559.96477613,7939.91522209,0
2020-01-03 10:00:00,55090.2275873,2595.98247497,-1544.90818024,8019.55396339,0
2020-01-03 11:00:00,55089.9777717,2471.72548808,-1529.7577441,7384.44162468,0
2020-01-03 12:00:00,55089.727956,2330.21776838,-1514.51393969,6131.90733945,0
2020-01-03 13:00:00,55089.4781403,2170.2012707,-1499.1772417,4784.12876522,0
2020-01-03 14:00:00,55089.2283246,1990.53510813,-1483.74812752,4066.77395446,0
2020-01-03 15:00:00,55088.9785089,1790.21672563,-1468.22707721,4322.16017551,0
2020-01-03 16:00:00,55088.7286932,1568.40203471,-1452.61457349,5103.32549769,0
2020-01-03 17:00:00,55088.4788775,1324.42422886,-1436.91110172,5390.0473809,0
2020-01-03 18:00:00,55088.2290618,1057.81101195,-1421.11714989,4306.78024804,0
2020-01-03 19:00:00,55087.9792462,768.299988566,-1405.2332086,1744.69236079,0
2020-01-03 20:00:00,55087.7294305,455.851983887,-1389.25977102,-1633.13321478,0
2020-01-03 21:00:00,55087.4796148,120.662083977,-1373.19733289,-4958.81437689,0
2020-01-03 22:00:00,55087.2297991,-236.831786974,-1357.04639253,-7744.43755222,0
2020-01-03 23:00:00,55086.9799834,-615.942908713,-1340.80745076,-9963.18669302,0
2020-01-04 00:00:00,55086.7301677,-1015.73255188,-1324.48101092,-11635.7514464,0
2020-01-04 01:00:00,55086.480352,-1435.00960227,-1308.06757887,-12426.3717189,0
2020-01-04 02:00:00,55086.2305364,-1872.33308394,-1291.56766291,-11725.5231013,0
2020-01-04 03:00:00,55085.9807207,-2326.0176052,-1274.98177383,-9183.04964932,0
2020-01-04 04:00:00,55085.730905,-2794.14171841,-1258.31042484,-5175.83349746,0
2020-01-04 05:00:00,55085.4810893,-3274.55914765,-1241.55413158,-728.90527248,0
2020-01-04 06:00:00,55085.2312736,-3764.91280478,-1224.71341209,3076.85248764,0
2020-01-04 07:00:00,55084.9814579,-4262.65147825,-1207.78878679,5694.94218135,0
2020-01-04 08:00:00,55084.7316422,-4765.04904725,-1190.78077845,7209.48532179,0
2020-01-04 09:00:00,55084.4818265,-5269.22604046,-1173.68991222,7939.9152221,0
2020-01-04 10:00:00,55084.2320109,-5772.17333031,-1156.51671554,8019.5539634,0
2020-01-04 11:00:00,55083.9821952,-6270.77772527,-1139.26171818,7384.44162466,0
2020-01-04 12:00:00,55083.7323795,-6761.84919739,-1121.92545217,6131.90733944,0
2020-01-04 13:00:00,55083.4825638,-7242.14946151,-1104.50845182,4784.1287652,0
2020-01-04 14:00:00,55083.2327481,-7708.42160298,-1087.0112537,4066.77395446,0
2020-01-04 15:00:00,55082.9829324,-8157.42043642,-1069.43439659,4322.16017552,0
2020-01-04 16:00:00,55082.7331167,-8585.9432649,-1051.77842147,5103.3254977,0
2020-01-04 17:00:00,55082.483301,-8990.86070388,-1034.04387153,5390.04738089,0
2020-01-04 18:00:00,55082.2334854,-9369.14722859,-1016.23129212,4306.78024801,0
2020-01-04 19:00:00,55081.9836697,-9717.91110418,-998.341230719,1744.69236075,0
2020-01-04 20:00:00,55081.733854,-10034.4233639,-980.374236955,-1633.13321484,0
2020-01-04 21:00:00,55081.4840383,-10316.1455068,-962.330862553,-4958.81437694,0
2020-01-04 22:00:00,55081.2342226,-10560.7556009,-944.211661326,-7744.43755225,0
2020-01-04 23:00:00,55080.9844069,-10766.1724924,-926.017189158,-9963.18669304,0
2020-01-05 00:00:00,55080.7345912,-10930.5778421,-907.74800397,-11635.7514465,0
2020-01-05 01:00:00,55080.4847756,-11052.4357325,-889.404665716,-12426.3717189,0
2020-01-05 02:00:00,55080.2349599,-11130.5096169,-870.987736355,-11725.5231013,0
2020-01-05 03:00:00,55079.9851442,-11163.876409,-852.497779823,-9183.04964927,0
2020-01-05 04:00:00,55079.7353285,-11151.9375431,-833.935362027,-5175.83349739,0
2020-01-05 05:00:00,55079.4855128,-11094.4268706,-815.301050818,-728.905272648,0
2020-01-05 06:00:00,55079.2356971,-10991.4152917,-796.595415959,3076.85248752,0
2020-01-05 07:00:00,55078.9858814,-10843.3120573,-777.819029126,5694.94218137,0
2020-01-05 08:00:00,55078.7360657,-10650.8627166,-758.972463871,7209.48532175,0
2020-01-05 09:00:00,55078.4862501,-10415.1437194,-740.0562956,7939.91522208,0
2020-01-05 10:00:00,55078.2364344,-10137.5537235,-721.071101566,8019.5539634,0
2020-01-05 11:00:00,55077.9866187,-9819.80169206,-702.017460834,7384.44162466,0
2020-01-05 12:00:00,55077.736803,-9463.8919037,-682.895954268,6131.90733949,0
2020-01-05 13:00:00,55077.4869873,-9072.10603208,-663.7071645,4784.12876524,0
2020-01-05 14:00:00,55077.2371716,-8646.98248534,-644.451675926,4066.77395446,0
