ds,trend
2015-01-01,54006.0285968
2015-01-02,54012.981378
2015-01-03,54019.9341591
2015-01-04,54026.8869402
2015-01-05,54033.8397213
2015-01-06,54040.7925024
2015-01-07,54047.7452836
2015-01-08,54054.6980647
2015-01-09,54061.6508458
2015-01-10,54068.6036269
2015-01-11,54075.556408
2015-01-12,54082.5091892
2015-01-13,54089.4619703
2015-01-14,54096.4147514
2015-01-15,54103.3675325
2015-01-16,54110.3203136
2015-01-17,54117.2730948
2015-01-18,54124.2258759
2015-01-19,54131.178657
2015-01-20,54138.1314381
2015-01-21,54145.0842193
2015-01-22,54152.0370004
2015-01-23,54158.9897815
2015-01-24,54165.9425626
2015-01-25,54172.8953437
2015-01-26,54179.8481249
2015-01-27,54186.800906
2015-01-28,54193.7536871
2015-01-29,54200.7064682
2015-01-30,54207.6592493
2015-01-31,54214.6120305
2015-02-01,54221.5648116
2015-02-02,54228.5175927
2015-02-03,54235.4703738
2015-02-04,54242.423155
2015-02-05,54249.3759361
2015-02-06,54256.3287172
2015-02-07,54263.2814983
2015-02-08,54270.2342794
2015-02-09,54277.1870606
2015-02-10,54284.1398417
2015-02-11,54291.0926228
2015-02-12,54298.0454039
2015-02-13,54304.998185
2015-02-14,54311.9509662
2015-02-15,54318.9037473
2015-02-16,54325.8565284
2015-02-17,54332.8093095
2015-02-18,54339.7620907
2015-02-19,54346.7148718
2015-02-20,54353.6676529
2015-02-21,54360.620434
2015-02-22,54367.5732151
2015-02-23,54374.5259963
2015-02-24,54381.4787774
2015-02-25,54388.4315585
2015-02-26,54395.3843396
2015-02-27,54402.3371207
2015-02-28,54409.2899019
2015-03-01,54416.2426871
2015-03-02,54423.1954752
2015-03-03,54430.1482633
2015-03-04,54437.1010515
2015-03-05,54444.0538396
2015-03-06,54451.0066277
2015-03-07,54457.9594159
2015-03-08,54464.912204
2015-03-09,54471.8649921
2015-03-10,54478.8177803
2015-03-11,54485.7705684
2015-03-12,54492.7233565
2015-03-13,54499.6761447
2015-03-14,54506.6289328
2015-03-15,54513.581721
2015-03-16,54520.5345091
2015-03-17,54527.4872972
2015-03-18,54534.4400854
2015-03-19,54541.3928735
2015-03-20,54548.3456616
2015-03-21,54555.2984498
2015-03-22,54562.2512379
2015-03-23,54569.204026
2015-03-24,54576.1568142
2015-03-25,54583.1096023
2015-03-26,54590.0623904
2015-03-27,54597.0151786
2015-03-28,54603.9679667
2015-03-29,54610.9207548
2015-03-30,54617.873543
2015-03-31,54624.8263311
2015-04-01,54631.7791192
2015-04-02,54638.7319074
2015-04-03,54645.6846955
2015-04-04,54652.6374836
2015-04-05,54659.5902718
2015-04-06,54666.5430599
2015-04-07,54673.495848
2015-04-08,54680.4486362
2015-04-09,54687.4014243
2015-04-10,54694.3542124
2015-04-11,54701.3070006
2015-04-12,54708.2597887
2015-04-13,54715.2125768
2015-04-14,54722.165365
2015-04-15,54729.1181531
2015-04-16,54736.0709412
2015-04-17,54743.0237294
2015-04-18,54749.9765175
2015-04-19,54756.9293056
2015-04-20,54763.8820938
2015-04-21,54770.8348819
2015-04-22,54777.78767
2015-04-23,54784.7404582
2015-04-24,54791.6932463
2015-04-25,54798.6460344
2015-04-26,54805.5988226
2015-04-27,54812.5516107
2015-04-28,54819.5043962
2015-04-29,54826.4571634
2015-04-30,54833.4099307
2015-05-01,54840.3626979
2015-05-02,54847.3154651
2015-05-03,54854.2682323
2015-05-04,54861.2209995
2015-05-05,54868.1737668
2015-05-06,54875.126534
2015-05-07,54882.0793012
2015-05-08,54889.0320684
2015-05-09,54895.9848356
2015-05-10,54902.9376028
2015-05-11,54909.8903701
2015-05-12,54916.8431373
2015-05-13,54923.7959045
2015-05-14,54930.7486717
2015-05-15,54937.7014389
2015-05-16,54944.6542061
2015-05-17,54951.6069734
2015-05-18,54958.5597406
2015-05-19,54965.5125078
2015-05-20,54972.465275
2015-05-21,54979.4180422
2015-05-22,54986.3708095
2015-05-23,54993.3235767
2015-05-24,55000.2763439
2015-05-25,55007.2291111
2015-05-26,55014.1818783
2015-05-27,55021.1346455
2015-05-28,55028.0874128
2015-05-29,55035.04018
2015-05-30,55041.9929472
2015-05-31,55048.9457144
2015-06-01,55055.8984816
2015-06-02,55062.8512488
2015-06-03,55069.8040161
2015-06-04,55076.7567833
2015-06-05,55083.7095505
2015-06-06,55090.6623177
