ds,weekly
2019-01-07 00:00:00,-3251.96541192
2019-01-07 01:00:00,-2674.22852788
2019-01-07 02:00:00,-2103.53310511
2019-01-07 03:00:00,-1543.12720227
2019-01-07 04:00:00,-996.099075781
2019-01-07 05:00:00,-465.351470596
2019-01-07 06:00:00,46.4218914505
2019-01-07 07:00:00,536.757389836
2019-01-07 08:00:00,1003.4399438
2019-01-07 09:00:00,1444.5186356
2019-01-07 10:00:00,1858.31937644
2019-01-07 11:00:00,2243.45450861
2019-01-07 12:00:00,2598.82927242
2019-01-07 13:00:00,2923.64510373
2019-01-07 14:00:00,3217.39976447
2019-01-07 15:00:00,3479.88434526
2019-01-07 16:00:00,3711.17721431
2019-01-07 17:00:00,3911.63502298
2019-01-07 18:00:00,4081.88091004
2019-01-07 19:00:00,4222.79007859
2019-01-07 20:00:00,4335.47294883
2019-01-07 21:00:00,4421.25611547
2019-01-07 22:00:00,4481.66136224
2019-01-07 23:00:00,4518.38300618
2019-01-08 00:00:00,4533.26386075
2019-01-08 01:00:00,4528.27011994
2019-01-08 02:00:00,4505.46547486
2019-01-08 03:00:00,4466.98477943
2019-01-08 04:00:00,4415.00758343
2019-01-08 05:00:00,4351.73184873
2019-01-08 06:00:00,4279.34815779
2019-01-08 07:00:00,4200.0147143
2019-01-08 08:00:00,4115.83342099
2019-01-08 09:00:00,4028.82730364
2019-01-08 10:00:00,3940.91952948
2019-01-08 11:00:00,3853.91424502
2019-01-08 12:00:00,3769.47943275
2019-01-08 13:00:00,3689.13195812
2019-01-08 14:00:00,3614.22494821
2019-01-08 15:00:00,3545.93761204
2019-01-08 16:00:00,3485.26758025
2019-01-08 17:00:00,3433.02580833
2019-01-08 18:00:00,3389.83405445
2019-01-08 19:00:00,3356.12490947
2019-01-08 20:00:00,3332.14432429
2019-01-08 21:00:00,3317.95654774
2019-01-08 22:00:00,3313.45135841
2019-01-08 23:00:00,3318.35344478
2019-01-09 00:00:00,3332.23376248
2019-01-09 01:00:00,3354.52267285
2019-01-09 02:00:00,3384.52464662
2019-01-09 03:00:00,3421.43429803
2019-01-09 04:00:00,3464.35350003
2019-01-09 05:00:00,3512.30932006
2019-01-09 06:00:00,3564.27250742
2019-01-09 07:00:00,3619.1762598
2019-01-09 08:00:00,3675.9349954
2019-01-09 09:00:00,3733.4628604
2019-01-09 10:00:00,3790.6917082
2019-01-09 11:00:00,3846.58829688
2019-01-09 12:00:00,3900.17046533
2019-01-09 13:00:00,3950.52206435
2019-01-09 14:00:00,3996.80643949
2019-01-09 15:00:00,4038.27828413
2019-01-09 16:00:00,4074.29370586
2019-01-09 17:00:00,4104.31837638
2019-01-09 18:00:00,4127.93366255
2019-01-09 19:00:00,4144.84066662
2019-01-09 20:00:00,4154.86213354
2019-01-09 21:00:00,4157.9422143
2019-01-09 22:00:00,4154.14410533
2019-01-09 23:00:00,4143.64561448
2019-01-10 00:00:00,4126.73273393
2019-01-10 01:00:00,4103.79132919
2019-01-10 02:00:00,4075.29708047
2019-01-10 03:00:00,4041.80383794
2019-01-10 04:00:00,4003.93057542
2019-01-10 05:00:00,3962.34714748
2019-01-10 06:00:00,3917.759073
2019-01-10 07:00:00,3870.89158203
2019-01-10 08:00:00,3822.47317498
2019-01-10 09:00:00,3773.21895074
2019-01-10 10:00:00,3723.81396473
2019-01-10 11:00:00,3674.89687878
2019-01-10 12:00:00,3627.04416221
2019-01-10 13:00:00,3580.75509668
2019-01-10 14:00:00,3536.43782804
2019-01-10 15:00:00,3494.39669496
2019-01-10 16:00:00,3454.8210477
2019-01-10 17:00:00,3417.77575108
2019-01-10 18:00:00,3383.19354344
2019-01-10 19:00:00,3350.86939879
2019-01-10 20:00:00,3320.45701257
2019-01-10 21:00:00,3291.46750282
2019-01-10 22:00:00,3263.27038842
2019-01-10 23:00:00,3235.09687523
2019-01-11 00:00:00,3206.04544876
2019-01-11 01:00:00,3175.08974067
2019-01-11 02:00:00,3141.08860399
2019-01-11 03:00:00,3102.79830111
2019-01-11 04:00:00,3058.88667841
2019-01-11 05:00:00,3007.94917259
2019-01-11 06:00:00,2948.52646674
2019-01-11 07:00:00,2879.12358955
2019-01-11 08:00:00,2798.23022862
2019-01-11 09:00:00,2704.34200942
2019-01-11 10:00:00,2595.98247498
2019-01-11 11:00:00,2471.72548806
2019-01-11 12:00:00,2330.21776839
2019-01-11 13:00:00,2170.2012707
2019-01-11 14:00:00,1990.53510813
2019-01-11 15:00:00,1790.21672563
2019-01-11 16:00:00,1568.40203472
2019-01-11 17:00:00,1324.42422886
2019-01-11 18:00:00,1057.81101194
2019-01-11 19:00:00,768.299988561
2019-01-11 20:00:00,455.851983901
2019-01-11 21:00:00,120.662083991
2019-01-11 22:00:00,-236.83178696
2019-01-11 23:00:00,-615.942908746
2019-01-12 00:00:00,-1015.7325519
2019-01-12 01:00:00,-1435.0096023
2019-01-12 02:00:00,-1872.33308393
2019-01-12 03:00:00,-2326.01760523
2019-01-12 04:00:00,-2794.14171844
2019-01-12 05:00:00,-3274.55914762
2019-01-12 06:00:00,-3764.91280474
2019-01-12 07:00:00,-4262.65147826
2019-01-12 08:00:00,-4765.04904722
2019-01-12 09:00:00,-5269.22604042
2019-01-12 10:00:00,-5772.17333032
2019-01-12 11:00:00,-6270.77772527
2019-01-12 12:00:00,-6761.84919741
2019-01-12 13:00:00,-7242.1494615
2019-01-12 14:00:00,-7708.42160298
2019-01-12 15:00:00,-8157.42043643
2019-01-12 16:00:00,-8585.9432649
2019-01-12 17:00:00,-8990.86070388
2019-01-12 18:00:00,-9369.14722857
2019-01-12 19:00:00,-9717.91110418
2019-01-12 20:00:00,-10034.4233639
2019-01-12 21:00:00,-10316.1455068
2019-01-12 22:00:00,-10560.7556009
2019-01-12 23:00:00,-10766.1724924
2019-01-13 00:00:00,-10930.5778421
2019-01-13 01:00:00,-11052.4357325
2019-01-13 02:00:00,-11130.5096169
2019-01-13 03:00:00,-11163.876409
2019-01-13 04:00:00,-11151.9375431
2019-01-13 05:00:00,-11094.4268706
2019-01-13 06:00:00,-10991.4152917
2019-01-13 07:00:00,-10843.3120573
2019-01-13 08:00:00,-10650.8627165
2019-01-13 09:00:00,-10415.1437194
2019-01-13 10:00:00,-10137.5537235
2019-01-13 11:00:00,-9819.80169207
2019-01-13 12:00:00,-9463.89190368
2019-01-13 13:00:00,-9072.10603206
2019-01-13 14:00:00,-8646.98248537
2019-01-13 15:00:00,-8191.29322558
2019-01-13 16:00:00,-7708.01831793
2019-01-13 17:00:00,-7200.31848376
2019-01-13 18:00:00,-6671.50595385
2019-01-13 19:00:00,-6125.01393785
2019-01-13 20:00:00,-5564.36503926
2019-01-13 21:00:00,-4993.13895755
