ds,yearly
2019-01-01,-2193.27776061
2019-01-02,-1929.37385363
2019-01-03,-1604.5668436
2019-01-04,-1224.71341209
2019-01-05,-796.595415959
2019-01-06,-327.776145885
2019-01-07,173.559285915
2019-01-08,698.775718455
2019-01-09,1238.96788627
2019-01-10,1785.14436684
2019-01-11,2328.41128688
2019-01-12,2860.15157265
2019-01-13,3372.19566301
2019-01-14,3856.97983837
2019-01-15,4307.68864678
2019-01-16,4718.37832282
2019-01-17,5084.07858283
2019-01-18,5400.87073047
2019-01-19,5665.94060337
2019-01-20,5877.60552081
2019-01-21,6035.31503599
2019-01-22,6139.62593907
2019-01-23,6192.15258184
2019-01-24,6195.49418515
2019-01-25,6153.14133232
2019-01-26,6069.36433057
2019-01-27,5949.08652788
2019-01-28,5797.74599322
2019-01-29,5621.14919797
2019-01-30,5425.32046888
2019-01-31,5216.35101748
2019-02-01,5000.25128641
2019-02-02,4782.81019299
2019-02-03,4569.46460053
2019-02-04,4365.18201532
2019-02-05,4174.35910206
2019-02-06,4000.73814516
2019-02-07,3847.34306996
2019-02-08,3716.4360919
2019-02-09,3609.49549745
2019-02-10,3527.21449377
2019-02-11,3469.52051034
2019-02-12,3435.61380901
2019-02-13,3424.02377374
2019-02-14,3432.68082
2019-02-15,3459.00149661
2019-02-16,3499.98405994
2019-02-17,3552.31158711
2019-02-18,3612.45956713
2019-02-19,3676.80486735
2019-02-20,3741.73301849
2019-02-21,3803.74089006
2019-02-22,3859.53203636
2019-02-23,3906.10227216
2019-02-24,3940.81337902
2019-02-25,3961.45323654
2019-02-26,3966.28110592
2019-02-27,3954.05725267
2019-02-28,3924.0565685
2019-03-01,3876.06632435
2019-03-02,3810.36864517
2019-03-03,3727.708728
2019-03-04,3629.25021775
2019-03-05,3516.51949774
2019-03-06,3391.34093671
2019-03-07,3255.76535232
2019-03-08,3111.99409893
2019-03-09,2962.30126057
2019-03-10,2808.95642822
2019-03-11,2654.15046508
2019-03-12,2499.92651723
2019-03-13,2348.11831623
2019-03-14,2200.29755141
2019-03-15,2057.73177188
2019-03-16,1921.35392204
2019-03-17,1791.7442303
2019-03-18,1669.12477136
2019-03-19,1553.36661909
2019-03-20,1444.00911256
2019-03-21,1340.290384
2019-03-22,1241.18795405
2019-03-23,1145.46789876
2019-03-24,1051.74084069
2019-03-25,958.522821961
2019-03-26,864.298984413
2019-03-27,767.587914875
2019-03-28,667.00451333
2019-03-29,561.31930765
2019-03-30,449.512268045
2019-03-31,330.819362924
2019-04-01,204.770339159
2019-04-02,71.2164961935
2019-04-03,-69.6524542186
2019-04-04,-217.303002502
2019-04-05,-370.864126307
2019-04-06,-529.145074908
2019-04-07,-690.664121235
2019-04-08,-853.687407431
2019-04-09,-1016.27669554
2019-04-10,-1176.34455844
2019-04-11,-1331.71531516
2019-04-12,-1480.1898367
2019-04-13,-1619.61222729
2019-04-14,-1747.93632699
2019-04-15,-1863.28998378
2019-04-16,-1964.0351087
2019-04-17,-2048.82165239
2019-04-18,-2116.63382235
2019-04-19,-2166.8270915
2019-04-20,-2199.15482306
2019-04-21,-2213.78364597
2019-04-22,-2211.29704994
2019-04-23,-2192.687019
2019-04-24,-2159.33387789
2019-04-25,-2112.97487418
2019-04-26,-2055.66235289
2019-04-27,-1989.71268698
2019-04-28,-1917.64739982
2019-04-29,-1842.12814475
2019-04-30,-1765.8873869
2019-05-01,-1691.65675736
2019-05-02,-1622.09511696
2019-05-03,-1559.71837358
2019-05-04,-1506.83304438
2019-05-05,-1465.47544299
2019-05-06,-1437.35820631
2019-05-07,-1423.82566033
2019-05-08,-1425.8192663
2019-05-09,-1443.85409556
2019-05-10,-1478.00696139
2019-05-11,-1527.91650009
2019-05-12,-1592.79514999
2019-05-13,-1671.45263677
2019-05-14,-1762.33024667
2019-05-15,-1863.54486476
2019-05-16,-1972.94148248
2019-05-17,-2088.15264532
2019-05-18,-2206.66312365
2019-05-19,-2325.87795323
2019-05-20,-2443.1919105
2019-05-21,-2556.05846225
2019-05-22,-2662.05626217
2019-05-23,-2758.9513546
2019-05-24,-2844.75338658
2019-05-25,-2917.76431906
2019-05-26,-2976.61835919
2019-05-27,-3020.31210288
2019-05-28,-3048.22417064
2019-05-29,-3060.12393188
2019-05-30,-3056.16923394
2019-05-31,-3036.89337235
2019-06-01,-3003.18184916
2019-06-02,-2956.23975694
2019-06-03,-2897.5508892
2019-06-04,-2828.82990611
2019-06-05,-2751.96907032
2019-06-06,-2668.98120703
2019-06-07,-2581.94063106
2019-06-08,-2492.92381947
2019-06-09,-2403.95159054
2019-06-10,-2316.93448003
2019-06-11,-2233.62288551
2019-06-12,-2155.56338401
2019-06-13,-2084.06242209
2019-06-14,-2020.15833738
2019-06-15,-1964.60240449
2019-06-16,-1917.84931356
2019-06-17,-1880.05719647
2019-06-18,-1851.09702118
2019-06-19,-1830.57088957
2019-06-20,-1817.83850556
2019-06-21,-1812.05083711
2019-06-22,-1812.18978475
2019-06-23,-1817.11249667
2019-06-24,-1825.59884152
2019-06-25,-1836.40046767
2019-06-26,-1848.28984494
2019-06-27,-1860.10770144
2019-06-28,-1870.80733378
2019-06-29,-1879.49438123
2019-06-30,-1885.46080911
2019-07-01,-1888.2120395
2019-07-02,-1887.48639128
2019-07-03,-1883.26624055
2019-07-04,-1875.78057711
2019-07-05,-1865.49890709
2019-07-06,-1853.11672509
2019-07-07,-1839.53304436
2019-07-08,-1825.82072255
2019-07-09,-1813.19054485
2019-07-10,-1802.95022009
2019-07-11,-1796.45960243
2019-07-12,-1795.08356689
2019-07-13,-1800.144038
2019-07-14,-1812.8726951
2019-07-15,-1834.36585525
2019-07-16,-1865.54296529
2019-07-17,-1907.11002167
2019-07-18,-1959.52908353
2019-07-19,-2022.99485536
2019-07-20,-2097.4190978
2019-07-21,-2182.42338397
2019-07-22,-2277.34046285
2019-07-23,-2381.22422776
2019-07-24,-2492.86802579
2019-07-25,-2610.83079009
2019-07-26,-2733.47024006
2019-07-27,-2858.98218129
2019-07-28,-2985.44475404
2019-07-29,-3110.86633137
2019-07-30,-3233.23566136
2019-07-31,-3350.57278284
2019-08-01,-3460.97922552
2019-08-02,-3562.6860309
2019-08-03,-3654.09820094
2019-08-04,-3733.83429353
2019-08-05,-3800.7600346
2019-08-06,-3854.01500046
2019-08-07,-3893.03163598
2019-08-08,-3917.54610694
2019-08-09,-3927.6007316
2019-08-10,-3923.53798941
2019-08-11,-3905.98635611
2019-08-12,-3875.83845648
2019-08-13,-3834.22225131
2019-08-14,-3782.46617716
2019-08-15,-3722.0593296
2019-08-16,-3654.60791854
2019-08-17,-3581.7893229
2019-08-18,-3505.30512965
2019-08-19,-3426.8345566
2019-08-20,-3347.98962947
2019-08-21,-3270.27341355
2019-08-22,-3195.0424899
2019-08-23,-3123.4747202
2019-08-24,-3056.54316767
2019-08-25,-2994.99683964
2019-08-26,-2939.34869625
2019-08-27,-2889.87113801
2019-08-28,-2846.598948
2019-08-29,-2809.3394316
2019-08-30,-2777.68927375
2019-08-31,-2751.057429
2019-09-01,-2728.69317835
2019-09-02,-2709.71833577
2019-09-03,-2693.16246991
2019-09-04,-2677.99992728
2019-09-05,-2663.18740382
2019-09-06,-2647.70081359
2019-09-07,-2630.57024583
2019-09-08,-2610.91188356
2019-09-09,-2587.95587452
2019-09-10,-2561.06929605
2019-09-11,-2529.77353249
2019-09-12,-2493.75558259
2019-09-13,-2452.8730276
2019-09-14,-2407.15261157
2019-09-15,-2356.78260613
2019-09-16,-2302.09934612
2019-09-17,-2243.56852143
2019-09-18,-2181.76198958
2019-09-19,-2117.33102462
2019-09-20,-2050.97703819
2019-09-21,-1983.42089177
2019-09-22,-1915.37196436
2019-09-23,-1847.49814378
2019-09-24,-1780.3978735
2019-09-25,-1714.57531084
2019-09-26,-1650.4195388
2019-09-27,-1588.1886271
2019-09-28,-1527.99916215
2019-09-29,-1469.82166679
2019-09-30,-1413.48211592
2019-10-01,-1358.66952947
2019-10-02,-1304.9493986
2019-10-03,-1251.78248105
2019-10-04,-1198.54829572
2019-10-05,-1144.57246144
2019-10-06,-1089.15686736
2019-10-07,-1031.61153829
2019-10-08,-971.286972424
2019-10-09,-907.605684244
2019-10-10,-840.091685506
2019-10-11,-768.396681153
2019-10-12,-692.321845777
2019-10-13,-611.834176694
2019-10-14,-527.076588694
2019-10-15,-438.371118255
2019-10-16,-346.214835183
2019-10-17,-251.268310449
2019-10-18,-154.336752397
2019-10-19,-56.3441910249
