utc_timestamp,point,q0.025,q0.1,q0.5,q0.9,q0.975
2020-01-01 00:00:00,34062.8400326,27485.717951,29694.4767063,34289.3518914,38596.8420984,40644.8179542
2020-01-01 01:00:00,33303.28247,26290.7463965,29097.9203538,33097.8136315,37558.1148864,39477.0583613
2020-01-01 02:00:00,34043.0226023,27621.7954309,29997.4772181,34289.8834643,38619.8151822,40641.9067809
2020-01-01 03:00:00,36631.4106964,29793.0487647,32020.1336012,36367.5299716,41226.8087302,43132.1014738
2020-01-01 04:00:00,40690.6661951,33970.433632,36462.1939925,40688.4617674,44773.3365239,47542.6341767
2020-01-01 05:00:00,45194.7852402,39000.3921952,41266.6678768,45290.5544392,49741.5153201,52211.6490933
2020-01-01 06:00:00,49061.8557405,42935.7713359,45107.1173011,49194.7836312,53797.6415166,55375.3306831
2020-01-01 07:00:00,51744.3129865,45430.7395091,47695.6619128,51527.9245915,55585.6694319,58109.2290924
2020-01-01 08:00:00,53325.1925998,46316.4725685,48845.4170887,53362.159536,57697.8959798,59816.8909621
2020-01-01 09:00:00,54122.8417269,47063.9599579,49691.5802851,54532.1700452,58762.6475079,61172.5500931
2020-01-01 10:00:00,54269.5139859,47893.4827606,49985.0313622,54528.5825445,59008.9993418,60968.3965635
2020-01-01 11:00:00,53700.2158941,46661.2667488,49011.1774825,53687.6407553,57525.6183129,60212.99343
2020-01-01 12:00:00,52511.2941007,45754.4708472,47935.808616,52414.5128176,56843.9454719,59079.5580763
2020-01-01 13:00:00,51224.0097872,44300.3308385,46870.7777779,51116.1322019,55430.3406594,58270.4763026
2020-01-01 14:00:00,50563.1940216,43629.3294956,45927.0621279,50456.7486068,55133.1367277,57403.6894349
2020-01-01 15:00:00,50870.4184321,43897.6350314,46542.4896136,50936.0376848,55266.6576107,57324.5319633
2020-01-01 16:00:00,51698.0768587,45101.4912589,47290.4161654,51725.3470347,55955.1605325,58346.5695314
2020-01-01 17:00:00,52025.4120928,45013.8091472,47418.248178,51966.655211,56066.7622587,58862.5578848
2020-01-01 18:00:00,50976.4595804,45008.3575673,47013.9431282,51164.1099951,55364.1894586,58088.7521736
2020-01-01 19:00:00,48442.0883385,41901.4037353,44253.907415,48494.9701273,52592.1830841,54998.6476159
2020-01-01 20:00:00,45085.2038279,38103.2097341,40784.9667125,45186.9033315,49392.4170174,51965.3135151
2020-01-01 21:00:00,41773.6319477,34853.394348,37495.561622,41751.3147925,46092.3804073,48877.5629383
2020-01-01 22:00:00,38995.3491106,32560.8678867,34786.5630172,38883.9587743,43427.381144,45673.4166779
2020-01-01 23:00:00,36777.3488119,29960.880648,32418.8716709,36652.984084,40925.8842997,42980.9776626
2020-01-02 00:00:00,45588.4365301,39125.9668833,41390.6901666,45261.8606767,49630.8452883,51934.9347131
2020-01-02 01:00:00,44786.3388637,38322.3368489,40399.3346613,44866.0305173,49080.1523347,51765.5567132
2020-01-02 02:00:00,45470.2650287,39032.7014648,41366.4053258,45481.7403553,49671.8483493,52124.6083455
2020-01-02 03:00:00,47990.9244464,41784.9717345,43682.2608543,48079.5668307,52216.2839043,54202.6974069
2020-01-02 04:00:00,51972.0535794,45856.1617791,48199.3638034,52009.4378972,56072.1390028,58376.9858437
2020-01-02 05:00:00,56389.2912757,49437.8345882,51880.1653534,56240.613726,60259.1654285,62891.4492452
2020-01-02 06:00:00,60162.4601335,53453.1070251,55335.0345398,60018.3261028,64557.1892526,67183.6658834
2020-01-02 07:00:00,62745.7873951,56063.1077567,58437.6931364,62587.5471482,66985.5151609,69789.96779
2020-01-02 08:00:00,64224.1226844,57780.8376965,59552.543135,63970.307607,68458.3623202,71201.5891521
2020-01-02 09:00:00,64917.6140212,57827.6493173,60635.7161303,65234.349527,69647.97932,71846.1422009
2020-01-02 10:00:00,64960.2681463,57762.390792,60407.8661814,65123.5555209,69401.0136142,71472.026271
