utc_timestamp,point,q0.025,q0.1,q0.5,q0.9,q0.975
2020-01-01 00:00:00,40082.8395707,38517.2843437,39059.17803,40082.8395707,41106.5011114,41648.3947977
2020-01-01 01:00:00,38444.2515538,36255.5247699,37013.1200338,38444.2515538,39875.3830738,40632.9783376
2020-01-01 02:00:00,38048.3497895,35398.1141918,36315.453876,38048.3497895,39781.2457029,40698.5853872
2020-01-01 03:00:00,37833.0086,34807.2082398,35854.5440878,37833.0086,39811.4731122,40858.8089601
2020-01-01 04:00:00,38248.8406166,34903.6506634,36061.5384746,38248.8406166,40436.1427586,41594.0305699
2020-01-01 05:00:00,38014.2015336,34390.3035442,35644.6620021,38014.2015336,40383.7410651,41638.099523
2020-01-01 06:00:00,39539.8984559,35668.6332882,37008.6142204,39539.8984559,42071.1826914,43411.1636236
2020-01-01 07:00:00,42680.304288,38586.8362505,40003.7294053,42680.304288,45356.8791706,46773.7723254
2020-01-01 08:00:00,46844.4755715,42549.6150793,44036.2172408,46844.4755715,49652.7339022,51139.3360636
2020-01-01 09:00:00,49075.6237741,44596.9645543,46147.1859151,49075.6237741,52004.0616332,53554.2829939
2020-01-01 10:00:00,50938.0364235,46290.708604,47899.3120951,50938.0364235,53976.760752,55585.3642431
2020-01-01 11:00:00,50889.8799999,46087.0724469,47749.4929382,50889.8799999,54030.2670616,55692.6875529
2020-01-01 12:00:00,47878.3129833,42931.6492637,44643.8634301,47878.3129833,51112.7625366,52824.976703
2020-01-01 13:00:00,46612.2061799,41532.0235079,43290.4532763,46612.2061799,49933.9590834,51692.3888519
2020-01-01 14:00:00,46168.1412965,40963.7028132,42765.1418849,46168.1412965,49571.140708,51372.5797797
2020-01-01 15:00:00,46324.0164903,41003.6763174,42845.2330374,46324.0164903,49802.7999432,51644.3566631
2020-01-01 16:00:00,48553.0504685,43124.3844335,45003.4365415,48553.0504685,52102.6643956,53981.7165036
2020-01-01 17:00:00,49235.8818663,43705.7927096,45619.9509246,49235.8818663,52851.812808,54765.9710229
2020-01-01 18:00:00,48353.9421917,42728.745435,44675.8237329,48353.9421917,52032.0606504,53979.1389484
2020-01-01 19:00:00,46412.451718,40697.9466201,42675.9376737,46412.451718,50148.9657622,52126.9568158
2020-01-01 20:00:00,45000.1250862,39201.6539273,41208.7085857,45000.1250862,48791.5415866,50798.596245
2020-01-01 21:00:00,44612.4407804,38734.938884,40769.3488582,44612.4407804,48455.5327026,50489.9426768
2020-01-01 22:00:00,42920.8384992,36968.8768144,39029.0599383,42920.8384992,46812.6170602,48872.8001841
2020-01-01 23:00:00,39610.4230657,33588.244708,35672.7322902,39610.4230657,43548.1138411,45632.6014233
2020-01-02 00:00:00,37925.5156823,31760.6265195,33894.511327,37925.5156823,41956.5200377,44090.4048451
2020-01-02 01:00:00,37241.7152275,30943.6176466,33123.6105693,37241.7152275,41359.8198858,43539.8128084
2020-01-02 02:00:00,36872.9900541,30450.3154187,32673.4288382,36872.9900541,41072.55127,43295.6646895
2020-01-02 03:00:00,37779.7473657,31240.3714679,33503.8792959,37779.7473657,42055.6154356,44319.1232636
2020-01-02 04:00:00,37767.7124782,31118.8501714,33420.2550935,37767.7124782,42115.169863,44416.5747851
2020-01-02 05:00:00,37566.1438923,30814.4275883,33151.4338937,37566.1438923,41980.853891,44317.8601963
2020-01-02 06:00:00,39216.8480853,32368.3935614,34738.8843646,39216.8480853,43694.811806,46065.3026092
2020-01-02 07:00:00,41723.7811017,34784.2431956,37186.2611586,41723.7811017,46261.3010449,48663.3190078
2020-01-02 08:00:00,44856.8259484,37831.4461005,40263.1769764,44856.8259484,49450.4749203,51882.2057963
2020-01-02 09:00:00,47269.4578153,40163.1049671,42622.8634443,47269.4578153,51916.0521863,54375.8106635
2020-01-02 10:00:00,49197.2289236,42014.4349491,44500.6523867,49197.2289236,53893.8054604,56380.022898
