ds,trend
2015-01-01,54019.146785670004
2015-01-02,54032.9821806048
2015-01-03,54046.8175755396
2015-01-04,54060.652970474395
2015-01-05,54074.48836540919
2015-01-06,54088.32376034399
2015-01-07,54102.15915527879
2015-01-08,54115.99455021358
2015-01-09,54129.829945148376
2015-01-10,54143.66534008317
2015-01-11,54157.500735017966
2015-01-12,54171.33612995277
2015-01-13,54185.17152488756
2015-01-14,54199.00691982236
2015-01-15,54212.84231475716
2015-01-16,54226.677709691954
2015-01-17,54240.51310462675
2015-01-18,54254.34849956155
2015-01-19,54268.183894496346
2015-01-20,54282.01928943114
2015-01-21,54295.85468436594
2015-01-22,54309.69007930074
2015-01-23,54323.52547423554
2015-01-24,54337.360869170334
2015-01-25,54351.19626410512
2015-01-26,54365.031659039916
2015-01-27,54378.86705397472
2015-01-28,54392.70244890951
2015-01-29,54406.537843844315
2015-01-30,54420.37323877911
2015-01-31,54434.208633713904
2015-02-01,54448.04402864871
2015-02-02,54461.8794235835
2015-02-03,54475.714818518296
2015-02-04,54489.5502134531
2015-02-05,54503.38560838789
2015-02-06,54517.22100332269
2015-02-07,54531.05639825749
2015-02-08,54544.891793192284
2015-02-09,54558.72718812708
2015-02-10,54572.562583061874
2015-02-11,54586.39797799667
2015-02-12,54600.23337293146
2015-02-13,54614.068767866265
2015-02-14,54627.90416280106
2015-02-15,54641.739557735855
2015-02-16,54655.57495267066
2015-02-17,54669.41034760545
2015-02-18,54683.245742540246
2015-02-19,54697.08113747505
2015-02-20,54710.91653240984
2015-02-21,54724.751927344645
2015-02-22,54738.58732227944
2015-02-23,54752.422717214235
2015-02-24,54766.25811214904
2015-02-25,54780.09350708383
2015-02-26,54793.92890201862
2015-02-27,54807.76429695341
2015-02-28,54821.599691888216
2015-03-01,54827.218100215534
2015-03-02,54826.967232394665
2015-03-03,54826.71636457378
2015-03-04,54826.4654967529
2015-03-05,54826.21462893202
2015-03-06,54825.96376111114
2015-03-07,54825.712893290256
2015-03-08,54825.46202546939
2015-03-09,54825.211157648504
2015-03-10,54824.96028982762
2015-03-11,54824.70942200674
2015-03-12,54824.45855418586
2015-03-13,54824.207686364985
2015-03-14,54823.95681854411
2015-03-15,54823.705950723226
