ds,yearly
2019-01-01,-2241.8997550780027
2019-01-02,-1990.9767744200158
2019-01-03,-1679.120847379246
2019-01-04,-1312.1287116489596
2019-01-05,-896.725948777457
2019-01-06,-440.42401673365544
2019-01-07,48.63872490970955
2019-01-08,561.868296624292
2019-01-09,1090.394704106175
2019-01-10,1625.2557000164245
2019-01-11,2157.5804552843642
2019-01-12,2678.7689183426214
2019-01-13,3180.6627707632347
2019-01-14,3655.704118653242
2019-01-15,4097.078384900834
2019-01-16,4498.838279059113
2019-01-17,4856.006208446936
2019-01-18,5164.653043099941
2019-01-19,5421.951744067332
2019-01-20,5626.204993664101
2019-01-21,5776.846611193263
2019-01-22,5874.417181707755
2019-01-23,5920.514951981798
2019-01-24,5917.72364093121
2019-01-25,5869.519356294296
2019-01-26,5780.159291719374
2019-01-27,5654.555286653133
2019-01-28,5498.135655674342
2019-01-29,5316.698926640066
2019-01-30,5116.263263109957
2019-01-31,4902.9153835617135
2019-02-01,4682.662728102026
2019-02-02,4461.29246552086
2019-02-03,4244.24068507036
2019-02-04,4036.474785941092
2019-02-05,3842.3916730378232
2019-02-06,3665.733901956457
2019-02-07,3509.5254024105902
2019-02-08,3376.0278620675754
2019-02-09,3266.7182870174856
2019-02-10,3182.2876863678543
2019-02-11,3122.6602721003383
2019-02-12,3087.032036144562
2019-02-13,3073.9270785366393
2019-02-14,3081.269626157261
2019-02-15,3106.469311762998
2019-02-16,3146.5169869757897
2019-02-17,3198.088127375947
2019-02-18,3257.650757471498
2019-02-19,3321.5747802162955
2019-02-20,3386.239639614735
2019-02-21,3448.1373730739474
2019-02-22,3503.968317480402
2019-02-23,3550.727012361056
2019-02-24,3585.776185785519
2019-02-25,3606.9071031845833
2019-02-26,3612.3849939380907
2019-02-27,3600.9787324098284
2019-02-28,3571.9744254810985
2019-03-01,3525.173033805168
2019-03-02,3460.8726153453536
2019-03-03,3379.836214354308
2019-03-04,3283.2468146931046
2019-03-05,3172.6511226057623
2019-03-06,3049.8942314821875
2019-03-07,2917.0474425633997
2019-03-08,2776.331665453092
