time_europe_berlin,seasonal_naive_168h,year_ago_scaled,lightgbm,blend_lgb_yearago,actual
2020-01-01 00:00:00+01:00,40561.0,42901.0,44376.0,43934.0,42335.0
2020-01-01 01:00:00+01:00,38223.0,41444.0,43289.0,42736.0,41187.0
2020-01-01 02:00:00+01:00,36936.0,40965.0,42269.0,41878.0,40398.0
2020-01-01 03:00:00+01:00,36637.0,40593.0,42391.0,41851.0,38919.0
2020-01-01 04:00:00+01:00,36614.0,42213.0,42385.0,42334.0,38879.0
2020-01-01 05:00:00+01:00,37078.0,44977.0,42346.0,43136.0,39162.0
2020-01-01 06:00:00+01:00,37024.0,50656.0,44342.0,46236.0,37510.0
2020-01-01 07:00:00+01:00,38634.0,55890.0,43824.0,47444.0,37892.0
2020-01-01 08:00:00+01:00,41955.0,59007.0,45322.0,49428.0,38677.0
2020-01-01 09:00:00+01:00,46241.0,60824.0,47451.0,51463.0,41091.0
2020-01-01 10:00:00+01:00,48911.0,62204.0,49331.0,53193.0,43094.0
2020-01-01 11:00:00+01:00,50798.0,63342.0,50515.0,54363.0,45249.0
2020-01-01 12:00:00+01:00,50512.0,63604.0,50974.0,54763.0,46498.0
2020-01-01 13:00:00+01:00,47742.0,62776.0,49576.0,53536.0,46328.0
2020-01-01 14:00:00+01:00,46317.0,61255.0,48551.0,52362.0,45115.0
2020-01-01 15:00:00+01:00,45547.0,61328.0,48557.0,52388.0,45039.0
2020-01-01 16:00:00+01:00,45486.0,62234.0,48975.0,52953.0,47313.0
2020-01-01 17:00:00+01:00,47631.0,66079.0,52403.0,56506.0,51194.0
2020-01-01 18:00:00+01:00,48297.0,65980.0,52599.0,56613.0,51755.0
2020-01-01 19:00:00+01:00,47359.0,63949.0,50889.0,54807.0,50732.0
2020-01-01 20:00:00+01:00,45470.0,60543.0,48486.0,52103.0,48591.0
2020-01-01 21:00:00+01:00,44323.0,57676.0,47079.0,50258.0,47664.0
2020-01-01 22:00:00+01:00,43864.0,55757.0,47139.0,49725.0,46994.0
