utc_timestamp,point,q0.025,q0.1,q0.5,q0.9,q0.975
2020-01-01 00:00:00,41219.512,37048.852,37914.051,41219.512,45558.195,48947.703
2020-01-01 01:00:00,39295.898,35147.031,35776.516,39295.898,44249.926,48310.715
2020-01-01 02:00:00,39141.496,35184.047,35344.277,39141.496,44169.051,48507.137
2020-01-01 03:00:00,39074.047,35191.055,35206.766,39074.047,44320.090,48996.996
2020-01-01 04:00:00,39640.840,35945.645,36110.574,39640.840,45042.492,49953.945
2020-01-01 05:00:00,40667.621,36542.918,36948.980,40667.621,46172.043,50610.941
2020-01-01 06:00:00,40826.480,36385.730,36817.633,40826.480,47429.906,53146.898
2020-01-01 07:00:00,44359.133,39505.320,40463.215,44359.133,50949.453,56442.879
2020-01-01 08:00:00,44690.594,39180.809,40866.359,44690.594,51220.090,55563.801
2020-01-01 09:00:00,46355.793,40227.840,41578.012,46355.793,53322.508,59781.336
2020-01-01 10:00:00,46960.793,40156.074,42220.363,46960.793,53629.457,59542.883
2020-01-01 11:00:00,47606.855,40037.988,42242.879,47606.855,55084.281,60750.484
2020-01-01 12:00:00,49246.152,41784.285,44514.996,49246.152,56674.086,61684.812
2020-01-01 13:00:00,47420.898,40327.277,42613.281,47420.898,53369.914,59033.883
2020-01-01 14:00:00,47120.656,40320.691,42837.734,47120.656,54028.707,59399.016
2020-01-01 15:00:00,48015.703,41466.645,43830.730,48015.703,54372.066,60224.766
2020-01-01 16:00:00,49744.668,41605.688,45014.398,49744.668,56165.969,63136.656
2020-01-01 17:00:00,49562.164,41769.352,44983.637,49562.164,55545.539,60531.402
2020-01-01 18:00:00,49014.688,41123.309,44180.246,49014.688,56144.117,61762.219
2020-01-01 19:00:00,48241.254,40570.750,43754.430,48241.254,54412.645,60954.816
2020-01-01 20:00:00,47941.746,40488.387,43456.707,47941.746,54589.320,59456.801
2020-01-01 21:00:00,46463.172,39862.395,42612.031,46463.172,52073.211,55941.660
2020-01-01 22:00:00,43447.875,37843.680,39497.719,43447.875,50052.125,55552.555
2020-01-01 23:00:00,41253.113,36434.738,37376.348,41253.113,47984.340,52627.730
2020-01-02 00:00:00,40671.656,35727.684,36787.270,40671.656,47618.250,53918.703
2020-01-02 01:00:00,38693.473,34808.879,34937.555,38693.473,46104.094,52644.109
2020-01-02 02:00:00,38525.363,34243.836,34684.004,38525.363,45555.867,51318.789
2020-01-02 03:00:00,38442.891,34190.883,34826.480,38442.891,45550.562,52767.086
2020-01-02 04:00:00,39516.523,34403.016,35697.402,39516.523,48159.520,58012.254
2020-01-02 05:00:00,40699.992,35606.340,36531.957,40699.992,48228.473,55199.188
2020-01-02 06:00:00,42472.543,36441.570,38301.031,42472.543,49999.469,56420.176
2020-01-02 07:00:00,44610.121,37387.605,40008.738,44610.121,53773.742,61170.238
2020-01-02 08:00:00,45595.633,37822.059,40850.844,45595.633,52570.938,59266.137
2020-01-02 09:00:00,47273.930,38843.477,42431.434,47273.930,54165.355,61299.461
2020-01-02 10:00:00,48604.848,39610.844,43426.301,48604.848,57311.129,63851.062
2020-01-02 11:00:00,49406.477,40127.191,44278.484,49406.477,59347.844,67809.477
2020-01-02 12:00:00,49036.371,39790.277,43461.301,49036.371,58555.055,66364.297
2020-01-02 13:00:00,52058.809,41875.641,46269.344,52058.809,60377.000,67216.555
2020-01-02 14:00:00,49884.621,40858.645,44737.824,49884.621,57083.012,63939.680
2020-01-02 15:00:00,52196.582,41673.680,46465.855,52196.582,60797.613,68530.953
2020-01-02 16:00:00,52928.250,42212.320,47170.426,52928.250,61932.648,68248.680
2020-01-02 17:00:00,54150.289,42603.902,48475.438,54150.289,62282.379,68932.656
2020-01-02 18:00:00,52872.879,42809.926,47409.375,52872.879,59715.934,66209.695
2020-01-02 19:00:00,50843.500,41642.051,45839.688,50843.500,57034.297,63513.996
2020-01-02 20:00:00,48769.199,40382.605,44295.023,48769.199,55785.801,61482.180
2020-01-02 21:00:00,48419.250,40405.664,44380.273,48419.250,55857.820,61416.543
2020-01-02 22:00:00,45123.445,38483.531,41053.969,45123.445,51980.555,58175.414
2020-01-02 23:00:00,44179.891,37849.699,40814.516,44179.891,50537.008,55486.805
2020-01-03 00:00:00,44015.684,37453.516,39595.805,44015.684,50411.605,56357.480
2020-01-03 01:00:00,41882.055,36615.965,38382.910,41882.055,49588.004,55439.891
2020-01-03 02:00:00,42117.223,36275.367,38326.348,42117.223,49416.477,55197.020
2020-01-03 03:00:00,41891.730,36373.062,38278.215,41891.730,48044.367,53804.289
2020-01-03 04:00:00,44090.766,37950.594,40178.750,44090.766,52903.855,59078.645
2020-01-03 05:00:00,46434.371,38356.977,41738.461,46434.371,54635.406,61230.898
2020-01-03 06:00:00,50018.160,41101.773,45243.160,50018.160,57195.699,62896.871
2020-01-03 07:00:00,52757.824,42117.242,46995.180,52757.824,60561.891,67612.180
2020-01-03 08:00:00,57075.383,44261.273,50856.121,57075.383,65338.211,70892.164
2020-01-03 09:00:00,57442.914,44224.500,51060.414,57442.914,65609.523,71300.141
2020-01-03 10:00:00,58618.254,44092.852,52545.219,58618.254,66598.688,71525.219
2020-01-03 11:00:00,59268.801,44414.914,52917.762,59268.801,66545.586,70757.648
2020-01-03 12:00:00,59664.863,45088.770,53827.434,59664.863,67386.062,71760.734
2020-01-03 13:00:00,58883.922,44952.934,52674.000,58883.922,65904.867,70451.281
2020-01-03 14:00:00,58472.438,44817.941,52731.699,58472.438,65923.016,70252.344
2020-01-03 15:00:00,59552.242,44318.738,53581.242,59552.242,65921.625,69966.109
2020-01-03 16:00:00,60081.469,45023.719,54175.043,60081.469,67992.094,72540.523
2020-01-03 17:00:00,60536.688,45286.078,54436.527,60536.688,67704.156,71469.234
2020-01-03 18:00:00,58611.930,45075.207,53129.352,58611.930,65457.039,69822.609
2020-01-03 19:00:00,59058.730,45383.586,53202.949,59058.730,66160.578,70725.531
2020-01-03 20:00:00,56636.695,44477.691,51037.281,56636.695,63523.586,68365.898
2020-01-03 21:00:00,52650.719,42656.285,47984.531,52650.719,58556.305,62978.852
2020-01-03 22:00:00,48627.234,40379.977,44576.258,48627.234,54452.859,59267.641
2020-01-03 23:00:00,46519.168,39403.258,42910.969,46519.168,53358.395,57951.629
2020-01-04 00:00:00,45364.352,38378.328,41468.887,45364.352,51917.805,57831.430
2020-01-04 01:00:00,43812.273,37810.875,39894.496,43812.273,50044.113,55520.898
2020-01-04 02:00:00,42005.621,36707.504,38378.500,42005.621,48842.008,54320.109
2020-01-04 03:00:00,42809.711,36961.570,38962.512,42809.711,49463.305,54932.105
2020-01-04 04:00:00,44272.820,37663.355,40755.211,44272.820,51646.316,57602.805
2020-01-04 05:00:00,46021.309,38515.969,41935.746,46021.309,52571.164,58033.781
2020-01-04 06:00:00,47494.781,39838.148,43182.844,47494.781,55839.809,61985.129
2020-01-04 07:00:00,50615.484,41167.723,45537.910,50615.484,58345.820,65074.121
2020-01-04 08:00:00,53744.738,42789.934,48230.883,53744.738,62562.590,69453.055
2020-01-04 09:00:00,54787.094,43009.145,49180.652,54787.094,62879.242,69527.891
2020-01-04 10:00:00,57038.473,43939.273,50830.336,57038.473,66115.805,71719.883
2020-01-04 11:00:00,57191.312,43868.984,50776.141,57191.312,66329.742,72624.703
2020-01-04 12:00:00,56170.512,43939.684,50326.203,56170.512,65443.492,71978.031
2020-01-04 13:00:00,57456.559,44039.316,51687.164,57456.559,65767.273,71161.164
2020-01-04 14:00:00,56031.496,43831.305,50317.551,56031.496,64993.020,70195.180
2020-01-04 15:00:00,57914.074,45144.660,52753.871,57914.074,64851.629,69273.602
2020-01-04 16:00:00,59518.004,44692.867,53571.273,59518.004,66985.656,71144.562
2020-01-04 17:00:00,58809.984,44973.863,53104.340,58809.984,66487.234,70512.344
2020-01-04 18:00:00,58095.461,44339.750,52112.387,58095.461,65568.422,70175.180
2020-01-04 19:00:00,57048.910,44755.094,51617.508,57048.910,64609.383,69760.898
2020-01-04 20:00:00,54663.383,43890.336,49527.340,54663.383,62220.961,68187.609
2020-01-04 21:00:00,51862.324,42596.000,47754.094,51862.324,57382.602,61371.500
2020-01-04 22:00:00,50316.363,41313.945,46017.645,50316.363,57105.816,62381.703
2020-01-04 23:00:00,48188.977,39561.680,43893.883,48188.977,55257.762,61444.949
2020-01-05 00:00:00,43568.457,37188.586,39860.879,43568.457,49810.828,55508.094
2020-01-05 01:00:00,42189.832,36741.168,38781.461,42189.832,49188.328,55767.883
2020-01-05 02:00:00,41312.547,36080.422,38096.695,41312.547,48397.602,54612.863
2020-01-05 03:00:00,41228.230,35894.254,37733.324,41228.230,48998.520,54877.281
2020-01-05 04:00:00,41693.730,36224.062,37929.078,41693.730,49519.977,57106.824
2020-01-05 05:00:00,42801.598,36389.801,39139.348,42801.598,51805.754,57666.121
2020-01-05 06:00:00,44810.195,37305.082,40296.172,44810.195,53947.836,61297.320
2020-01-05 07:00:00,47047.527,38603.262,41821.766,47047.527,57908.527,65381.992
2020-01-05 08:00:00,49561.164,39892.324,44318.004,49561.164,59361.625,66271.344
2020-01-05 09:00:00,50705.004,40979.801,45337.121,50705.004,60858.930,67989.445
2020-01-05 10:00:00,52607.191,41722.258,47085.039,52607.191,61298.859,67565.031
2020-01-05 11:00:00,53783.680,42902.340,48888.773,53783.680,61833.996,67662.141
2020-01-05 12:00:00,55360.121,42469.988,49900.082,55360.121,65646.586,71605.023
2020-01-05 13:00:00,53530.688,42476.992,47976.332,53530.688,64433.418,71496.781
2020-01-05 14:00:00,53467.031,42442.297,48488.098,53467.031,61930.348,68116.352
2020-01-05 15:00:00,54360.316,42517.836,48694.539,54360.316,64371.496,70432.836
2020-01-05 16:00:00,56092.598,43862.664,50689.055,56092.598,64864.109,70537.070
2020-01-05 17:00:00,56143.422,44137.738,50683.152,56143.422,63452.344,68789.320
2020-01-05 18:00:00,54938.316,43549.410,49770.230,54938.316,62614.363,68043.703
2020-01-05 19:00:00,54521.508,43367.758,49442.305,54521.508,61152.578,66052.195
2020-01-05 20:00:00,53756.719,42519.871,48370.176,53756.719,60923.422,66371.898
2020-01-05 21:00:00,50985.746,41408.000,46068.820,50985.746,58186.875,63032.312
2020-01-05 22:00:00,47909.969,39849.363,43962.242,47909.969,54906.332,60436.719
2020-01-05 23:00:00,47109.160,38910.875,43006.578,47109.160,54927.711,60620.324
2020-01-06 00:00:00,45171.402,38072.832,41025.832,45171.402,52535.309,58430.762
2020-01-06 01:00:00,44297.461,37408.895,39991.625,44297.461,51476.340,58079.375
2020-01-06 02:00:00,44426.660,37549.336,40160.395,44426.660,52446.430,59756.152
2020-01-06 03:00:00,44429.750,37151.031,40143.438,44429.750,52514.969,58953.559
2020-01-06 04:00:00,47192.664,38968.805,42817.801,47192.664,53733.324,59571.379
2020-01-06 05:00:00,47439.352,38960.680,42817.383,47439.352,56775.844,64161.969
2020-01-06 06:00:00,48869.227,39450.391,44054.469,48869.227,58546.426,64749.633
2020-01-06 07:00:00,52892.691,41875.641,47324.793,52892.691,62932.348,70321.102
2020-01-06 08:00:00,54278.152,42535.121,48317.145,54278.152,62717.684,70091.641
2020-01-06 09:00:00,57969.941,43923.309,52419.086,57969.941,66402.664,71675.914
2020-01-06 10:00:00,58437.848,43800.910,52325.945,58437.848,67150.641,71640.453
2020-01-06 11:00:00,58558.758,43931.242,53034.340,58558.758,67153.875,72449.773
2020-01-06 12:00:00,58239.086,43760.465,52217.008,58239.086,66590.641,71691.312
2020-01-06 13:00:00,58059.793,43553.602,53056.281,58059.793,67315.156,72188.281
2020-01-06 14:00:00,57786.043,44196.184,52397.848,57786.043,65313.840,70680.336
2020-01-06 15:00:00,60138.941,45174.973,54576.840,60138.941,66443.000,70001.758
2020-01-06 16:00:00,59955.406,44873.078,54690.039,59955.406,66970.750,70771.031
2020-01-06 17:00:00,59899.098,45164.211,54346.918,59899.098,66201.594,69944.344
2020-01-06 18:00:00,60102.637,45342.992,54840.730,60102.637,66138.148,69332.156
2020-01-06 19:00:00,59067.770,44917.832,53560.500,59067.770,66749.266,71307.438
2020-01-06 20:00:00,53957.750,42884.918,49209.164,53957.750,61433.043,66274.695
2020-01-06 21:00:00,53657.961,43104.266,49087.438,53657.961,60641.887,64995.484
2020-01-06 22:00:00,50488.828,40744.551,45658.289,50488.828,56921.531,61551.238
2020-01-06 23:00:00,47591.602,39026.672,43333.383,47591.602,53792.828,58321.805
2020-01-07 00:00:00,45517.285,38261.402,41540.344,45517.285,52180.707,57029.055
2020-01-07 01:00:00,43065.242,36464.723,39218.840,43065.242,50822.641,57246.125
2020-01-07 02:00:00,43882.055,37526.504,40584.031,43882.055,50937.824,56640.543
2020-01-07 03:00:00,44640.641,37626.660,40382.684,44640.641,52713.035,58825.301
2020-01-07 04:00:00,44707.598,37526.434,40852.242,44707.598,51568.176,57187.211
2020-01-07 05:00:00,47354.395,39563.395,42709.348,47354.395,55637.312,62446.230
2020-01-07 06:00:00,48664.035,39346.684,43876.125,48664.035,58606.695,65250.031
2020-01-07 07:00:00,50486.340,40732.211,45508.297,50486.340,59619.387,66801.336
2020-01-07 08:00:00,52045.930,40855.129,46526.258,52045.930,61124.230,67693.367
2020-01-07 09:00:00,53301.227,42040.848,47860.754,53301.227,62402.500,68097.094
2020-01-07 10:00:00,56170.910,43081.461,50462.176,56170.910,65976.789,71435.211
2020-01-07 11:00:00,56269.418,43450.926,50967.156,56269.418,66847.156,72883.648
2020-01-07 12:00:00,55145.766,42810.742,49963.906,55145.766,63742.484,69853.672
2020-01-07 13:00:00,55600.613,43232.430,50378.047,55600.613,64560.824,69662.922
2020-01-07 14:00:00,55018.895,43168.855,49586.141,55018.895,64595.180,70642.875
