utc_timestamp,point,q0.025,q0.1,q0.5,q0.9,q0.975
2020-01-01 00:00:00,33757.647,26374.442,29191.382,33687.000,38154.900,40734.373
2020-01-01 01:00:00,32997.629,26230.272,28656.610,32956.856,37043.589,39551.193
2020-01-01 02:00:00,33736.939,27137.461,29412.758,33558.415,37915.789,40002.999
2020-01-01 03:00:00,36324.923,29943.198,32152.390,36499.511,40670.737,43093.717
2020-01-01 04:00:00,40383.783,33793.265,35955.262,40388.827,44758.840,46964.248
2020-01-01 05:00:00,44887.499,38258.726,40425.969,44821.851,49172.991,51842.939
2020-01-01 06:00:00,48754.158,42440.023,44306.170,48593.134,53087.543,55846.006
2020-01-01 07:00:00,51436.206,44414.676,46952.180,51632.887,55792.346,58247.146
2020-01-01 08:00:00,53016.686,46697.841,48858.485,53203.775,57188.204,59450.481
2020-01-01 09:00:00,53813.944,47043.753,49804.457,53719.109,58468.182,60314.017
2020-01-01 10:00:00,53960.226,47296.813,49574.859,54117.883,58324.525,60533.661
2020-01-01 11:00:00,53390.533,47085.809,49098.080,53342.537,57828.185,60103.503
2020-01-01 12:00:00,52201.215,45215.419,47808.804,52140.062,56285.515,58769.361
2020-01-01 13:00:00,50913.540,43902.271,46496.985,51363.874,55551.886,57568.895
2020-01-01 14:00:00,50252.343,43732.192,46158.098,50435.975,54622.402,57135.861
2020-01-01 15:00:00,50559.191,44331.419,46563.832,50684.529,54979.888,57284.415
2020-01-01 16:00:00,51386.467,44869.575,47360.459,51480.098,55784.979,57970.125
2020-01-01 17:00:00,51713.414,45019.261,47234.401,51420.549,55994.812,58310.884
2020-01-01 18:00:00,50664.077,43954.385,46345.097,50829.673,55324.330,57623.553
2020-01-01 19:00:00,48129.334,41909.700,44117.250,48095.538,52359.589,54914.175
2020-01-01 20:00:00,44772.088,37847.989,40303.731,44906.714,49129.865,51447.650
2020-01-01 21:00:00,41460.149,34622.265,37071.504,41541.476,45415.840,48411.938
2020-01-01 22:00:00,38681.475,31993.089,34422.131,38355.857,42946.452,44721.802
2020-01-01 23:00:00,36463.055,29790.588,31829.669,36512.840,40784.594,43261.310
2020-01-02 00:00:00,45305.230,38629.070,40778.840,45270.325,49820.573,51790.183
2020-01-02 01:00:00,44502.714,38047.180,40399.016,44692.490,48943.513,51553.012
2020-01-02 02:00:00,45186.249,38640.443,40818.969,45174.398,49540.158,51792.676
2020-01-02 03:00:00,47706.542,41370.286,43522.257,47720.000,51812.459,54691.268
2020-01-02 04:00:00,51687.311,44870.239,47369.937,51571.414,56176.096,58570.398
2020-01-02 05:00:00,56104.179,49527.130,52036.629,56141.560,60356.736,62268.149
2020-01-02 06:00:00,59876.967,53294.483,55774.221,59958.013,64304.689,66161.940
2020-01-02 07:00:00,62459.912,55242.155,57749.005,62394.822,66850.161,69162.187
2020-01-02 08:00:00,63937.872,56785.662,59106.170,63521.591,67968.807,70437.356
2020-01-02 09:00:00,64630.993,57942.286,60033.115,64626.245,68989.539,70764.451
2020-01-02 10:00:00,64673.275,57809.906,60262.932,64463.480,68906.052,71498.120
2020-01-02 11:00:00,64001.390,57116.816,59792.634,63917.404,68393.638,70447.871
2020-01-02 12:00:00,62713.246,56642.495,58789.431,62699.318,66889.964,68910.715
2020-01-02 13:00:00,61331.528,55089.622,57081.014,61239.181,66009.086,67949.406
2020-01-02 14:00:00,60582.315,53803.697,56073.413,60781.104,65250.216,67295.037
2020-01-02 15:00:00,60808.222,54167.164,56585.801,60603.791,65211.140,67356.158
2020-01-02 16:00:00,61562.467,55055.759,57054.748,61693.803,66212.646,68322.311
2020-01-02 17:00:00,61824.893,54918.706,57644.316,61619.368,65981.100,68557.330
2020-01-02 18:00:00,60719.895,54242.127,56394.136,60779.333,65172.455,67294.654
2020-01-02 19:00:00,58138.444,51930.464,54223.990,58213.916,62328.848,64682.722
2020-01-02 20:00:00,54743.277,47871.224,49993.399,54722.867,58802.107,61493.679
2020-01-02 21:00:00,51401.770,45288.926,47370.367,51453.018,55598.889,58096.503
2020-01-02 22:00:00,48601.186,41694.699,43994.412,48331.569,52840.997,55353.190
2020-01-02 23:00:00,46367.569,39655.529,42050.415,46554.781,50745.202,52864.491
2020-01-03 00:00:00,44679.344,38242.131,40223.198,44507.532,48929.908,51282.112
2020-01-03 01:00:00,43871.269,37641.635,39630.810,43618.911,47874.918,49865.024
2020-01-03 02:00:00,44551.743,38138.545,40262.714,44442.787,48757.086,51053.636
2020-01-03 03:00:00,47069.674,40057.540,42723.960,46997.048,51535.956,53684.306
2020-01-03 04:00:00,51046.829,44560.382,46635.073,51218.875,55464.074,58064.409
2020-01-03 05:00:00,55456.758,48948.476,51243.378,55245.823,59810.928,62174.563
