utc_timestamp,point,q0.025,q0.1,q0.5,q0.9,q0.975
2020-01-01 00:00:00,40218.298,38535.187,39117.771,40218.298,41318.826,41901.410
2020-01-01 01:00:00,38509.987,35794.205,36734.233,38509.987,40285.741,41225.768
2020-01-01 02:00:00,38085.688,34630.432,35826.418,38085.688,40344.959,41540.945
2020-01-01 03:00:00,37721.279,33728.670,35110.652,37721.279,40331.907,41713.889
2020-01-01 04:00:00,37978.857,33561.249,35090.338,37978.857,40867.376,42396.466
2020-01-01 05:00:00,37578.830,32814.423,34463.552,37578.830,40694.108,42343.237
2020-01-01 06:00:00,38960.025,33906.573,35655.750,38960.025,42264.299,44013.477
2020-01-01 07:00:00,41976.446,36678.685,38512.427,41976.446,45440.465,47274.206
2020-01-01 08:00:00,46243.715,40737.365,42643.306,46243.715,49844.123,51750.064
2020-01-01 09:00:00,48208.393,42522.604,44490.656,48208.393,51926.130,53894.181
2020-01-01 10:00:00,49856.586,44015.534,46037.327,49856.586,53675.844,55697.638
2020-01-01 11:00:00,49882.960,43906.943,45975.453,49882.960,53790.467,55858.976
2020-01-01 12:00:00,46753.709,40659.937,42769.206,46753.709,50738.212,52847.481
2020-01-01 13:00:00,45602.127,39405.304,41550.242,45602.127,49654.013,51798.951
2020-01-01 14:00:00,45351.617,39064.382,41240.615,45351.617,49462.619,51638.852
2020-01-01 15:00:00,45622.507,39255.783,41459.530,45622.507,49785.484,51989.230
2020-01-01 16:00:00,48134.790,41698.058,43926.037,48134.790,52343.543,54571.523
2020-01-01 17:00:00,48895.537,42397.052,44646.406,48895.537,53144.668,55394.022
2020-01-01 18:00:00,48130.178,41577.152,43845.384,48130.178,52414.971,54683.203
2020-01-01 19:00:00,46220.535,39619.285,41904.210,46220.535,50536.860,52821.784
2020-01-01 20:00:00,44802.083,38158.154,40457.851,44802.083,49146.315,51446.012
2020-01-01 21:00:00,44463.740,37782.007,40094.790,44463.740,48832.691,51145.473
2020-01-01 22:00:00,42954.312,36239.069,38563.451,42954.312,47345.174,49669.555
2020-01-01 23:00:00,39756.441,33011.476,35346.145,39756.441,44166.736,46501.406
2020-01-02 00:00:00,38187.045,31341.420,33710.932,38187.045,42663.159,45032.671
2020-01-02 01:00:00,37323.786,30357.923,32769.053,37323.786,41878.518,44289.648
2020-01-02 02:00:00,36913.061,29834.381,32284.561,36913.061,41541.561,43991.741
2020-01-02 03:00:00,37656.713,30479.892,32964.042,37656.713,42349.384,44833.534
2020-01-02 04:00:00,37533.137,30269.867,32783.940,37533.137,42282.335,44796.408
2020-01-02 05:00:00,37161.407,29821.968,32362.406,37161.407,41960.408,44500.846
2020-01-02 06:00:00,38694.392,31287.734,33851.439,38694.392,43537.345,46101.049
2020-01-02 07:00:00,41058.215,33592.166,36176.428,41058.215,45940.002,48524.265
2020-01-02 08:00:00,44224.253,36705.672,39308.117,44224.253,49140.389,51742.834
2020-01-02 09:00:00,46293.078,38727.991,41346.533,46293.078,51239.622,53858.165
2020-01-02 10:00:00,48078.721,40472.429,43105.234,48078.721,53052.207,55685.012
2020-01-02 11:00:00,48398.168,40755.345,43400.794,48398.168,53395.541,56040.991
2020-01-02 12:00:00,46461.497,38786.265,41442.932,46461.497,51480.061,54136.728
2020-01-02 13:00:00,45375.485,37671.487,40338.112,45375.485,50412.859,53079.483
2020-01-02 14:00:00,45806.965,38077.423,40752.889,45806.965,50861.041,53536.508
2020-01-02 15:00:00,47629.088,39876.853,42560.174,47629.088,52698.003,55381.324
2020-01-02 16:00:00,49635.932,41863.529,44553.831,49635.932,54718.033,57408.335
2020-01-02 17:00:00,49528.270,41737.939,44434.446,49528.270,54622.093,57318.600
2020-01-02 18:00:00,48658.940,40852.667,43554.693,48658.940,53763.187,56465.212
2020-01-02 19:00:00,46882.450,39061.999,41768.932,46882.450,51995.969,54702.902
2020-01-02 20:00:00,46478.091,38645.026,41356.325,46478.091,51599.858,54311.157
2020-01-02 21:00:00,46375.542,38531.252,41246.437,46375.542,51504.647,54219.831
2020-01-02 22:00:00,43257.424,35403.146,38121.788,43257.424,48393.061,51111.702
2020-01-02 23:00:00,40644.122,32780.954,35502.673,40644.122,45785.572,48507.291
2020-01-03 00:00:00,39317.377,31419.633,34153.320,39317.377,44481.434,47215.120
2020-01-03 01:00:00,38441.721,30501.414,33249.834,38441.721,43633.608,46382.028
2020-01-03 02:00:00,38397.004,30416.147,33178.602,38397.004,43615.407,46377.862
2020-01-03 03:00:00,39191.560,31175.085,33949.869,39191.560,44433.251,47208.035
2020-01-03 04:00:00,40300.155,32252.030,35037.769,40300.155,45562.541,48348.280
2020-01-03 05:00:00,42600.338,34524.119,37319.582,42600.338,47881.094,50676.558
2020-01-03 06:00:00,46675.451,38574.277,41378.378,46675.451,51972.525,54776.626
2020-01-03 07:00:00,50002.092,41878.743,44690.520,50002.092,55313.664,58125.441
2020-01-03 08:00:00,52547.051,44403.993,47222.591,52547.051,57871.511,60690.109
2020-01-03 09:00:00,53642.910,45482.328,48306.992,53642.910,58978.828,61803.492
2020-01-03 10:00:00,54295.929,46119.762,48949.821,54295.929,59642.037,62472.096
2020-01-03 11:00:00,54953.461,46763.430,49598.288,54953.461,60308.634,63143.491
2020-01-03 12:00:00,54186.692,45984.327,48823.454,54186.692,59549.931,62389.058
2020-01-03 13:00:00,53532.357,45319.016,48161.942,53532.357,58902.773,61745.699
2020-01-03 14:00:00,53635.367,45412.257,48258.564,53635.367,59012.170,61858.478
2020-01-03 15:00:00,55165.315,46933.508,49782.826,55165.315,60547.804,63397.122
2020-01-03 16:00:00,57539.201,49299.653,52151.650,57539.201,62926.753,65778.750
2020-01-03 17:00:00,57008.567,48762.126,51616.509,57008.567,62400.625,65255.009
2020-01-03 18:00:00,55513.130,47260.551,50117.059,55513.130,60909.202,63765.709
2020-01-03 19:00:00,52146.077,43888.032,46746.432,52146.077,57545.722,60404.122
2020-01-03 20:00:00,49697.357,41434.444,44294.529,49697.357,55100.185,57960.270
2020-01-03 21:00:00,48289.159,40021.910,42883.496,48289.159,53694.822,56556.407
2020-01-03 22:00:00,45661.721,37390.611,40253.533,45661.721,51069.909,53932.831
2020-01-03 23:00:00,42966.148,34691.598,37555.711,42966.148,48376.585,51240.698
2020-01-04 00:00:00,41376.460,33087.737,35956.755,41376.460,46796.165,49665.183
2020-01-04 01:00:00,40775.728,32469.370,35344.493,40775.728,46206.962,49082.085
2020-01-04 02:00:00,40600.485,32277.249,35158.213,40600.485,46042.757,48923.721
2020-01-04 03:00:00,41179.787,32841.686,35727.796,41179.787,46631.779,49517.889
2020-01-04 04:00:00,41325.155,32973.811,35864.505,41325.155,46785.806,49676.499
2020-01-04 05:00:00,41505.837,33142.711,36037.483,41505.837,46974.191,49868.962
2020-01-04 06:00:00,43816.128,35442.518,38340.918,43816.128,49291.338,52189.739
2020-01-04 07:00:00,46939.210,38556.266,41457.897,46939.210,52420.522,55322.153
2020-01-04 08:00:00,50183.310,41792.059,44696.566,50183.310,55670.055,58574.562
2020-01-04 09:00:00,50439.036,42040.388,44947.455,50439.036,55930.617,58837.685
2020-01-04 10:00:00,51150.861,42745.626,45654.973,51150.861,56646.748,59556.095
2020-01-04 11:00:00,51168.595,42757.496,45668.873,51168.595,56668.318,59579.695
2020-01-04 12:00:00,49994.533,41578.210,44491.395,49994.533,55497.670,58410.855
2020-01-04 13:00:00,48785.228,40364.254,43279.049,48785.228,54291.407,57206.203
2020-01-04 14:00:00,49776.850,41351.732,44267.962,49776.850,55285.739,58201.968
2020-01-04 15:00:00,52476.220,44047.411,46964.918,52476.220,57987.521,60905.028
2020-01-04 16:00:00,55786.310,47354.214,50272.859,55786.310,61299.761,64218.406
2020-01-04 17:00:00,55859.266,47424.242,50343.900,55859.266,61374.632,64294.291
2020-01-04 18:00:00,54354.905,45917.271,48837.833,54354.905,59871.977,62792.538
2020-01-04 19:00:00,51456.573,43016.615,45937.981,51456.573,56975.165,59896.531
2020-01-04 20:00:00,49214.741,40772.712,43694.795,49214.741,54734.686,57656.769
2020-01-04 21:00:00,48086.373,39642.500,42565.221,48086.373,53607.525,56530.246
2020-01-04 22:00:00,44907.063,36461.546,39384.836,44907.063,50429.290,53352.580
2020-01-04 23:00:00,42473.103,34026.121,36949.918,42473.103,47996.287,50920.084
2020-01-05 00:00:00,40579.412,32126.257,35052.191,40579.412,46106.632,49032.566
