utc_timestamp,observed_mw,naive_point_mw,sarima_point_mw,sarima_q0.025_mw,sarima_q0.1_mw,sarima_q0.5_mw,sarima_q0.9_mw,sarima_q0.975_mw,prophet_point_mw,prophet_q0.025_mw,prophet_q0.1_mw,prophet_q0.5_mw,prophet_q0.9_mw,prophet_q0.975_mw,lightgbm_point_mw,lightgbm_q0.025_mw,lightgbm_q0.1_mw,lightgbm_q0.5_mw,lightgbm_q0.9_mw,lightgbm_q0.975_mw,nbeats_point_mw,nbeats_q0.025_mw,nbeats_q0.1_mw,nbeats_q0.5_mw,nbeats_q0.9_mw,nbeats_q0.975_mw,patchtst_point_mw,patchtst_q0.025_mw,patchtst_q0.1_mw,patchtst_q0.5_mw,patchtst_q0.9_mw,patchtst_q0.975_mw
2020-01-01 00:00:00+00:00,41187.0,38223.0,42171.7,39141.6,40190.4,42171.7,44153.1,45201.9,33705.1,27652.0,29961.4,33647.2,37310.2,39425.0,40484.2,37975.0,38364.0,41220.8,42087.8,43667.1,40323.0,35145.2,37628.4,40323.0,42932.6,44073.5,40982.7,38874.9,39817.9,40982.7,43607.4,46492.0
2020-01-01 01:00:00+00:00,40398.0,36936.0,40506.3,35936.8,37518.5,40506.3,43494.2,45075.9,33604.9,28056.6,30045.9,33571.5,36922.0,38977.9,39343.3,36891.0,38222.6,40494.8,40996.3,42181.0,39269.0,29367.2,33338.4,39269.0,39755.8,44546.4,39916.8,36898.8,38573.4,39916.8,42206.7,45106.1
2020-01-01 02:00:00+00:00,38919.0,36637.0,38673.9,33136.4,35053.1,38673.9,42294.7,44211.5,34489.6,29078.9,30944.4,34343.2,37915.6,39626.8,38606.0,36774.0,38443.5,39990.7,40503.8,42467.5,35404.8,29659.9,31968.7,35404.8,38611.4,41544.7,38590.1,36431.4,36961.0,38590.1,41435.7,45041.9
2020-01-01 03:00:00+00:00,38879.0,36614.0,37655.4,31551.0,33663.9,37655.4,41646.9,43759.8,36653.0,31420.9,33232.2,36796.2,40216.0,42202.5,38188.0,36700.7,38045.9,39813.0,40414.1,43207.4,39644.5,30271.4,33287.6,39644.5,40404.8,41121.9,38830.2,34954.2,36517.8,38830.2,43114.2,46892.2
2020-01-01 04:00:00+00:00,39162.0,37078.0,37903.5,31487.5,33708.3,37903.5,42098.8,44319.6,41209.3,35806.0,37578.6,41213.5,44796.2,46604.4,37506.7,36338.3,37055.2,39941.2,41661.2,44992.0,38338.6,30756.4,33584.4,38338.6,43210.5,47110.2,39788.3,37025.3,37262.3,39788.3,43355.3,46933.6
2020-01-01 05:00:00+00:00,37510.0,37024.0,40058.3,33478.6,35756.1,40058.3,44360.6,46638.0,46516.5,41081.8,42858.6,46462.6,50029.9,52218.9,39457.7,35589.4,36637.8,42388.9,42445.4,48089.3,38791.3,31041.0,32485.6,38791.3,46647.3,47772.0,38023.9,34627.1,35923.1,38023.9,41666.2,46172.8
2020-01-01 06:00:00+00:00,37892.0,38634.0,42968.3,36304.4,38611.0,42968.3,47325.6,49632.2,50726.3,45549.7,47079.6,50594.3,54279.1,56540.6,36091.8,37035.4,37079.1,39530.7,46029.5,50508.1,41958.3,32113.5,36381.5,41958.3,45188.2,47636.0,42786.0,38055.9,39061.0,42786.0,48851.9,54397.9
2020-01-01 07:00:00+00:00,38677.0,41955.0,44833.7,38125.6,40447.5,44833.7,49220.0,51541.9,53057.7,47301.0,49381.4,53218.9,56629.1,58641.7,38021.5,37900.4,38079.3,42381.8,48468.4,53767.8,42708.3,36325.0,37463.4,42708.3,52767.8,55303.7,43095.1,37485.4,38603.0,43095.1,51342.8,57501.8
2020-01-01 08:00:00+00:00,41091.0,46241.0,46166.6,39433.4,41764.0,46166.6,50569.1,52899.7,54724.7,49544.2,51315.6,54878.1,58144.8,59999.5,39728.6,40340.6,41028.7,43585.0,49503.1,53335.3,48641.5,38391.2,39924.1,48641.5,54993.7,55091.7,48996.0,42093.4,43729.8,48996.0,56520.3,62383.4
2020-01-01 09:00:00+00:00,43094.0,48911.0,47028.9,40279.8,42615.9,47028.9,51441.9,53778.0,56150.1,50599.5,52862.9,56072.4,59965.9,61479.2,44566.4,42441.1,43016.0,45377.4,50440.7,53644.5,49619.5,38709.6,41193.4,49619.5,55891.6,58974.6,49105.0,40894.4,42746.1,49105.0,59412.7,64652.2
2020-01-01 10:00:00+00:00,45249.0,50798.0,47728.3,40967.4,43307.6,47728.3,52149.0,54489.1,56309.2,50846.1,52713.8,56438.4,59887.3,61698.4,46693.3,43675.5,44760.1,47806.1,50635.5,54140.4,49494.4,42762.6,43393.1,49494.4,56964.0,60724.3,51015.1,42146.1,43467.1,51015.1,62897.9,71494.6
2020-01-01 11:00:00+00:00,46498.0,50512.0,47524.6,40753.7,43097.3,47524.6,51951.9,54295.6,55398.7,50229.8,51879.5,55359.4,59037.0,60902.4,46514.7,43993.9,45514.1,45786.2,51872.9,54167.3,51806.1,41404.2,45627.0,51806.1,55016.3,60917.5,52750.2,43918.2,45176.9,52750.2,64069.2,71729.1
2020-01-01 12:00:00+00:00,46328.0,47742.0,46295.1,39514.6,41861.6,46295.1,50728.5,53075.5,54034.0,48306.6,50432.8,53983.8,57382.5,59418.9,45941.0,42035.8,44025.7,45239.7,50712.2,54731.0,52171.7,41399.8,42286.0,52171.7,56411.7,58314.2,53351.4,43334.0,45743.7,53351.4,63901.3,71021.8
2020-01-01 13:00:00+00:00,45115.0,46317.0,45172.8,38382.9,40733.2,45172.8,49612.5,51962.8,52725.0,46976.8,49104.1,53094.2,56527.8,58181.5,44307.7,42097.6,44166.6,44566.5,50355.6,53426.6,47946.0,41701.4,46939.7,47946.0,56677.6,58260.0,46303.9,39920.2,41289.4,46303.9,54675.8,61185.4
2020-01-01 14:00:00+00:00,45039.0,45547.0,44833.3,38033.7,40387.3,44833.3,49279.4,51633.0,51579.8,46234.2,48223.1,51730.3,55162.6,57223.3,45563.7,42933.5,44453.9,44472.9,49924.5,53633.9,48795.3,45876.7,46310.6,48795.3,54579.2,61081.4,49431.7,43099.6,43628.5,49431.7,59197.5,66157.8
