utc_timestamp,actual_mw,forecast_mw,error_mw,absolute_percentage_error
2020-01-01 00:00:00+00:00,41187.000,34470.335,-6716.665,0.163
2020-01-01 01:00:00+00:00,40398.000,33602.167,-6795.833,0.168
2020-01-01 02:00:00+00:00,38919.000,33276.281,-5642.719,0.145
2020-01-01 03:00:00+00:00,38879.000,34245.619,-4633.381,0.119
2020-01-01 04:00:00+00:00,39162.000,36429.393,-2732.607,0.070
2020-01-01 05:00:00+00:00,37510.000,40558.185,3048.185,0.081
2020-01-01 06:00:00+00:00,37892.000,44428.333,6536.333,0.172
2020-01-01 07:00:00+00:00,38677.000,46924.533,8247.533,0.213
2020-01-01 08:00:00+00:00,41091.000,49130.410,8039.410,0.196
2020-01-01 09:00:00+00:00,43094.000,50736.079,7642.079,0.177
2020-01-01 10:00:00+00:00,45249.000,52076.932,6827.932,0.151
2020-01-01 11:00:00+00:00,46498.000,52166.705,5668.705,0.122
2020-01-01 12:00:00+00:00,46328.000,50921.558,4593.558,0.099
2020-01-01 13:00:00+00:00,45115.000,49756.930,4641.930,0.103
2020-01-01 14:00:00+00:00,45039.000,49444.559,4405.559,0.098
2020-01-01 15:00:00+00:00,47313.000,50218.704,2905.704,0.061
2020-01-01 16:00:00+00:00,51194.000,53270.568,2076.568,0.041
2020-01-01 17:00:00+00:00,51755.000,53417.935,1662.935,0.032
2020-01-01 18:00:00+00:00,50732.000,51870.905,1138.905,0.022
2020-01-01 19:00:00+00:00,48591.000,48969.047,378.047,0.008
2020-01-01 20:00:00+00:00,47664.000,46414.648,-1249.352,0.026
2020-01-01 21:00:00+00:00,46994.000,44579.917,-2414.083,0.051
2020-01-01 22:00:00+00:00,44105.000,41181.005,-2923.995,0.066
2020-01-01 23:00:00+00:00,42547.000,38224.276,-4322.724,0.102
2020-01-02 00:00:00+00:00,41194.000,44654.966,3460.966,0.084
2020-01-02 01:00:00+00:00,40773.000,44009.838,3236.838,0.079
2020-01-02 02:00:00+00:00,40795.000,43948.556,3153.556,0.077
2020-01-02 03:00:00+00:00,41774.000,44993.501,3219.501,0.077
2020-01-02 04:00:00+00:00,43961.000,47311.375,3350.375,0.076
