utc_timestamp,actual_mw,forecast_mw,seasonal_naive_mw,error_mw,absolute_error_mw,absolute_percentage_error
2020-01-01T00:00:00+00:00,41187.000,37510.145,38223.000,-3676.855,3676.855,8.927223
2020-01-01T01:00:00+00:00,40398.000,36689.810,36936.000,-3708.190,3708.190,9.179143
2020-01-01T02:00:00+00:00,38919.000,37062.675,36637.000,-1856.325,1856.325,4.769714
2020-01-01T03:00:00+00:00,38879.000,38185.800,36614.000,-693.200,693.200,1.782967
2020-01-01T04:00:00+00:00,39162.000,40025.444,37078.000,863.444,863.444,2.204801
2020-01-01T05:00:00+00:00,37510.000,41804.689,37024.000,4294.689,4294.689,11.449451
2020-01-01T06:00:00+00:00,37892.000,44434.756,38634.000,6542.756,6542.756,17.266852
2020-01-01T07:00:00+00:00,38677.000,47670.124,41955.000,8993.124,8993.124,23.251864
2020-01-01T08:00:00+00:00,41091.000,50906.245,46241.000,9815.245,9815.245,23.886605
2020-01-01T09:00:00+00:00,43094.000,52668.701,48911.000,9574.701,9574.701,22.218176
2020-01-01T10:00:00+00:00,45249.000,53494.904,50798.000,8245.904,8245.904,18.223396
2020-01-01T11:00:00+00:00,46498.000,52835.066,50512.000,6337.066,6337.066,13.628686
2020-01-01T12:00:00+00:00,46328.000,50777.593,47742.000,4449.593,4449.593,9.604544
2020-01-01T13:00:00+00:00,45115.000,49622.971,46317.000,4507.971,4507.971,9.992178
2020-01-01T14:00:00+00:00,45039.000,49088.738,45547.000,4049.738,4049.738,8.991625
2020-01-01T15:00:00+00:00,47313.000,49146.545,45486.000,1833.545,1833.545,3.875351
2020-01-01T16:00:00+00:00,51194.000,50431.956,47631.000,-762.044,762.044,1.488541
2020-01-01T17:00:00+00:00,51755.000,50710.288,48297.000,-1044.712,1044.712,2.018573
2020-01-01T18:00:00+00:00,50732.000,49728.980,47359.000,-1003.020,1003.020,1.977094
2020-01-01T19:00:00+00:00,48591.000,47771.228,45470.000,-819.772,819.772,1.687086
2020-01-01T20:00:00+00:00,47664.000,45824.207,44323.000,-1839.793,1839.793,3.859922
2020-01-01T21:00:00+00:00,46994.000,44039.604,43864.000,-2954.396,2954.396,6.286751
2020-01-01T22:00:00+00:00,44105.000,41544.046,42040.000,-2560.954,2560.954,5.806493
2020-01-01T23:00:00+00:00,42547.000,38452.531,38605.000,-4094.469,4094.469,9.623403
2020-01-02T00:00:00+00:00,41194.000,46896.274,36909.000,5702.274,5702.274,13.842488
2020-01-02T01:00:00+00:00,40773.000,46462.746,36332.000,5689.746,5689.746,13.954691
