utc_timestamp,local_time,forecast_MW,actual_MW,abs_pct_err
2020-01-01 00:00:00+00:00,2020-01-01 01:00:00+01:00,41062.9,41187.0,0.3
2020-01-01 01:00:00+00:00,2020-01-01 02:00:00+01:00,39874.8,40398.0,1.3
2020-01-01 02:00:00+00:00,2020-01-01 03:00:00+01:00,39756.0,38919.0,2.15
2020-01-01 03:00:00+00:00,2020-01-01 04:00:00+01:00,40312.9,38879.0,3.69
2020-01-01 04:00:00+00:00,2020-01-01 05:00:00+01:00,39479.9,39162.0,0.81
2020-01-01 05:00:00+00:00,2020-01-01 06:00:00+01:00,40853.1,37510.0,8.91
2020-01-01 06:00:00+00:00,2020-01-01 07:00:00+01:00,36309.3,37892.0,4.18
2020-01-01 07:00:00+00:00,2020-01-01 08:00:00+01:00,38594.0,38677.0,0.21
2020-01-01 08:00:00+00:00,2020-01-01 09:00:00+01:00,40387.9,41091.0,1.71
2020-01-01 09:00:00+00:00,2020-01-01 10:00:00+01:00,44928.3,43094.0,4.26
2020-01-01 10:00:00+00:00,2020-01-01 11:00:00+01:00,48553.0,45249.0,7.3
2020-01-01 11:00:00+00:00,2020-01-01 12:00:00+01:00,48102.3,46498.0,3.45
2020-01-01 12:00:00+00:00,2020-01-01 13:00:00+01:00,47895.0,46328.0,3.38
2020-01-01 13:00:00+00:00,2020-01-01 14:00:00+01:00,44862.7,45115.0,0.56
2020-01-01 14:00:00+00:00,2020-01-01 15:00:00+01:00,46213.7,45039.0,2.61
2020-01-01 15:00:00+00:00,2020-01-01 16:00:00+01:00,47779.2,47313.0,0.99
2020-01-01 16:00:00+00:00,2020-01-01 17:00:00+01:00,51762.8,51194.0,1.11
2020-01-01 17:00:00+00:00,2020-01-01 18:00:00+01:00,52157.7,51755.0,0.78
2020-01-01 18:00:00+00:00,2020-01-01 19:00:00+01:00,50301.2,50732.0,0.85
2020-01-01 19:00:00+00:00,2020-01-01 20:00:00+01:00,48001.6,48591.0,1.21
2020-01-01 20:00:00+00:00,2020-01-01 21:00:00+01:00,46726.8,47664.0,1.97
2020-01-01 21:00:00+00:00,2020-01-01 22:00:00+01:00,45165.8,46994.0,3.89
2020-01-01 22:00:00+00:00,2020-01-01 23:00:00+01:00,44596.0,44105.0,1.11
2020-01-01 23:00:00+00:00,2020-01-02 00:00:00+01:00,44775.7,42547.0,5.24
2020-01-02 00:00:00+00:00,2020-01-02 01:00:00+01:00,42383.4,41194.0,2.89
2020-01-02 01:00:00+00:00,2020-01-02 02:00:00+01:00,42003.0,40773.0,3.02
2020-01-02 02:00:00+00:00,2020-01-02 03:00:00+01:00,41866.4,40795.0,2.63
2020-01-02 03:00:00+00:00,2020-01-02 04:00:00+01:00,42506.2,41774.0,1.75
2020-01-02 04:00:00+00:00,2020-01-02 05:00:00+01:00,45102.5,43961.0,2.6
2020-01-02 05:00:00+00:00,2020-01-02 06:00:00+01:00,50293.7,47850.0,5.11
2020-01-02 06:00:00+00:00,2020-01-02 07:00:00+01:00,54403.3,52828.0,2.98
2020-01-02 07:00:00+00:00,2020-01-02 08:00:00+01:00,58353.7,56329.0,3.59
2020-01-02 08:00:00+00:00,2020-01-02 09:00:00+01:00,61494.6,58780.0,4.62
2020-01-02 09:00:00+00:00,2020-01-02 10:00:00+01:00,62802.9,59588.0,5.4
2020-01-02 10:00:00+00:00,2020-01-02 11:00:00+01:00,64213.1,60169.0,6.72
2020-01-02 11:00:00+00:00,2020-01-02 12:00:00+01:00,64218.1,60786.0,5.65
2020-01-02 12:00:00+00:00,2020-01-02 13:00:00+01:00,63857.4,60272.0,5.95
2020-01-02 13:00:00+00:00,2020-01-02 14:00:00+01:00,62447.0,59483.0,4.98
2020-01-02 14:00:00+00:00,2020-01-02 15:00:00+01:00,61191.9,59173.0,3.41
2020-01-02 15:00:00+00:00,2020-01-02 16:00:00+01:00,61752.4,60091.0,2.76
2020-01-02 16:00:00+00:00,2020-01-02 17:00:00+01:00,65578.1,62599.0,4.76
2020-01-02 17:00:00+00:00,2020-01-02 18:00:00+01:00,65710.7,62923.0,4.43
2020-01-02 18:00:00+00:00,2020-01-02 19:00:00+01:00,63900.7,61932.0,3.18
2020-01-02 19:00:00+00:00,2020-01-02 20:00:00+01:00,59538.7,58422.0,1.91
2020-01-02 20:00:00+00:00,2020-01-02 21:00:00+01:00,55353.6,55661.0,0.55
2020-01-02 21:00:00+00:00,2020-01-02 22:00:00+01:00,53458.4,54103.0,1.19
2020-01-02 22:00:00+00:00,2020-01-02 23:00:00+01:00,52005.0,50732.0,2.51
2020-01-02 23:00:00+00:00,2020-01-03 00:00:00+01:00,48864.6,47641.0,2.57
2020-01-03 00:00:00+00:00,2020-01-03 01:00:00+01:00,46266.0,46071.0,0.42
