utc_timestamp,local_time,forecast_MW,actual_MW,abs_err
2019-12-31 23:00:00+00:00,2020-01-01 00:00 Wed,43673.8,42335.0,1338.8
2020-01-01 00:00:00+00:00,2020-01-01 01:00 Wed,41714.7,41187.0,527.7
2020-01-01 01:00:00+00:00,2020-01-01 02:00 Wed,40584.1,40398.0,186.1
2020-01-01 02:00:00+00:00,2020-01-01 03:00 Wed,40565.8,38919.0,1646.8
2020-01-01 03:00:00+00:00,2020-01-01 04:00 Wed,40534.9,38879.0,1655.9
2020-01-01 04:00:00+00:00,2020-01-01 05:00 Wed,38509.5,39162.0,652.5
2020-01-01 05:00:00+00:00,2020-01-01 06:00 Wed,38315.7,37510.0,805.7
2020-01-01 06:00:00+00:00,2020-01-01 07:00 Wed,37283.3,37892.0,608.7
2020-01-01 07:00:00+00:00,2020-01-01 08:00 Wed,41703.4,38677.0,3026.4
2020-01-01 08:00:00+00:00,2020-01-01 09:00 Wed,44456.4,41091.0,3365.4
2020-01-01 09:00:00+00:00,2020-01-01 10:00 Wed,46541.8,43094.0,3447.8
2020-01-01 10:00:00+00:00,2020-01-01 11:00 Wed,48582.2,45249.0,3333.2
2020-01-01 11:00:00+00:00,2020-01-01 12:00 Wed,48599.5,46498.0,2101.5
2020-01-01 12:00:00+00:00,2020-01-01 13:00 Wed,47575.3,46328.0,1247.3
2020-01-01 13:00:00+00:00,2020-01-01 14:00 Wed,47540.6,45115.0,2425.6
2020-01-01 14:00:00+00:00,2020-01-01 15:00 Wed,47407.5,45039.0,2368.5
2020-01-01 15:00:00+00:00,2020-01-01 16:00 Wed,49294.5,47313.0,1981.5
2020-01-01 16:00:00+00:00,2020-01-01 17:00 Wed,52625.3,51194.0,1431.3
2020-01-01 17:00:00+00:00,2020-01-01 18:00 Wed,52995.6,51755.0,1240.6
2020-01-01 18:00:00+00:00,2020-01-01 19:00 Wed,52319.8,50732.0,1587.8
2020-01-01 19:00:00+00:00,2020-01-01 20:00 Wed,49925.1,48591.0,1334.1
2020-01-01 20:00:00+00:00,2020-01-01 21:00 Wed,50685.5,47664.0,3021.5
2020-01-01 21:00:00+00:00,2020-01-01 22:00 Wed,48874.6,46994.0,1880.6
2020-01-01 22:00:00+00:00,2020-01-01 23:00 Wed,45148.6,44105.0,1043.6
2020-01-01 23:00:00+00:00,2020-01-02 00:00 Thu,42964.1,42547.0,417.1
2020-01-02 00:00:00+00:00,2020-01-02 01:00 Thu,41082.9,41194.0,111.1
2020-01-02 01:00:00+00:00,2020-01-02 02:00 Thu,40592.1,40773.0,180.9
2020-01-02 02:00:00+00:00,2020-01-02 03:00 Thu,40578.2,40795.0,216.8
2020-01-02 03:00:00+00:00,2020-01-02 04:00 Thu,41193.4,41774.0,580.6
2020-01-02 04:00:00+00:00,2020-01-02 05:00 Thu,43394.0,43961.0,567.0
2020-01-02 05:00:00+00:00,2020-01-02 06:00 Thu,49726.7,47850.0,1876.7
2020-01-02 06:00:00+00:00,2020-01-02 07:00 Thu,55661.9,52828.0,2833.9
2020-01-02 07:00:00+00:00,2020-01-02 08:00 Thu,60303.3,56329.0,3974.3
2020-01-02 08:00:00+00:00,2020-01-02 09:00 Thu,62510.6,58780.0,3730.6
2020-01-02 09:00:00+00:00,2020-01-02 10:00 Thu,63561.3,59588.0,3973.3
2020-01-02 10:00:00+00:00,2020-01-02 11:00 Thu,65009.1,60169.0,4840.1
2020-01-02 11:00:00+00:00,2020-01-02 12:00 Thu,64739.0,60786.0,3953.0
2020-01-02 12:00:00+00:00,2020-01-02 13:00 Thu,64466.7,60272.0,4194.7
2020-01-02 13:00:00+00:00,2020-01-02 14:00 Thu,63912.0,59483.0,4429.0
2020-01-02 14:00:00+00:00,2020-01-02 15:00 Thu,63459.0,59173.0,4286.0
2020-01-02 15:00:00+00:00,2020-01-02 16:00 Thu,64567.5,60091.0,4476.5
2020-01-02 16:00:00+00:00,2020-01-02 17:00 Thu,67209.0,62599.0,4610.0
2020-01-02 17:00:00+00:00,2020-01-02 18:00 Thu,67147.9,62923.0,4224.9
2020-01-02 18:00:00+00:00,2020-01-02 19:00 Thu,65486.6,61932.0,3554.6
2020-01-02 19:00:00+00:00,2020-01-02 20:00 Thu,62617.7,58422.0,4195.7
2020-01-02 20:00:00+00:00,2020-01-02 21:00 Thu,57578.7,55661.0,1917.7
2020-01-02 21:00:00+00:00,2020-01-02 22:00 Thu,56577.2,54103.0,2474.2
2020-01-02 22:00:00+00:00,2020-01-02 23:00 Thu,51810.6,50732.0,1078.6
2020-01-02 23:00:00+00:00,2020-01-03 00:00 Fri,50678.0,47641.0,3037.0
2020-01-03 00:00:00+00:00,2020-01-03 01:00 Fri,48689.1,46071.0,2618.1
2020-01-03 01:00:00+00:00,2020-01-03 02:00 Fri,47751.3,45485.0,2266.3
2020-01-03 02:00:00+00:00,2020-01-03 03:00 Fri,47783.2,45301.0,2482.2
2020-01-03 03:00:00+00:00,2020-01-03 04:00 Fri,49157.3,46070.0,3087.3
2020-01-03 04:00:00+00:00,2020-01-03 05:00 Fri,51031.5,47894.0,3137.5
2020-01-03 05:00:00+00:00,2020-01-03 06:00 Fri,53197.9,51787.0,1410.9
2020-01-03 06:00:00+00:00,2020-01-03 07:00 Fri,62062.1,55935.0,6127.1
2020-01-03 07:00:00+00:00,2020-01-03 08:00 Fri,63845.6,59496.0,4349.6
2020-01-03 08:00:00+00:00,2020-01-03 09:00 Fri,65311.1,60888.0,4423.1
2020-01-03 09:00:00+00:00,2020-01-03 10:00 Fri,66000.4,61751.0,4249.4
2020-01-03 10:00:00+00:00,2020-01-03 11:00 Fri,67477.0,63204.0,4273.0
2020-01-03 11:00:00+00:00,2020-01-03 12:00 Fri,67553.5,63230.0,4323.5
2020-01-03 12:00:00+00:00,2020-01-03 13:00 Fri,66312.7,61575.0,4737.7
2020-01-03 13:00:00+00:00,2020-01-03 14:00 Fri,65730.6,60449.0,5281.6
2020-01-03 14:00:00+00:00,2020-01-03 15:00 Fri,65249.7,59983.0,5266.7
2020-01-03 15:00:00+00:00,2020-01-03 16:00 Fri,66586.4,60757.0,5829.4
2020-01-03 16:00:00+00:00,2020-01-03 17:00 Fri,69153.8,62491.0,6662.8
2020-01-03 17:00:00+00:00,2020-01-03 18:00 Fri,68979.7,62157.0,6822.7
2020-01-03 18:00:00+00:00,2020-01-03 19:00 Fri,66873.8,60931.0,5942.8
2020-01-03 19:00:00+00:00,2020-01-03 20:00 Fri,62926.9,56910.0,6016.9
2020-01-03 20:00:00+00:00,2020-01-03 21:00 Fri,57065.7,53806.0,3259.7
2020-01-03 21:00:00+00:00,2020-01-03 22:00 Fri,56367.9,52540.0,3827.9
2020-01-03 22:00:00+00:00,2020-01-03 23:00 Fri,53302.6,49359.0,3943.6
2020-01-03 23:00:00+00:00,2020-01-04 00:00 Sat,50000.7,46773.0,3227.7
2020-01-04 00:00:00+00:00,2020-01-04 01:00 Sat,47211.6,45003.0,2208.6
2020-01-04 01:00:00+00:00,2020-01-04 02:00 Sat,45873.3,44345.0,1528.3
2020-01-04 02:00:00+00:00,2020-01-04 03:00 Sat,45629.8,43801.0,1828.8
2020-01-04 03:00:00+00:00,2020-01-04 04:00 Sat,45777.7,44501.0,1276.7
2020-01-04 04:00:00+00:00,2020-01-04 05:00 Sat,46149.7,45049.0,1100.7
2020-01-04 05:00:00+00:00,2020-01-04 06:00 Sat,46591.6,46138.0,453.6
2020-01-04 06:00:00+00:00,2020-01-04 07:00 Sat,48248.7,48876.0,627.3
2020-01-04 07:00:00+00:00,2020-01-04 08:00 Sat,50549.3,51876.0,1326.7
2020-01-04 08:00:00+00:00,2020-01-04 09:00 Sat,52512.0,55337.0,2825.0
2020-01-04 09:00:00+00:00,2020-01-04 10:00 Sat,54996.7,57584.0,2587.3
2020-01-04 10:00:00+00:00,2020-01-04 11:00 Sat,56517.2,59443.0,2925.8
2020-01-04 11:00:00+00:00,2020-01-04 12:00 Sat,56629.8,59873.0,3243.2
2020-01-04 12:00:00+00:00,2020-01-04 13:00 Sat,55450.4,58499.0,3048.6
2020-01-04 13:00:00+00:00,2020-01-04 14:00 Sat,54743.7,57624.0,2880.3
2020-01-04 14:00:00+00:00,2020-01-04 15:00 Sat,54327.2,56651.0,2323.8
2020-01-04 15:00:00+00:00,2020-01-04 16:00 Sat,55647.5,58144.0,2496.5
2020-01-04 16:00:00+00:00,2020-01-04 17:00 Sat,58629.5,60436.0,1806.5
2020-01-04 17:00:00+00:00,2020-01-04 18:00 Sat,58633.5,59971.0,1337.5
2020-01-04 18:00:00+00:00,2020-01-04 19:00 Sat,56902.7,58093.0,1190.3
2020-01-04 19:00:00+00:00,2020-01-04 20:00 Sat,53741.9,54603.0,861.1
2020-01-04 20:00:00+00:00,2020-01-04 21:00 Sat,52369.7,52028.0,341.7
2020-01-04 21:00:00+00:00,2020-01-04 22:00 Sat,51468.5,50722.0,746.5
2020-01-04 22:00:00+00:00,2020-01-04 23:00 Sat,48575.2,47994.0,581.2
2020-01-04 23:00:00+00:00,2020-01-05 00:00 Sun,46781.3,44880.0,1901.3
2020-01-05 00:00:00+00:00,2020-01-05 01:00 Sun,44137.2,42638.0,1499.2
2020-01-05 01:00:00+00:00,2020-01-05 02:00 Sun,43160.5,41865.0,1295.5
2020-01-05 02:00:00+00:00,2020-01-05 03:00 Sun,42683.5,40752.0,1931.5
2020-01-05 03:00:00+00:00,2020-01-05 04:00 Sun,42721.1,40754.0,1967.1
2020-01-05 04:00:00+00:00,2020-01-05 05:00 Sun,42962.6,40409.0,2553.6
2020-01-05 05:00:00+00:00,2020-01-05 06:00 Sun,43010.2,39751.0,3259.2
2020-01-05 06:00:00+00:00,2020-01-05 07:00 Sun,43109.6,41953.0,1156.6
2020-01-05 07:00:00+00:00,2020-01-05 08:00 Sun,46154.4,43752.0,2402.4
2020-01-05 08:00:00+00:00,2020-01-05 09:00 Sun,49316.2,47044.0,2272.2
2020-01-05 09:00:00+00:00,2020-01-05 10:00 Sun,52018.7,50397.0,1621.7
2020-01-05 10:00:00+00:00,2020-01-05 11:00 Sun,54592.2,52744.0,1848.2
2020-01-05 11:00:00+00:00,2020-01-05 12:00 Sun,54654.9,52825.0,1829.9
2020-01-05 12:00:00+00:00,2020-01-05 13:00 Sun,53303.5,51568.0,1735.5
2020-01-05 13:00:00+00:00,2020-01-05 14:00 Sun,52049.3,50470.0,1579.3
2020-01-05 14:00:00+00:00,2020-01-05 15:00 Sun,51708.6,50177.0,1531.6
2020-01-05 15:00:00+00:00,2020-01-05 16:00 Sun,53089.7,51651.0,1438.7
2020-01-05 16:00:00+00:00,2020-01-05 17:00 Sun,56739.7,55601.0,1138.7
2020-01-05 17:00:00+00:00,2020-01-05 18:00 Sun,57286.1,56412.0,874.1
2020-01-05 18:00:00+00:00,2020-01-05 19:00 Sun,55798.9,54808.0,990.9
2020-01-05 19:00:00+00:00,2020-01-05 20:00 Sun,52964.8,52478.0,486.8
2020-01-05 20:00:00+00:00,2020-01-05 21:00 Sun,52108.8,50972.0,1136.8
2020-01-05 21:00:00+00:00,2020-01-05 22:00 Sun,51775.6,50438.0,1337.6
2020-01-05 22:00:00+00:00,2020-01-05 23:00 Sun,49223.9,47398.0,1825.9
2020-01-05 23:00:00+00:00,2020-01-06 00:00 Mon,48692.5,45225.0,3467.5
2020-01-06 00:00:00+00:00,2020-01-06 01:00 Mon,46789.3,43646.0,3143.3
2020-01-06 01:00:00+00:00,2020-01-06 02:00 Mon,46171.5,42812.0,3359.5
2020-01-06 02:00:00+00:00,2020-01-06 03:00 Mon,46342.9,43212.0,3130.9
2020-01-06 03:00:00+00:00,2020-01-06 04:00 Mon,46944.9,44464.0,2480.9
2020-01-06 04:00:00+00:00,2020-01-06 05:00 Mon,49114.5,47111.0,2003.5
2020-01-06 05:00:00+00:00,2020-01-06 06:00 Mon,50847.4,51821.0,973.6
2020-01-06 06:00:00+00:00,2020-01-06 07:00 Mon,60248.9,57075.0,3173.9
2020-01-06 07:00:00+00:00,2020-01-06 08:00 Mon,63114.6,59509.0,3605.6
2020-01-06 08:00:00+00:00,2020-01-06 09:00 Mon,64380.8,61130.0,3250.8
2020-01-06 09:00:00+00:00,2020-01-06 10:00 Mon,65907.7,62336.0,3571.7
2020-01-06 10:00:00+00:00,2020-01-06 11:00 Mon,66973.2,63191.0,3782.2
2020-01-06 11:00:00+00:00,2020-01-06 12:00 Mon,66905.3,63404.0,3501.3
2020-01-06 12:00:00+00:00,2020-01-06 13:00 Mon,66408.2,62372.0,4036.2
2020-01-06 13:00:00+00:00,2020-01-06 14:00 Mon,65936.1,61577.0,4359.1
2020-01-06 14:00:00+00:00,2020-01-06 15:00 Mon,65492.5,61264.0,4228.5
2020-01-06 15:00:00+00:00,2020-01-06 16:00 Mon,66226.5,62276.0,3950.5
2020-01-06 16:00:00+00:00,2020-01-06 17:00 Mon,68622.6,66018.0,2604.6
2020-01-06 17:00:00+00:00,2020-01-06 18:00 Mon,68481.5,66215.0,2266.5
2020-01-06 18:00:00+00:00,2020-01-06 19:00 Mon,67367.3,64831.0,2536.3
2020-01-06 19:00:00+00:00,2020-01-06 20:00 Mon,64588.6,61350.0,3238.6
2020-01-06 20:00:00+00:00,2020-01-06 21:00 Mon,59088.9,58821.0,267.9
2020-01-06 21:00:00+00:00,2020-01-06 22:00 Mon,58703.7,56577.0,2126.7
2020-01-06 22:00:00+00:00,2020-01-06 23:00 Mon,54882.7,52904.0,1978.7
2020-01-06 23:00:00+00:00,2020-01-07 00:00 Tue,51613.5,50708.0,905.5
2020-01-07 00:00:00+00:00,2020-01-07 01:00 Tue,49731.0,49617.0,114.0
2020-01-07 01:00:00+00:00,2020-01-07 02:00 Tue,48959.1,48105.0,854.1
2020-01-07 02:00:00+00:00,2020-01-07 03:00 Tue,49064.1,48553.0,511.1
2020-01-07 03:00:00+00:00,2020-01-07 04:00 Tue,50981.9,50054.0,927.9
2020-01-07 04:00:00+00:00,2020-01-07 05:00 Tue,53254.7,53241.0,13.7
2020-01-07 05:00:00+00:00,2020-01-07 06:00 Tue,56505.5,60420.0,3914.5
2020-01-07 06:00:00+00:00,2020-01-07 07:00 Tue,67259.0,66527.0,732.0
2020-01-07 07:00:00+00:00,2020-01-07 08:00 Tue,69935.5,69198.0,737.5
2020-01-07 08:00:00+00:00,2020-01-07 09:00 Tue,70045.0,69408.0,637.0
2020-01-07 09:00:00+00:00,2020-01-07 10:00 Tue,70900.1,69896.0,1004.1
