local_time_berlin,utc_timestamp,horizon_day,forecast_MW,pi80_low_MW,pi80_high_MW,forecast_alt_full_history_MW,forecast_posthoc_runfeat_MW,actual_MW,temp_C,error_MW,abs_pct_error
2020-01-01 00:00,2019-12-31 23:00,1,45253.6,42582.6,47089.8,43029.9,42876.5,42335.0,1.01,2918.6,6.89
2020-01-01 01:00,2020-01-01 00:00,1,43276.7,40722.4,45032.7,41096.0,40949.2,41187.0,1.32,2089.7,5.07
2020-01-01 02:00,2020-01-01 01:00,1,42079.7,39596.0,43787.1,40006.0,39866.4,40398.0,0.87,1681.7,4.16
2020-01-01 03:00,2020-01-01 02:00,1,41480.2,39031.9,43163.3,39479.2,39342.0,38919.0,0.4,2561.2,6.58
2020-01-01 04:00,2020-01-01 03:00,1,41616.8,39160.4,43305.4,39408.6,39271.6,38879.0,-0.1,2737.8,7.04
2020-01-01 05:00,2020-01-01 04:00,1,41658.6,39199.7,43348.9,38971.0,38834.1,39162.0,-0.35,2496.6,6.38
2020-01-01 06:00,2020-01-01 05:00,1,37658.4,35435.6,39186.4,35550.5,35410.4,37510.0,-0.62,148.4,0.4
2020-01-01 07:00,2020-01-01 06:00,1,39157.8,36846.5,40746.6,37185.2,37041.6,37892.0,-0.76,1265.8,3.34
2020-01-01 08:00,2020-01-01 07:00,1,41341.1,38901.0,43018.5,39637.1,39490.5,38677.0,-0.85,2664.1,6.89
2020-01-01 09:00,2020-01-01 08:00,1,44454.6,41830.7,46258.3,42304.0,42146.3,41091.0,-0.39,3363.6,8.19
2020-01-01 10:00,2020-01-01 09:00,1,47177.3,44392.8,49091.6,44305.8,44124.7,43094.0,1.18,4083.3,9.48
2020-01-01 11:00,2020-01-01 10:00,1,49456.0,46537.0,51462.7,46053.9,45852.2,45249.0,2.62,4207.0,9.3
2020-01-01 12:00,2020-01-01 11:00,1,50593.3,47607.1,52646.2,47984.0,47742.0,46498.0,3.72,4095.3,8.81
2020-01-01 13:00,2020-01-01 12:00,1,48449.0,45589.4,50414.8,46187.4,45957.8,46328.0,4.1,2121.0,4.58
2020-01-01 14:00,2020-01-01 13:00,1,47416.4,44617.7,49340.3,45131.4,44907.8,45115.0,4.24,2301.4,5.1
2020-01-01 15:00,2020-01-01 14:00,1,47200.6,44414.7,49115.8,44983.5,44763.0,45039.0,3.63,2161.6,4.8
2020-01-01 16:00,2020-01-01 15:00,1,48583.2,45715.7,50554.5,46308.1,46084.5,47313.0,1.52,1270.2,2.68
2020-01-01 17:00,2020-01-01 16:00,1,52204.3,49123.0,54322.5,49775.5,49538.7,51194.0,0.13,1010.3,1.97
2020-01-01 18:00,2020-01-01 17:00,1,54396.6,51185.9,56603.7,51190.5,51004.8,51755.0,-0.63,2641.6,5.1
2020-01-01 19:00,2020-01-01 18:00,1,53666.5,50498.9,55844.0,50584.5,50397.5,50732.0,-1.03,2934.5,5.78
2020-01-01 20:00,2020-01-01 19:00,1,51469.2,48431.3,53557.5,48821.9,48633.5,48591.0,-1.27,2878.2,5.92
2020-01-01 21:00,2020-01-01 20:00,1,50045.3,47091.4,52075.9,47528.6,47336.0,47664.0,-1.47,2381.3,5.0
2020-01-01 22:00,2020-01-01 21:00,1,49681.2,46748.9,51697.0,47303.1,47105.1,46994.0,-1.47,2687.2,5.72
2020-01-01 23:00,2020-01-01 22:00,1,46835.8,44071.3,48736.1,44704.6,44515.6,44105.0,-2.05,2730.8,6.19
2020-01-02 00:00,2020-01-01 23:00,2,45693.7,42942.3,47024.6,44643.7,42811.6,42547.0,-2.47,3146.7,7.4
2020-01-02 01:00,2020-01-02 00:00,2,43771.3,41135.7,45046.2,42596.5,40840.0,41194.0,-1.63,2577.3,6.26
2020-01-02 02:00,2020-01-02 01:00,2,43073.8,40480.2,44328.4,42104.7,40370.2,40773.0,-2.36,2300.8,5.64
2020-01-02 03:00,2020-01-02 02:00,2,43206.0,40604.4,44464.4,42277.6,40532.8,40795.0,-2.56,2411.0,5.91
2020-01-02 04:00,2020-01-02 03:00,2,44113.9,41457.6,45398.7,43177.2,41391.4,41774.0,-2.5,2339.9,5.6
2020-01-02 05:00,2020-01-02 04:00,2,46494.4,43694.8,47848.6,45523.2,43636.4,43961.0,-2.29,2533.4,5.76
2020-01-02 06:00,2020-01-02 05:00,2,54874.3,51570.1,56472.6,52773.7,50603.6,47850.0,-2.17,7024.3,14.68
2020-01-02 07:00,2020-01-02 06:00,2,60714.6,57058.7,62483.0,58209.1,55827.1,52828.0,-2.55,7886.6,14.93
2020-01-02 08:00,2020-01-02 07:00,2,62893.3,59106.3,64725.2,60147.0,57691.7,56329.0,-2.27,6564.3,11.65
2020-01-02 09:00,2020-01-02 08:00,2,63112.3,59312.1,64950.5,60523.0,58050.9,58780.0,-1.4,4332.3,7.37
2020-01-02 10:00,2020-01-02 09:00,2,63732.9,59895.2,65589.1,61182.1,58668.7,59588.0,0.28,4144.9,6.96
2020-01-02 11:00,2020-01-02 10:00,2,64527.8,60642.3,66407.2,61991.2,59434.6,60169.0,1.77,4358.8,7.24
2020-01-02 12:00,2020-01-02 11:00,2,67911.6,63822.4,69889.6,65469.8,62784.1,60786.0,3.05,7125.6,11.72
2020-01-02 13:00,2020-01-02 12:00,2,67251.9,63202.4,69210.7,64950.6,62294.2,60272.0,3.21,6979.9,11.58
2020-01-02 14:00,2020-01-02 13:00,2,66310.9,62318.1,68242.3,64034.3,61419.5,59483.0,3.4,6827.9,11.48
2020-01-02 15:00,2020-01-02 14:00,2,65794.8,61833.1,67711.2,63748.6,61149.4,59173.0,2.65,6621.8,11.19
2020-01-02 16:00,2020-01-02 15:00,2,65995.0,62021.1,67917.1,64171.4,61557.4,60091.0,1.42,5904.0,9.83
