,actual,LightGBM,Same hour last week,"Same hour, 52 weeks ago",error_mw
2020-01-01 00:00:00+01:00,42335.0,44462.5,40561.0,44318.0,2127.5
2020-01-01 01:00:00+01:00,41187.0,43926.2,38223.0,42813.0,2739.2
2020-01-01 02:00:00+01:00,40398.0,41935.1,36936.0,42318.0,1537.1
2020-01-01 03:00:00+01:00,38919.0,41464.2,36637.0,41934.0,2545.2
2020-01-01 04:00:00+01:00,38879.0,43437.1,36614.0,43607.0,4558.1
2020-01-01 05:00:00+01:00,39162.0,39780.6,37078.0,46463.0,618.6
2020-01-01 06:00:00+01:00,37510.0,36720.3,37024.0,52329.0,-789.7
2020-01-01 07:00:00+01:00,37892.0,37183.8,38634.0,57736.0,-708.2
2020-01-01 08:00:00+01:00,38677.0,42147.9,41955.0,60956.0,3470.9
2020-01-01 09:00:00+01:00,41091.0,44141.9,46241.0,62833.0,3050.9
2020-01-01 10:00:00+01:00,43094.0,46649.2,48911.0,64259.0,3555.2
2020-01-01 11:00:00+01:00,45249.0,50047.5,50798.0,65434.0,4798.5
2020-01-01 12:00:00+01:00,46498.0,50293.8,50512.0,65705.0,3795.8
2020-01-01 13:00:00+01:00,46328.0,49192.2,47742.0,64849.0,2864.2
2020-01-01 14:00:00+01:00,45115.0,48024.1,46317.0,63278.0,2909.1
2020-01-01 15:00:00+01:00,45039.0,48597.5,45547.0,63354.0,3558.5
2020-01-01 16:00:00+01:00,47313.0,47550.3,45486.0,64290.0,237.3
2020-01-01 17:00:00+01:00,51194.0,50882.4,47631.0,68262.0,-311.6
2020-01-01 18:00:00+01:00,51755.0,52966.6,48297.0,68159.0,1211.6
2020-01-01 19:00:00+01:00,50732.0,50113.9,47359.0,66061.0,-618.1
2020-01-01 20:00:00+01:00,48591.0,49124.9,45470.0,62543.0,533.9
2020-01-01 21:00:00+01:00,47664.0,44888.2,44323.0,59581.0,-2775.8
2020-01-01 22:00:00+01:00,46994.0,44937.7,43864.0,57599.0,-2056.3
