,actual,forecast,error_MW
2020-01-01 00:00:00+01:00,42335.0,44373.19505986425,2038.1950598642507
2020-01-01 01:00:00+01:00,41187.0,42601.27897426963,1414.2789742696332
2020-01-01 02:00:00+01:00,40398.0,40974.95462795766,576.9546279576607
2020-01-01 03:00:00+01:00,38919.0,40425.08708288454,1506.0870828845436
2020-01-01 04:00:00+01:00,38879.0,39959.045585681466,1080.045585681466
2020-01-01 05:00:00+01:00,39162.0,39899.58358515073,737.583585150729
2020-01-01 06:00:00+01:00,37510.0,39010.55968333243,1500.5596833324307
2020-01-01 07:00:00+01:00,37892.0,39677.355809447145,1785.3558094471446
2020-01-01 08:00:00+01:00,38677.0,41273.24443658928,2596.2444365892807
2020-01-01 09:00:00+01:00,41091.0,43837.20698361008,2746.206983610078
2020-01-01 10:00:00+01:00,43094.0,46250.56153097949,3156.5615309794885
2020-01-01 11:00:00+01:00,45249.0,48793.9692592284,3544.9692592283973
2020-01-01 12:00:00+01:00,46498.0,49002.07385993664,2504.0738599366377
2020-01-01 13:00:00+01:00,46328.0,48304.012987588896,1976.012987588896
2020-01-01 14:00:00+01:00,45115.0,47702.552527698725,2587.5525276987246
2020-01-01 15:00:00+01:00,45039.0,47719.8415895128,2680.8415895127982
2020-01-01 16:00:00+01:00,47313.0,49491.962361560596,2178.962361560596
2020-01-01 17:00:00+01:00,51194.0,53491.17718000393,2297.177180003928
2020-01-01 18:00:00+01:00,51755.0,54071.87375408895,2316.8737540889488
2020-01-01 19:00:00+01:00,50732.0,52859.594391089966,2127.594391089966
2020-01-01 20:00:00+01:00,48591.0,50456.25652461697,1865.2565246169688
2020-01-01 21:00:00+01:00,47664.0,49716.10871265254,2052.108712652538
2020-01-01 22:00:00+01:00,46994.0,48855.16450156948,1861.1645015694812
2020-01-01 23:00:00+01:00,44105.0,45589.64108315788,1484.6410831578833
2020-01-02 00:00:00+01:00,42547.0,43354.96962845666,807.9696284566598
2020-01-02 01:00:00+01:00,41194.0,41763.20770193624,569.2077019362405
2020-01-02 02:00:00+01:00,40773.0,41023.11037352663,250.1103735266297
2020-01-02 03:00:00+01:00,40795.0,41225.43368381224,430.4336838122399
2020-01-02 04:00:00+01:00,41774.0,41718.838689422126,-55.16131057787425
2020-01-02 05:00:00+01:00,43961.0,44031.972421527,70.97242152700346
2020-01-02 06:00:00+01:00,47850.0,51640.62521738616,3790.6252173861576
2020-01-02 07:00:00+01:00,52828.0,54957.99509435092,2129.9950943509175
2020-01-02 08:00:00+01:00,56329.0,59296.491691661286,2967.4916916612856
2020-01-02 09:00:00+01:00,58780.0,61213.91281443746,2433.9128144374627
2020-01-02 10:00:00+01:00,59588.0,62797.072597965016,3209.072597965016
2020-01-02 11:00:00+01:00,60169.0,63913.938152037794,3744.9381520377938
2020-01-02 12:00:00+01:00,60786.0,63796.90810655451,3010.9081065545106
2020-01-02 13:00:00+01:00,60272.0,63277.457595631175,3005.4575956311746
2020-01-02 14:00:00+01:00,59483.0,63164.29872464001,3681.298724640008
2020-01-02 15:00:00+01:00,59173.0,62648.05168883661,3475.051688836611
2020-01-02 16:00:00+01:00,60091.0,63891.602120013464,3800.6021200134637
2020-01-02 17:00:00+01:00,62599.0,66531.82123813362,3932.8212381336198
2020-01-02 18:00:00+01:00,62923.0,66423.05166401,3500.051664009996
2020-01-02 19:00:00+01:00,61932.0,64413.47292240919,2481.4729224091934
2020-01-02 20:00:00+01:00,58422.0,61501.39617429538,3079.3961742953834
2020-01-02 21:00:00+01:00,55661.0,58556.60965870448,2895.6096587044813
2020-01-02 22:00:00+01:00,54103.0,56617.29180109198,2514.291801091982
2020-01-02 23:00:00+01:00,50732.0,52289.074543905954,1557.0745439059538
2020-01-03 00:00:00+01:00,47641.0,48455.81589258279,814.8158925827884
2020-01-03 01:00:00+01:00,46071.0,46608.99594187142,537.9959418714207
2020-01-03 02:00:00+01:00,45485.0,45924.305866105926,439.3058661059258
2020-01-03 03:00:00+01:00,45301.0,45958.91201019935,657.9120101993467
2020-01-03 04:00:00+01:00,46070.0,46475.713774616284,405.71377461628435
2020-01-03 05:00:00+01:00,47894.0,48627.20332003659,733.2033200365913
2020-01-03 06:00:00+01:00,51787.0,54265.382141686205,2478.3821416862047
2020-01-03 07:00:00+01:00,55935.0,59628.67387468688,3693.6738746868796
2020-01-03 08:00:00+01:00,59496.0,63889.102059657715,4393.102059657715
2020-01-03 09:00:00+01:00,60888.0,64628.3905995506,3740.3905995505993
2020-01-03 10:00:00+01:00,61751.0,65475.955656839535,3724.9556568395346
