local_time,actual_MW,LightGBM_MW,Harmonic regression_MW,Seasonal naive_MW,Harmonic regression_error_MW
2020-01-01 00:00:00+01:00,42335.0,43508.7,43328.2,40561.0,993.2
2020-01-01 01:00:00+01:00,41187.0,42301.6,42018.9,38223.0,831.9
2020-01-01 02:00:00+01:00,40398.0,40363.9,41045.7,36936.0,647.7
2020-01-01 03:00:00+01:00,38919.0,39730.8,40424.9,36637.0,1505.9
2020-01-01 04:00:00+01:00,38879.0,40136.6,40136.9,36614.0,1257.9
2020-01-01 05:00:00+01:00,39162.0,38802.1,40240.4,37078.0,1078.4
2020-01-01 06:00:00+01:00,37510.0,38629.7,40959.6,37024.0,3449.6
2020-01-01 07:00:00+01:00,37892.0,38329.8,42603.1,38634.0,4711.1
2020-01-01 08:00:00+01:00,38677.0,38940.5,45294.5,41955.0,6617.5
2020-01-01 09:00:00+01:00,41091.0,41955.4,48641.2,46241.0,7550.2
2020-01-01 10:00:00+01:00,43094.0,45029.9,51618.3,48911.0,8524.3
2020-01-01 11:00:00+01:00,45249.0,47475.6,53028.8,50798.0,7779.8
2020-01-01 12:00:00+01:00,46498.0,48787.6,52427.1,50512.0,5929.1
2020-01-01 13:00:00+01:00,46328.0,48122.1,50567.5,47742.0,4239.5
2020-01-01 14:00:00+01:00,45115.0,46928.8,48795.7,46317.0,3680.7
2020-01-01 15:00:00+01:00,45039.0,47015.0,48099.4,45547.0,3060.4
2020-01-01 16:00:00+01:00,47313.0,48890.8,48650.0,45486.0,1337.0
2020-01-01 17:00:00+01:00,51194.0,52490.8,49880.0,47631.0,-1314.0
2020-01-01 18:00:00+01:00,51755.0,52915.0,50891.4,48297.0,-863.6
2020-01-01 19:00:00+01:00,50732.0,51566.1,51013.4,47359.0,281.4
2020-01-01 20:00:00+01:00,48591.0,48148.8,50145.9,45470.0,1554.9
2020-01-01 21:00:00+01:00,47664.0,47025.7,48626.7,44323.0,962.7
2020-01-01 22:00:00+01:00,46994.0,47247.4,46859.6,43864.0,-134.4
2020-01-01 23:00:00+01:00,44105.0,44459.5,45102.1,42040.0,997.1
2020-01-02 00:00:00+01:00,42547.0,44183.0,46672.8,38605.0,4125.8
2020-01-02 01:00:00+01:00,41194.0,42071.7,44458.6,36909.0,3264.6
2020-01-02 02:00:00+01:00,40773.0,40912.9,43032.0,36332.0,2259.0
2020-01-02 03:00:00+01:00,40795.0,40927.9,42990.2,36001.0,2195.2
2020-01-02 04:00:00+01:00,41774.0,42491.1,44924.3,36971.0,3150.3
2020-01-02 05:00:00+01:00,43961.0,45745.6,48949.0,36983.0,4988.0
2020-01-02 06:00:00+01:00,47850.0,52806.8,54312.8,36841.0,6462.8
2020-01-02 07:00:00+01:00,52828.0,56696.7,59444.2,38525.0,6616.2
2020-01-02 08:00:00+01:00,56329.0,60114.9,62849.7,41091.0,6520.7
2020-01-02 09:00:00+01:00,58780.0,62091.8,64234.7,44267.0,5454.7
2020-01-02 10:00:00+01:00,59588.0,63130.9,64472.0,46808.0,4884.0
2020-01-02 11:00:00+01:00,60169.0,65059.4,64488.7,48752.0,4319.7
2020-01-02 12:00:00+01:00,60786.0,65855.6,64455.2,48859.0,3669.2
2020-01-02 13:00:00+01:00,60272.0,63857.2,63977.9,47162.0,3705.9
2020-01-02 14:00:00+01:00,59483.0,62717.2,62879.9,45890.0,3396.9
2020-01-02 15:00:00+01:00,59173.0,62486.1,61641.5,45970.0,2468.5
2020-01-02 16:00:00+01:00,60091.0,64571.7,60999.9,47567.0,908.9
2020-01-02 17:00:00+01:00,62599.0,68236.2,61189.5,49325.0,-1409.5
2020-01-02 18:00:00+01:00,62923.0,68279.1,61584.1,49152.0,-1338.9
2020-01-02 19:00:00+01:00,61932.0,65898.9,61083.7,48165.0,-848.3
2020-01-02 20:00:00+01:00,58422.0,61921.8,59025.3,46401.0,603.3
2020-01-02 21:00:00+01:00,55661.0,59778.9,55743.6,46178.0,82.6
2020-01-02 22:00:00+01:00,54103.0,57860.3,52148.6,45993.0,-1954.4
2020-01-02 23:00:00+01:00,50732.0,53963.5,48917.6,42662.0,-1814.4
2020-01-03 00:00:00+01:00,47641.0,52053.9,49655.8,39888.0,2014.8
2020-01-03 01:00:00+01:00,46071.0,50641.5,47308.1,38475.0,1237.1
2020-01-03 02:00:00+01:00,45485.0,50551.2,45796.4,37791.0,311.4
2020-01-03 03:00:00+01:00,45301.0,49853.2,45755.9,37799.0,454.9
2020-01-03 04:00:00+01:00,46070.0,49919.8,47814.6,38745.0,1744.6
2020-01-03 05:00:00+01:00,47894.0,50819.7,52093.0,39944.0,4199.0
2020-01-03 06:00:00+01:00,51787.0,55721.5,57788.0,42398.0,6001.0
2020-01-03 07:00:00+01:00,55935.0,61145.4,63223.3,46574.0,7288.3
2020-01-03 08:00:00+01:00,59496.0,64553.6,66807.2,50036.0,7311.2
2020-01-03 09:00:00+01:00,60888.0,66438.0,68226.6,52587.0,7338.6
2020-01-03 10:00:00+01:00,61751.0,68630.5,68410.1,54000.0,6659.1
2020-01-03 11:00:00+01:00,63204.0,69079.8,68342.4,54759.0,5138.4
2020-01-03 12:00:00+01:00,63230.0,69380.8,68203.4,55273.0,4973.4
2020-01-03 13:00:00+01:00,61575.0,68521.3,67576.8,54667.0,6001.8
2020-01-03 14:00:00+01:00,60449.0,66935.7,66278.3,53887.0,5829.3
2020-01-03 15:00:00+01:00,59983.0,66667.6,64817.7,53753.0,4834.7
2020-01-03 16:00:00+01:00,60757.0,68544.3,63969.8,55131.0,3212.8
2020-01-03 17:00:00+01:00,62491.0,70630.1,63975.8,57337.0,1484.8
2020-01-03 18:00:00+01:00,62157.0,70111.9,64175.1,56762.0,2018.1
2020-01-03 19:00:00+01:00,60931.0,67113.9,63423.7,55187.0,2492.7
2020-01-03 20:00:00+01:00,56910.0,63150.9,61047.6,51828.0,4137.6
2020-01-03 21:00:00+01:00,53806.0,60236.4,57412.9,49501.0,3606.9
2020-01-03 22:00:00+01:00,52540.0,58327.7,53472.6,48037.0,932.6
2020-01-03 23:00:00+01:00,49359.0,55350.2,49926.2,45266.0,567.2
2020-01-04 00:00:00+01:00,46773.0,52120.1,48517.4,42462.0,1744.4
2020-01-04 01:00:00+01:00,45003.0,49443.1,46098.5,40814.0,1095.5
2020-01-04 02:00:00+01:00,44345.0,48952.9,44548.6,40342.0,203.6
2020-01-04 03:00:00+01:00,43801.0,48605.6,43864.4,40202.0,63.4
2020-01-04 04:00:00+01:00,44501.0,48765.0,43969.9,40883.0,-531.1
2020-01-04 05:00:00+01:00,45049.0,48456.9,44849.6,41089.0,-199.4
2020-01-04 06:00:00+01:00,46138.0,48504.0,46588.9,41373.0,450.9
2020-01-04 07:00:00+01:00,48876.0,50554.4,49243.7,43751.0,367.7
2020-01-04 08:00:00+01:00,51876.0,53658.2,52584.1,46965.0,708.1
2020-01-04 09:00:00+01:00,55337.0,57038.5,55901.5,50213.0,564.5
2020-01-04 10:00:00+01:00,57584.0,59718.2,58167.1,50682.0,583.1
2020-01-04 11:00:00+01:00,59443.0,61432.4,58643.8,51465.0,-799.2
2020-01-04 12:00:00+01:00,59873.0,61393.0,57482.2,51386.0,-2390.8
2020-01-04 13:00:00+01:00,58499.0,60107.5,55638.4,50320.0,-2860.6
2020-01-04 14:00:00+01:00,57624.0,58420.4,54188.1,49026.0,-3435.9
2020-01-04 15:00:00+01:00,56651.0,58492.4,53717.3,49858.0,-2933.7
2020-01-04 16:00:00+01:00,58144.0,60081.8,54154.0,52455.0,-3990.0
2020-01-04 17:00:00+01:00,60436.0,62014.2,54942.5,55652.0,-5493.5
2020-01-04 18:00:00+01:00,59971.0,61768.3,55384.9,55695.0,-4586.1
2020-01-04 19:00:00+01:00,58093.0,60193.5,54978.5,54137.0,-3114.5
2020-01-04 20:00:00+01:00,54603.0,56670.4,53573.0,51244.0,-1030.0
2020-01-04 21:00:00+01:00,52028.0,53838.5,51316.6,49084.0,-711.4
2020-01-04 22:00:00+01:00,50722.0,52366.4,48531.8,47918.0,-2190.2
2020-01-04 23:00:00+01:00,47994.0,49555.5,45626.9,44642.0,-2367.1
2020-01-05 00:00:00+01:00,44880.0,46492.5,43364.0,42135.0,-1516.0
2020-01-05 01:00:00+01:00,42638.0,44262.3,41977.7,40202.0,-660.3
2020-01-05 02:00:00+01:00,41865.0,43242.6,40950.8,40075.0,-914.2
2020-01-05 03:00:00+01:00,40752.0,42855.9,40297.5,39498.0,-454.5
2020-01-05 04:00:00+01:00,40754.0,42858.8,39996.9,39325.0,-757.1
2020-01-05 05:00:00+01:00,40409.0,42698.2,40107.1,39090.0,-301.9
2020-01-05 06:00:00+01:00,39751.0,41697.6,40852.3,38272.0,1101.3
2020-01-05 07:00:00+01:00,41953.0,43179.8,42543.1,39156.0,590.1
2020-01-05 08:00:00+01:00,43752.0,46689.2,45309.1,41759.0,1557.1
2020-01-05 09:00:00+01:00,47044.0,49758.9,48766.2,44765.0,1722.2
2020-01-05 10:00:00+01:00,50397.0,52757.7,51893.4,46032.0,1496.4
2020-01-05 11:00:00+01:00,52744.0,54987.4,53484.3,48260.0,740.3
2020-01-05 12:00:00+01:00,52825.0,56062.9,53074.1,49349.0,249.1
2020-01-05 13:00:00+01:00,51568.0,54304.6,51405.1,47541.0,-162.9
2020-01-05 14:00:00+01:00,50470.0,53406.5,49832.2,46312.0,-637.8
2020-01-05 15:00:00+01:00,50177.0,52624.0,49366.9,46671.0,-810.1
2020-01-05 16:00:00+01:00,51651.0,54629.7,50200.4,49244.0,-1450.6
2020-01-05 17:00:00+01:00,55601.0,58048.5,51763.7,52332.0,-3837.3
2020-01-05 18:00:00+01:00,56412.0,58269.5,53130.9,52958.0,-3281.1
2020-01-05 19:00:00+01:00,54808.0,57097.4,53592.5,51943.0,-1215.5
2020-01-05 20:00:00+01:00,52478.0,54500.8,53023.5,49806.0,545.5
2020-01-05 21:00:00+01:00,50972.0,52163.0,51760.7,48362.0,788.7
2020-01-05 22:00:00+01:00,50438.0,52105.6,50219.7,47950.0,-218.3
2020-01-05 23:00:00+01:00,47398.0,49530.8,48670.4,45146.0,1272.4
2020-01-06 00:00:00+01:00,45225.0,47984.9,45200.2,43026.0,-24.8
2020-01-06 01:00:00+01:00,43646.0,45388.5,43356.0,41138.0,-290.0
2020-01-06 02:00:00+01:00,42812.0,44737.2,42255.9,40026.0,-556.1
2020-01-06 03:00:00+01:00,43212.0,44793.7,42504.4,40194.0,-707.6
2020-01-06 04:00:00+01:00,44464.0,46366.1,44716.2,41114.0,252.2
2020-01-06 05:00:00+01:00,47111.0,48943.7,49043.2,42845.0,1932.2
2020-01-06 06:00:00+01:00,51821.0,53630.6,54765.6,45099.0,2944.6
2020-01-06 07:00:00+01:00,57075.0,58411.6,60310.2,48828.0,3235.2
2020-01-06 08:00:00+01:00,59509.0,60986.2,64143.3,51706.0,4634.3
2020-01-06 09:00:00+01:00,61130.0,62217.2,65927.3,53959.0,4797.3
2020-01-06 10:00:00+01:00,62336.0,64034.6,66525.0,53475.0,4189.0
2020-01-06 11:00:00+01:00,63191.0,64967.4,66877.3,53629.0,3686.3
2020-01-06 12:00:00+01:00,63404.0,64569.6,67156.9,54139.0,3752.9
2020-01-06 13:00:00+01:00,62372.0,64302.6,66950.4,52653.0,4578.4
2020-01-06 14:00:00+01:00,61577.0,63532.4,66065.8,52431.0,4488.8
2020-01-06 15:00:00+01:00,61264.0,63246.1,65002.2,52719.0,3738.2
2020-01-06 16:00:00+01:00,62276.0,63397.8,64539.3,54457.0,2263.3
2020-01-06 17:00:00+01:00,66018.0,66043.5,64933.4,58272.0,-1084.6
2020-01-06 18:00:00+01:00,66215.0,66009.5,65526.0,58564.0,-689.0
2020-01-06 19:00:00+01:00,64831.0,64957.0,65146.4,56927.0,315.4
2020-01-06 20:00:00+01:00,61350.0,62276.7,63080.8,53959.0,1730.8
2020-01-06 21:00:00+01:00,58821.0,59618.3,59680.4,51937.0,859.4
2020-01-06 22:00:00+01:00,56577.0,58100.3,55918.1,50574.0,-658.9
2020-01-06 23:00:00+01:00,52904.0,54523.9,52523.7,47382.0,-380.3
2020-01-07 00:00:00+01:00,50708.0,52972.4,54088.6,44018.0,3380.6
2020-01-07 01:00:00+01:00,49617.0,49833.4,51583.3,42023.0,1966.3
2020-01-07 02:00:00+01:00,48105.0,48633.7,49980.0,40856.0,1875.0
2020-01-07 03:00:00+01:00,48553.0,49692.3,49976.8,40388.0,1423.8
2020-01-07 04:00:00+01:00,50054.0,51993.3,52266.5,40835.0,2212.5
2020-01-07 05:00:00+01:00,53241.0,55902.9,56988.1,41447.0,3747.1
2020-01-07 06:00:00+01:00,60420.0,62657.4,63270.3,41596.0,2850.3
2020-01-07 07:00:00+01:00,66527.0,69070.9,69283.6,44124.0,2756.6
2020-01-07 08:00:00+01:00,69198.0,70688.4,73285.3,46802.0,4087.3
2020-01-07 09:00:00+01:00,69408.0,71493.7,74929.3,49456.0,5521.3
2020-01-07 10:00:00+01:00,69896.0,71964.9,75231.6,50937.0,5335.6
2020-01-07 11:00:00+01:00,70089.0,72337.5,75273.9,52026.0,5184.9
2020-01-07 12:00:00+01:00,69367.0,72362.8,75255.4,52394.0,5888.4
2020-01-07 13:00:00+01:00,69465.0,72112.7,74717.5,50637.0,5252.5
2020-01-07 14:00:00+01:00,68854.0,71849.5,73453.6,49459.0,4599.6
2020-01-07 15:00:00+01:00,68089.0,71773.0,72025.2,49378.0,3936.2
2020-01-07 16:00:00+01:00,68574.0,71888.5,71294.1,51219.0,2720.1
