  {'order': [2, 0, 1], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 26, 'weekly_fourier': False} -> 9.708%
  {'order': [2, 0, 1], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 26, 'weekly_fourier': True} -> 6.715%
  {'order': [2, 0, 1], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 52, 'weekly_fourier': False} -> 9.549%
  {'order': [2, 0, 1], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 52, 'weekly_fourier': True} -> 6.409%
  {'order': [3, 0, 2], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 26, 'weekly_fourier': False} -> 9.508%
  {'order': [3, 0, 2], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 26, 'weekly_fourier': True} -> 6.738%
  {'order': [3, 0, 2], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 52, 'weekly_fourier': False} -> 9.301%
  {'order': [3, 0, 2], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 52, 'weekly_fourier': True} -> 6.519%
  {'order': [2, 1, 2], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 26, 'weekly_fourier': False} -> 11.508%
  {'order': [2, 1, 2], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 26, 'weekly_fourier': True} -> 9.351%
  {'order': [2, 1, 2], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 52, 'weekly_fourier': False} -> 12.501%
  {'order': [2, 1, 2], 'seasonal_order': [1, 1, 1, 24], 'window_weeks': 52, 'weekly_fourier': True} -> 9.672%
sarima 6.408626362816627 634.0970067977905
