utc_timestamp,actual_mw,forecast_mw,weekly_naive_mw,annual_naive_mw,error_mw,absolute_error_mw,absolute_percentage_error_percent
2020-01-01 00:00:00+00:00,41187.000,41248.760,38223.000,41562.000,61.760,61.760,0.150
2020-01-01 01:00:00+00:00,40398.000,40067.424,36936.000,40100.000,-330.576,330.576,0.818
2020-01-01 02:00:00+00:00,38919.000,39397.646,36637.000,38883.000,478.646,478.646,1.230
2020-01-01 03:00:00+00:00,38879.000,39570.136,36614.000,38806.000,691.136,691.136,1.778
2020-01-01 04:00:00+00:00,39162.000,39584.372,37078.000,38593.000,422.372,422.372,1.079
2020-01-01 05:00:00+00:00,37510.000,38822.304,37024.000,38140.000,1312.304,1312.304,3.499
2020-01-01 06:00:00+00:00,37892.000,38626.144,38634.000,38742.000,734.144,734.144,1.937
2020-01-01 07:00:00+00:00,38677.000,38948.432,41955.000,39256.000,271.432,271.432,0.702
2020-01-01 08:00:00+00:00,41091.000,41871.278,46241.000,42018.000,780.278,780.278,1.899
2020-01-01 09:00:00+00:00,43094.000,44507.548,48911.000,44533.000,1413.548,1413.548,3.280
2020-01-01 10:00:00+00:00,45249.000,47047.452,50798.000,47489.000,1798.452,1798.452,3.975
2020-01-01 11:00:00+00:00,46498.000,48160.730,50512.000,49261.000,1662.730,1662.730,3.576
2020-01-01 12:00:00+00:00,46328.000,48028.804,47742.000,48832.000,1700.804,1700.804,3.671
2020-01-01 13:00:00+00:00,45115.000,48140.560,46317.000,48595.000,3025.560,3025.560,6.706
2020-01-01 14:00:00+00:00,45039.000,48020.826,45547.000,48826.000,2981.826,2981.826,6.621
2020-01-01 15:00:00+00:00,47313.000,49153.648,45486.000,50626.000,1840.648,1840.648,3.890
2020-01-01 16:00:00+00:00,51194.000,50998.566,47631.000,53793.000,-195.434,195.434,0.382
2020-01-01 17:00:00+00:00,51755.000,51861.828,48297.000,54371.000,106.828,106.828,0.206
2020-01-01 18:00:00+00:00,50732.000,51295.862,47359.000,53815.000,563.862,563.862,1.111
2020-01-01 19:00:00+00:00,48591.000,49640.740,45470.000,51609.000,1049.740,1049.740,2.160
2020-01-01 20:00:00+00:00,47664.000,48298.988,44323.000,49698.000,634.988,634.988,1.332
2020-01-01 21:00:00+00:00,46994.000,46871.322,43864.000,48859.000,-122.678,122.678,0.261
2020-01-01 22:00:00+00:00,44105.000,45100.070,42040.000,46093.000,995.070,995.070,2.256
2020-01-01 23:00:00+00:00,42547.000,42711.772,38605.000,44318.000,164.772,164.772,0.387
2020-01-02 00:00:00+00:00,41194.000,43992.800,36909.000,42813.000,2798.800,2798.800,6.794
2020-01-02 01:00:00+00:00,40773.000,43489.680,36332.000,42318.000,2716.680,2716.680,6.663
2020-01-02 02:00:00+00:00,40795.000,42996.946,36001.000,41934.000,2201.946,2201.946,5.398
2020-01-02 03:00:00+00:00,41774.000,44369.398,36971.000,43607.000,2595.398,2595.398,6.213
2020-01-02 04:00:00+00:00,43961.000,47779.720,36983.000,46463.000,3818.720,3818.720,8.687
2020-01-02 05:00:00+00:00,47850.000,52929.650,36841.000,52329.000,5079.650,5079.650,10.616
2020-01-02 06:00:00+00:00,52828.000,57605.780,38525.000,57736.000,4777.780,4777.780,9.044
2020-01-02 07:00:00+00:00,56329.000,60089.340,41091.000,60956.000,3760.340,3760.340,6.676
2020-01-02 08:00:00+00:00,58780.000,62140.288,44267.000,62833.000,3360.288,3360.288,5.717
2020-01-02 09:00:00+00:00,59588.000,63778.594,46808.000,64259.000,4190.594,4190.594,7.033
2020-01-02 10:00:00+00:00,60169.000,64370.782,48752.000,65434.000,4201.782,4201.782,6.983
2020-01-02 11:00:00+00:00,60786.000,64613.886,48859.000,65705.000,3827.886,3827.886,6.297
2020-01-02 12:00:00+00:00,60272.000,63940.906,47162.000,64849.000,3668.906,3668.906,6.087
2020-01-02 13:00:00+00:00,59483.000,63072.786,45890.000,63278.000,3589.786,3589.786,6.035
2020-01-02 14:00:00+00:00,59173.000,63132.738,45970.000,63354.000,3959.738,3959.738,6.692
2020-01-02 15:00:00+00:00,60091.000,63897.992,47567.000,64290.000,3806.992,3806.992,6.335
2020-01-02 16:00:00+00:00,62599.000,65738.438,49325.000,68262.000,3139.438,3139.438,5.015
2020-01-02 17:00:00+00:00,62923.000,65784.712,49152.000,68159.000,2861.712,2861.712,4.548
2020-01-02 18:00:00+00:00,61932.000,64623.360,48165.000,66061.000,2691.360,2691.360,4.346
2020-01-02 19:00:00+00:00,58422.000,61829.704,46401.000,62543.000,3407.704,3407.704,5.833
2020-01-02 20:00:00+00:00,55661.000,57877.304,46178.000,59581.000,2216.304,2216.304,3.982
2020-01-02 21:00:00+00:00,54103.000,56496.008,45993.000,57599.000,2393.008,2393.008,4.423
2020-01-02 22:00:00+00:00,50732.000,52814.906,42662.000,53280.000,2082.906,2082.906,4.106
2020-01-02 23:00:00+00:00,47641.000,49465.684,39888.000,49918.000,1824.684,1824.684,3.830
2020-01-03 00:00:00+00:00,46071.000,48182.428,38475.000,48638.000,2111.428,2111.428,4.583
2020-01-03 01:00:00+00:00,45485.000,47941.914,37791.000,48082.000,2456.914,2456.914,5.402
2020-01-03 02:00:00+00:00,45301.000,47713.114,37799.000,47861.000,2412.114,2412.114,5.325
2020-01-03 03:00:00+00:00,46070.000,48678.482,38745.000,48411.000,2608.482,2608.482,5.662
2020-01-03 04:00:00+00:00,47894.000,50866.696,39944.000,50986.000,2972.696,2972.696,6.207
2020-01-03 05:00:00+00:00,51787.000,55971.648,42398.000,55857.000,4184.648,4184.648,8.080
2020-01-03 06:00:00+00:00,55935.000,61424.720,46574.000,60948.000,5489.720,5489.720,9.814
2020-01-03 07:00:00+00:00,59496.000,63959.034,50036.000,64162.000,4463.034,4463.034,7.501
2020-01-03 08:00:00+00:00,60888.000,65301.100,52587.000,65966.000,4413.100,4413.100,7.248
2020-01-03 09:00:00+00:00,61751.000,66058.052,54000.000,66379.000,4307.052,4307.052,6.975
2020-01-03 10:00:00+00:00,63204.000,66528.110,54759.000,67625.000,3324.110,3324.110,5.259
2020-01-03 11:00:00+00:00,63230.000,66511.784,55273.000,67794.000,3281.784,3281.784,5.190
2020-01-03 12:00:00+00:00,61575.000,65680.170,54667.000,66551.000,4105.170,4105.170,6.667
2020-01-03 13:00:00+00:00,60449.000,64331.872,53887.000,65506.000,3882.872,3882.872,6.423
2020-01-03 14:00:00+00:00,59983.000,63675.150,53753.000,64853.000,3692.150,3692.150,6.155
2020-01-03 15:00:00+00:00,60757.000,65128.756,55131.000,65985.000,4371.756,4371.756,7.195
2020-01-03 16:00:00+00:00,62491.000,66511.676,57337.000,69210.000,4020.676,4020.676,6.434
2020-01-03 17:00:00+00:00,62157.000,65711.684,56762.000,69159.000,3554.684,3554.684,5.719
2020-01-03 18:00:00+00:00,60931.000,63856.354,55187.000,67078.000,2925.354,2925.354,4.801
2020-01-03 19:00:00+00:00,56910.000,60522.666,51828.000,63478.000,3612.666,3612.666,6.348
2020-01-03 20:00:00+00:00,53806.000,57329.738,49501.000,60663.000,3523.738,3523.738,6.549
2020-01-03 21:00:00+00:00,52540.000,55698.328,48037.000,58350.000,3158.328,3158.328,6.011
2020-01-03 22:00:00+00:00,49359.000,52591.862,45266.000,55087.000,3232.862,3232.862,6.550
2020-01-03 23:00:00+00:00,46773.000,49670.272,42462.000,51718.000,2897.272,2897.272,6.194
2020-01-04 00:00:00+00:00,45003.000,44825.922,40814.000,49157.000,-177.078,177.078,0.393
2020-01-04 01:00:00+00:00,44345.000,44742.350,40342.000,48594.000,397.350,397.350,0.896
2020-01-04 02:00:00+00:00,43801.000,44835.658,40202.000,48643.000,1034.658,1034.658,2.362
2020-01-04 03:00:00+00:00,44501.000,44942.850,40883.000,49409.000,441.850,441.850,0.993
2020-01-04 04:00:00+00:00,45049.000,44374.934,41089.000,51452.000,-674.066,674.066,1.496
2020-01-04 05:00:00+00:00,46138.000,45210.506,41373.000,56643.000,-927.494,927.494,2.010
2020-01-04 06:00:00+00:00,48876.000,48453.270,43751.000,62401.000,-422.730,422.730,0.865
2020-01-04 07:00:00+00:00,51876.000,51891.260,46965.000,65584.000,15.260,15.260,0.029
2020-01-04 08:00:00+00:00,55337.000,55647.536,50213.000,67404.000,310.536,310.536,0.561
2020-01-04 09:00:00+00:00,57584.000,56851.108,50682.000,68173.000,-732.892,732.892,1.273
2020-01-04 10:00:00+00:00,59443.000,57833.424,51465.000,68997.000,-1609.576,1609.576,2.708
2020-01-04 11:00:00+00:00,59873.000,57824.114,51386.000,69469.000,-2048.886,2048.886,3.422
2020-01-04 12:00:00+00:00,58499.000,57285.052,50320.000,68587.000,-1213.948,1213.948,2.075
2020-01-04 13:00:00+00:00,57624.000,55738.142,49026.000,67122.000,-1885.858,1885.858,3.273
2020-01-04 14:00:00+00:00,56651.000,55812.086,49858.000,66818.000,-838.914,838.914,1.481
2020-01-04 15:00:00+00:00,58144.000,57396.962,52455.000,68104.000,-747.038,747.038,1.285
2020-01-04 16:00:00+00:00,60436.000,59496.340,55652.000,69801.000,-939.660,939.660,1.555
2020-01-04 17:00:00+00:00,59971.000,59426.328,55695.000,69105.000,-544.672,544.672,0.908
2020-01-04 18:00:00+00:00,58093.000,57551.396,54137.000,66614.000,-541.604,541.604,0.932
2020-01-04 19:00:00+00:00,54603.000,53766.664,51244.000,62098.000,-836.336,836.336,1.532
2020-01-04 20:00:00+00:00,52028.000,51220.790,49084.000,59305.000,-807.210,807.210,1.551
2020-01-04 21:00:00+00:00,50722.000,51212.700,47918.000,57794.000,490.700,490.700,0.967
2020-01-04 22:00:00+00:00,47994.000,48340.880,44642.000,53664.000,346.880,346.880,0.723
2020-01-04 23:00:00+00:00,44880.000,45300.438,42135.000,50780.000,420.438,420.438,0.937
2020-01-05 00:00:00+00:00,42638.000,42394.442,40202.000,48786.000,-243.558,243.558,0.571
2020-01-05 01:00:00+00:00,41865.000,42331.240,40075.000,47649.000,466.240,466.240,1.114
