utc_timestamp,actual_load_mw,forecast_load_mw,error_mw,absolute_percentage_error
2020-01-01 00:00:00+00:00,41187.000,41042.434,-144.566,0.351
2020-01-01 01:00:00+00:00,40398.000,40325.465,-72.535,0.180
2020-01-01 02:00:00+00:00,38919.000,40303.738,1384.738,3.558
2020-01-01 03:00:00+00:00,38879.000,40091.971,1212.971,3.120
2020-01-01 04:00:00+00:00,39162.000,39242.482,80.482,0.206
2020-01-01 05:00:00+00:00,37510.000,41070.263,3560.263,9.492
2020-01-01 06:00:00+00:00,37892.000,37126.337,-765.663,2.021
2020-01-01 07:00:00+00:00,38677.000,40032.227,1355.227,3.504
2020-01-01 08:00:00+00:00,41091.000,43176.448,2085.448,5.075
2020-01-01 09:00:00+00:00,43094.000,45031.878,1937.878,4.497
2020-01-01 10:00:00+00:00,45249.000,46512.704,1263.704,2.793
2020-01-01 11:00:00+00:00,46498.000,46766.564,268.564,0.578
2020-01-01 12:00:00+00:00,46328.000,46853.921,525.921,1.135
2020-01-01 13:00:00+00:00,45115.000,45575.807,460.807,1.021
2020-01-01 14:00:00+00:00,45039.000,44622.742,-416.258,0.924
2020-01-01 15:00:00+00:00,47313.000,44993.582,-2319.418,4.902
2020-01-01 16:00:00+00:00,51194.000,47488.349,-3705.651,7.238
2020-01-01 17:00:00+00:00,51755.000,48129.897,-3625.103,7.004
2020-01-01 18:00:00+00:00,50732.000,49002.310,-1729.690,3.409
2020-01-01 19:00:00+00:00,48591.000,49123.765,532.765,1.096
2020-01-01 20:00:00+00:00,47664.000,50123.908,2459.908,5.161
2020-01-01 21:00:00+00:00,46994.000,49629.247,2635.247,5.608
2020-01-01 22:00:00+00:00,44105.000,45740.372,1635.372,3.708
2020-01-01 23:00:00+00:00,42547.000,44319.694,1772.694,4.166
2020-01-02 00:00:00+00:00,41194.000,42683.754,1489.754,3.616
2020-01-02 01:00:00+00:00,40773.000,41876.069,1103.069,2.705
2020-01-02 02:00:00+00:00,40795.000,41946.475,1151.475,2.823
2020-01-02 03:00:00+00:00,41774.000,42946.945,1172.945,2.808
2020-01-02 04:00:00+00:00,43961.000,43496.780,-464.220,1.056
2020-01-02 05:00:00+00:00,47850.000,51834.621,3984.621,8.327
2020-01-02 06:00:00+00:00,52828.000,58190.392,5362.392,10.151
2020-01-02 07:00:00+00:00,56329.000,60741.643,4412.643,7.834
2020-01-02 08:00:00+00:00,58780.000,61443.114,2663.114,4.531
2020-01-02 09:00:00+00:00,59588.000,62598.116,3010.116,5.052
2020-01-02 10:00:00+00:00,60169.000,63924.375,3755.375,6.241
2020-01-02 11:00:00+00:00,60786.000,63743.846,2957.846,4.866
2020-01-02 12:00:00+00:00,60272.000,63816.871,3544.871,5.881
2020-01-02 13:00:00+00:00,59483.000,62693.901,3210.901,5.398
2020-01-02 14:00:00+00:00,59173.000,61856.788,2683.788,4.535
2020-01-02 15:00:00+00:00,60091.000,62182.281,2091.281,3.480
2020-01-02 16:00:00+00:00,62599.000,64289.671,1690.671,2.701
2020-01-02 17:00:00+00:00,62923.000,64883.422,1960.422,3.116
2020-01-02 18:00:00+00:00,61932.000,63781.167,1849.167,2.986
2020-01-02 19:00:00+00:00,58422.000,58972.394,550.394,0.942
2020-01-02 20:00:00+00:00,55661.000,55137.401,-523.599,0.941
2020-01-02 21:00:00+00:00,54103.000,52973.365,-1129.635,2.088
2020-01-02 22:00:00+00:00,50732.000,49239.687,-1492.313,2.942
2020-01-02 23:00:00+00:00,47641.000,47120.427,-520.573,1.093
2020-01-03 00:00:00+00:00,46071.000,45463.567,-607.433,1.318
2020-01-03 01:00:00+00:00,45485.000,44564.057,-920.943,2.025
2020-01-03 02:00:00+00:00,45301.000,44608.396,-692.604,1.529
2020-01-03 03:00:00+00:00,46070.000,45681.616,-388.384,0.843
2020-01-03 04:00:00+00:00,47894.000,46239.617,-1654.383,3.454
2020-01-03 05:00:00+00:00,51787.000,54057.294,2270.294,4.384
2020-01-03 06:00:00+00:00,55935.000,60997.600,5062.600,9.051
2020-01-03 07:00:00+00:00,59496.000,63263.984,3767.984,6.333
2020-01-03 08:00:00+00:00,60888.000,63965.301,3077.301,5.054
2020-01-03 09:00:00+00:00,61751.000,64610.736,2859.736,4.631
2020-01-03 10:00:00+00:00,63204.000,65753.822,2549.822,4.034
2020-01-03 11:00:00+00:00,63230.000,65519.429,2289.429,3.621
2020-01-03 12:00:00+00:00,61575.000,65226.431,3651.431,5.930
2020-01-03 13:00:00+00:00,60449.000,63927.493,3478.493,5.754
2020-01-03 14:00:00+00:00,59983.000,63533.923,3550.923,5.920
2020-01-03 15:00:00+00:00,60757.000,64004.990,3247.990,5.346
2020-01-03 16:00:00+00:00,62491.000,65879.699,3388.699,5.423
2020-01-03 17:00:00+00:00,62157.000,66499.345,4342.345,6.986
2020-01-03 18:00:00+00:00,60931.000,65352.819,4421.819,7.257
2020-01-03 19:00:00+00:00,56910.000,60599.443,3689.443,6.483
2020-01-03 20:00:00+00:00,53806.000,56052.030,2246.030,4.174
2020-01-03 21:00:00+00:00,52540.000,53486.760,946.760,1.802
2020-01-03 22:00:00+00:00,49359.000,50268.852,909.852,1.843
2020-01-03 23:00:00+00:00,46773.000,46867.743,94.743,0.203
2020-01-04 00:00:00+00:00,45003.000,44907.072,-95.928,0.213
2020-01-04 01:00:00+00:00,44345.000,43876.501,-468.499,1.056
2020-01-04 02:00:00+00:00,43801.000,43731.891,-69.109,0.158
2020-01-04 03:00:00+00:00,44501.000,44186.011,-314.989,0.708
2020-01-04 04:00:00+00:00,45049.000,43420.630,-1628.370,3.615
2020-01-04 05:00:00+00:00,46138.000,43783.353,-2354.647,5.103
2020-01-04 06:00:00+00:00,48876.000,47462.247,-1413.753,2.893
2020-01-04 07:00:00+00:00,51876.000,50898.473,-977.527,1.884
