utc_timestamp,actual_load_mw,forecast_load_mw,error_mw,absolute_percentage_error_percent
2020-01-01 00:00:00+00:00,41187.000,41658.055,471.055,1.144
2020-01-01 01:00:00+00:00,40398.000,40837.318,439.318,1.087
2020-01-01 02:00:00+00:00,38919.000,40476.616,1557.616,4.002
2020-01-01 03:00:00+00:00,38879.000,40493.078,1614.078,4.152
2020-01-01 04:00:00+00:00,39162.000,41466.574,2304.574,5.885
2020-01-01 05:00:00+00:00,37510.000,35306.003,-2203.997,5.876
2020-01-01 06:00:00+00:00,37892.000,37252.080,-639.920,1.689
2020-01-01 07:00:00+00:00,38677.000,38875.541,198.541,0.513
2020-01-01 08:00:00+00:00,41091.000,41679.511,588.511,1.432
2020-01-01 09:00:00+00:00,43094.000,45435.906,2341.906,5.434
2020-01-01 10:00:00+00:00,45249.000,47846.795,2597.795,5.741
2020-01-01 11:00:00+00:00,46498.000,48198.710,1700.710,3.658
2020-01-01 12:00:00+00:00,46328.000,47260.369,932.369,2.013
2020-01-01 13:00:00+00:00,45115.000,46289.598,1174.598,2.604
2020-01-01 14:00:00+00:00,45039.000,46328.892,1289.892,2.864
2020-01-01 15:00:00+00:00,47313.000,46754.606,-558.394,1.180
2020-01-01 16:00:00+00:00,51194.000,49161.270,-2032.730,3.971
2020-01-01 17:00:00+00:00,51755.000,49373.923,-2381.077,4.601
2020-01-01 18:00:00+00:00,50732.000,48853.311,-1878.689,3.703
2020-01-01 19:00:00+00:00,48591.000,46245.754,-2345.246,4.827
2020-01-01 20:00:00+00:00,47664.000,46014.644,-1649.356,3.460
2020-01-01 21:00:00+00:00,46994.000,45767.334,-1226.666,2.610
2020-01-01 22:00:00+00:00,44105.000,45680.020,1575.020,3.571
2020-01-01 23:00:00+00:00,42547.000,44217.422,1670.422,3.926
2020-01-02 00:00:00+00:00,41194.000,43086.283,1892.283,4.594
2020-01-02 01:00:00+00:00,40773.000,41639.422,866.422,2.125
2020-01-02 02:00:00+00:00,40795.000,41605.782,810.782,1.987
2020-01-02 03:00:00+00:00,41774.000,41650.137,-123.863,0.297
2020-01-02 04:00:00+00:00,43961.000,46720.182,2759.182,6.276
2020-01-02 05:00:00+00:00,47850.000,51016.776,3166.776,6.618
2020-01-02 06:00:00+00:00,52828.000,56156.051,3328.051,6.300
2020-01-02 07:00:00+00:00,56329.000,59654.504,3325.504,5.904
2020-01-02 08:00:00+00:00,58780.000,61517.086,2737.086,4.656
2020-01-02 09:00:00+00:00,59588.000,62854.223,3266.223,5.481
2020-01-02 10:00:00+00:00,60169.000,64315.406,4146.406,6.891
2020-01-02 11:00:00+00:00,60786.000,64323.124,3537.124,5.819
2020-01-02 12:00:00+00:00,60272.000,64075.373,3803.373,6.310
2020-01-02 13:00:00+00:00,59483.000,63268.335,3785.335,6.364
2020-01-02 14:00:00+00:00,59173.000,63023.834,3850.834,6.508
2020-01-02 15:00:00+00:00,60091.000,63726.153,3635.153,6.049
2020-01-02 16:00:00+00:00,62599.000,65950.672,3351.672,5.354
2020-01-02 17:00:00+00:00,62923.000,65880.881,2957.881,4.701
2020-01-02 18:00:00+00:00,61932.000,64654.361,2722.361,4.396
2020-01-02 19:00:00+00:00,58422.000,61297.175,2875.175,4.921
2020-01-02 20:00:00+00:00,55661.000,57963.128,2302.128,4.136
2020-01-02 21:00:00+00:00,54103.000,55234.150,1131.150,2.091
2020-01-02 22:00:00+00:00,50732.000,50684.787,-47.213,0.093
2020-01-02 23:00:00+00:00,47641.000,50409.476,2768.476,5.811
2020-01-03 00:00:00+00:00,46071.000,48586.802,2515.802,5.461
2020-01-03 01:00:00+00:00,45485.000,47150.243,1665.243,3.661
2020-01-03 02:00:00+00:00,45301.000,47772.811,2471.811,5.456
2020-01-03 03:00:00+00:00,46070.000,48265.789,2195.789,4.766
2020-01-03 04:00:00+00:00,47894.000,52781.886,4887.886,10.206
2020-01-03 05:00:00+00:00,51787.000,56364.534,4577.534,8.839
2020-01-03 06:00:00+00:00,55935.000,61029.172,5094.172,9.107
2020-01-03 07:00:00+00:00,59496.000,64237.440,4741.440,7.969
2020-01-03 08:00:00+00:00,60888.000,64805.702,3917.702,6.434
2020-01-03 09:00:00+00:00,61751.000,65389.401,3638.401,5.892
2020-01-03 10:00:00+00:00,63204.000,66444.211,3240.211,5.127
2020-01-03 11:00:00+00:00,63230.000,65667.841,2437.841,3.856
2020-01-03 12:00:00+00:00,61575.000,65116.363,3541.363,5.751
2020-01-03 13:00:00+00:00,60449.000,63929.124,3480.124,5.757
2020-01-03 14:00:00+00:00,59983.000,63956.756,3973.756,6.625
2020-01-03 15:00:00+00:00,60757.000,64556.503,3799.503,6.254
2020-01-03 16:00:00+00:00,62491.000,66722.556,4231.556,6.771
2020-01-03 17:00:00+00:00,62157.000,66106.125,3949.125,6.353
2020-01-03 18:00:00+00:00,60931.000,63550.610,2619.610,4.299
2020-01-03 19:00:00+00:00,56910.000,59072.067,2162.067,3.799
2020-01-03 20:00:00+00:00,53806.000,56962.949,3156.949,5.867
2020-01-03 21:00:00+00:00,52540.000,53303.170,763.170,1.453
2020-01-03 22:00:00+00:00,49359.000,51298.106,1939.106,3.929
2020-01-03 23:00:00+00:00,46773.000,46985.317,212.317,0.454
2020-01-04 00:00:00+00:00,45003.000,45432.565,429.565,0.955
2020-01-04 01:00:00+00:00,44345.000,44123.913,-221.087,0.499
2020-01-04 02:00:00+00:00,43801.000,43869.710,68.710,0.157
2020-01-04 03:00:00+00:00,44501.000,44309.679,-191.321,0.430
2020-01-04 04:00:00+00:00,45049.000,44983.487,-65.513,0.145
2020-01-04 05:00:00+00:00,46138.000,44733.418,-1404.582,3.044
2020-01-04 06:00:00+00:00,48876.000,47507.289,-1368.711,2.800
2020-01-04 07:00:00+00:00,51876.000,49839.803,-2036.197,3.925
2020-01-04 08:00:00+00:00,55337.000,54646.614,-690.386,1.248
2020-01-04 09:00:00+00:00,57584.000,55988.043,-1595.957,2.772
2020-01-04 10:00:00+00:00,59443.000,57018.907,-2424.093,4.078
2020-01-04 11:00:00+00:00,59873.000,57011.113,-2861.887,4.780
2020-01-04 12:00:00+00:00,58499.000,56361.258,-2137.742,3.654
2020-01-04 13:00:00+00:00,57624.000,53190.711,-4433.289,7.693
2020-01-04 14:00:00+00:00,56651.000,53581.339,-3069.661,5.419
2020-01-04 15:00:00+00:00,58144.000,56221.549,-1922.451,3.306
2020-01-04 16:00:00+00:00,60436.000,59415.994,-1020.006,1.688
2020-01-04 17:00:00+00:00,59971.000,59411.498,-559.502,0.933
2020-01-04 18:00:00+00:00,58093.000,57263.342,-829.658,1.428
2020-01-04 19:00:00+00:00,54603.000,53700.195,-902.805,1.653
2020-01-04 20:00:00+00:00,52028.000,51407.351,-620.649,1.193
2020-01-04 21:00:00+00:00,50722.000,50225.558,-496.442,0.979
2020-01-04 22:00:00+00:00,47994.000,48222.797,228.797,0.477
2020-01-04 23:00:00+00:00,44880.000,44735.422,-144.578,0.322
2020-01-05 00:00:00+00:00,42638.000,42556.577,-81.423,0.191
2020-01-05 01:00:00+00:00,41865.000,41634.415,-230.585,0.551
2020-01-05 02:00:00+00:00,40752.000,41205.714,453.714,1.113
2020-01-05 03:00:00+00:00,40754.000,41350.064,596.064,1.463
